task,layer,param,fold,r2,n_train_eps,n_test_eps
strike,0,object_0_mass,0,-6.26977014541626,160,40
strike,0,object_0_mass,1,-3.6395301818847656,160,40
strike,0,object_0_mass,2,-2.3856704235076904,160,40
strike,0,object_0_mass,3,-2.7210235595703125,160,40
strike,0,object_0_mass,4,-10.490520477294922,160,40
strike,0,object_0_static_friction,0,-10.884960174560547,160,40
strike,0,object_0_static_friction,1,-3.995969295501709,160,40
strike,0,object_0_static_friction,2,-1.1939115524291992,160,40
strike,0,object_0_static_friction,3,-7.407538414001465,160,40
strike,0,object_0_static_friction,4,-4.759115219116211,160,40
strike,0,object_0_dynamic_friction,0,-6.603455066680908,160,40
strike,0,object_0_dynamic_friction,1,-3.4004712104797363,160,40
strike,0,object_0_dynamic_friction,2,-3.0829062461853027,160,40
strike,0,object_0_dynamic_friction,3,-5.034059047698975,160,40
strike,0,object_0_dynamic_friction,4,-3.337709426879883,160,40
strike,0,surface_static_friction,0,-21.74832534790039,160,40
strike,0,surface_static_friction,1,-5.907442569732666,160,40
strike,0,surface_static_friction,2,-3.235157012939453,160,40
strike,0,surface_static_friction,3,-5.910412311553955,160,40
strike,0,surface_static_friction,4,-18.78133773803711,160,40
strike,0,surface_dynamic_friction,0,-12.226343154907227,160,40
strike,0,surface_dynamic_friction,1,-5.09315824508667,160,40
strike,0,surface_dynamic_friction,2,-1.819403886795044,160,40
strike,0,surface_dynamic_friction,3,-4.1412739753723145,160,40
strike,0,surface_dynamic_friction,4,-4.575378894805908,160,40
strike,0,object_0_restitution,0,-6.9683122634887695,160,40
strike,0,object_0_restitution,1,-3.028144359588623,160,40
strike,0,object_0_restitution,2,-4.59196138381958,160,40
strike,0,object_0_restitution,3,-16.52984619140625,160,40
strike,0,object_0_restitution,4,-16.749256134033203,160,40
strike,1,object_0_mass,0,-3.303149700164795,160,40
strike,1,object_0_mass,1,-2.948779821395874,160,40
strike,1,object_0_mass,2,-2.517732620239258,160,40
strike,1,object_0_mass,3,-2.675551652908325,160,40
strike,1,object_0_mass,4,-6.755395412445068,160,40
strike,1,object_0_static_friction,0,-2.7569799423217773,160,40
strike,1,object_0_static_friction,1,-2.309879779815674,160,40
strike,1,object_0_static_friction,2,-2.4018852710723877,160,40
strike,1,object_0_static_friction,3,-2.651010751724243,160,40
strike,1,object_0_static_friction,4,-3.61838960647583,160,40
strike,1,object_0_dynamic_friction,0,-3.377678394317627,160,40
strike,1,object_0_dynamic_friction,1,-2.990070104598999,160,40
strike,1,object_0_dynamic_friction,2,-3.3652706146240234,160,40
strike,1,object_0_dynamic_friction,3,-2.473759412765503,160,40
strike,1,object_0_dynamic_friction,4,-1.4194250106811523,160,40
strike,1,surface_static_friction,0,-7.663333892822266,160,40
strike,1,surface_static_friction,1,-3.791015625,160,40
strike,1,surface_static_friction,2,-3.6347365379333496,160,40
strike,1,surface_static_friction,3,-2.916849136352539,160,40
strike,1,surface_static_friction,4,-3.572014808654785,160,40
strike,1,surface_dynamic_friction,0,-4.69711446762085,160,40
strike,1,surface_dynamic_friction,1,-2.3169891834259033,160,40
