task,layer,rsa_partial_acc,rsa_partial_ct
push,0,0.08035855757413321,0.25812429357641326
push,1,0.12563603336919738,0.16571838971716285
push,2,0.2763333403356374,0.08432793700765275
push,3,0.26513897660364116,0.08101197992844827
push,4,0.23483852824366225,0.21702504301317052
push,5,0.23633633286812902,0.2026872737074183
push,6,0.18833012015743017,0.2195184572949849
push,7,0.2098363549230623,0.1988271944374794
push,8,0.21839890633563813,0.20567052432690552
push,9,0.24092055683822486,0.20360594387327485
push,10,0.22791881184759433,0.194931872611412
push,11,0.20224217725394916,0.17065017224383539
push,12,0.24801557382306177,0.14774701524925024
push,13,0.2642874330438906,0.15789849994100885
push,14,0.27369302442451326,0.11771118499207973
push,15,0.307663153423817,0.14469002850499027
push,16,0.3095967253282365,0.1478873829395683
push,17,0.32954714285932746,0.15597789346328367
push,18,0.327230578682439,0.181992912235079
push,19,0.33332165672822944,0.1582516835284743
push,20,0.3270653722023034,0.15545832506104368
push,21,0.3343827284859823,0.16276033991473718
push,22,0.33179839144019374,0.16484874686917927
push,23,0.2958336694605422,0.1382147271435939
strike,0,0.2702331946535489,0.10641761148488643
strike,1,0.3165959786605332,0.12278021707184292
strike,2,0.3741491289654599,0.13941910068119426
strike,3,0.3289225083931657,0.148809981316648
strike,4,0.27211388713875617,0.18090611475559967
strike,5,0.2382948828537154,0.1774384006176032
strike,6,0.14476529488255743,0.1931303131525668
strike,7,0.16495802687336508,0.18000409884301108
strike,8,0.15168854998937517,0.1673083835178968
strike,9,0.2074474071399384,0.09340539720964511
strike,10,0.23761022812959776,0.07357967854492005
strike,11,0.21481899993872958,0.04449997464918738
strike,12,0.26260734756841775,0.039452449152225094
strike,13,0.2750834064622469,0.03264459423133033
strike,14,0.28527076586700356,0.041921173314973526
strike,15,0.28175930109745945,0.09127166121391403
strike,16,0.2917677983101752,0.09474233049945455
strike,17,0.3027721077760264,0.11342600212881898
strike,18,0.2985705816189248,0.12047437932940043
strike,19,0.3132900345432508,0.12702799552797164
strike,20,0.3115321649050687,0.14995224627043446
strike,21,0.3294382349751916,0.1343529517880648
strike,22,0.3606367152348524,0.16074784302021974
strike,23,0.35064423635816333,0.17322862947905288
reach,0,0.014751795994725495,0.043036951508057336
reach,1,0.06747125034705226,0.03986683110814444
reach,2,0.0976894793979328,0.0511499940880092
reach,3,0.10907640593408492,0.06206851091518574
reach,4,0.19634243646806693,0.09007092420287004
reach,5,0.1932271647566501,0.08860447055396674
reach,6,0.19382394296133973,0.08144153362381286
reach,7,0.19342930761977054,0.0786421769286034
reach,8,0.19321872163538412,0.08619354741035516
reach,9,0.19083601230722033,0.10707861845162775
reach,10,0.19961767269299377,0.10404024369732476
reach,11,0.21233820510641635,0.09377170357522176
reach,12,0.20288969397475312,0.0999302566086552
reach,13,0.21305963319775587,0.09174635286503979
reach,14,0.21154616275059682,0.0860452292777401
reach,15,0.22220129297046642,0.07587214931011135
reach,16,0.23535797135486333,0.08412652241295587
reach,17,0.24016648403183816,0.09051679146121996
reach,18,0.2477460925273031,0.08906086773710109
reach,19,0.252499956565744,0.09370112263024434
reach,20,0.2504304138193088,0.0947133228298335
reach,21,0.2500273923062168,0.09221655391735101
reach,22,0.24574887130147563,0.09305274894611179
reach,23,0.2264280426206027,0.09448343577517762
drawer,0,0.025451230455861572,0.0562963632759893
drawer,1,0.14140325432305115,0.05726197761444328
drawer,2,0.12170018307101986,0.07870720259283537
drawer,3,0.13548753191333324,0.06468033095545252
