,L00,L01,L02,L03,L04,L05,L06,L07,L08,L09,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23
L00,1.0,0.5968674,0.2701868,0.28079835,0.3132487,0.34321707,0.3575981,0.3755939,0.3769336,0.38644764,0.40580207,0.42199957,0.44353735,0.44070292,0.4398496,0.44829172,0.45656633,0.43892297,0.42626944,0.42318562,0.41577393,0.41759932,0.42931905,0.41463393
L01,0.5968674,1.0,0.8407358,0.833322,0.8250506,0.80868363,0.83206135,0.84206986,0.8448608,0.8350266,0.84206,0.8465681,0.844847,0.8363624,0.82240784,0.8134248,0.80205137,0.79348415,0.7699456,0.7725189,0.7665176,0.767264,0.7690928,0.76486194
L02,0.2701868,0.8407358,1.0,0.99788606,0.9739127,0.9495628,0.96103907,0.95753384,0.95360667,0.93703437,0.9286596,0.9196831,0.89141333,0.88025147,0.870014,0.8562561,0.8352265,0.84030104,0.8264226,0.8305802,0.83102036,0.8418322,0.8431975,0.85242
L03,0.28079835,0.833322,0.99788606,1.0,0.9790029,0.9578915,0.9691869,0.96546644,0.9610936,0.94574803,0.9373099,0.9283535,0.89961165,0.88885164,0.87893754,0.8659331,0.8443973,0.84972656,0.83651775,0.84025145,0.84107536,0.85248846,0.8545964,0.8639194
L04,0.3132487,0.8250506,0.9739127,0.9790029,1.0,0.9944477,0.9889902,0.9820252,0.9777356,0.968409,0.95883113,0.9465596,0.92031294,0.9108619,0.90295887,0.8955527,0.8756972,0.8832879,0.8754764,0.8774799,0.87851536,0.88863206,0.888731,0.89319646
L05,0.34321707,0.80868363,0.9495628,0.9578915,0.9944477,1.0,0.98976076,0.9825098,0.9781922,0.97224176,0.9630093,0.9505493,0.92698777,0.91836727,0.9119376,0.9065654,0.8880842,0.89598835,0.8900385,0.89111966,0.89190465,0.90164214,0.90133375,0.9048907
L06,0.3575981,0.83206135,0.96103907,0.9691869,0.9889902,0.98976076,1.0,0.9980575,0.99529874,0.988322,0.982094,0.97409874,0.9517064,0.94228643,0.9328207,0.92473,0.9057757,0.91047066,0.8987726,0.9013445,0.90138745,0.9106346,0.91136205,0.9179779
L07,0.3755939,0.84206986,0.95753384,0.96546644,0.9820252,0.9825098,0.9980575,1.0,0.9986697,0.9929695,0.9889987,0.98338205,0.9637553,0.9547052,0.9450498,0.9365841,0.9187483,0.922404,0.9094086,0.9123313,0.9117339,0.91964215,0.92004114,0.92617494
L08,0.3769336,0.8448608,0.95360667,0.9610936,0.9777356,0.9781922,0.99529874,0.9986697,1.0,0.9952921,0.9917625,0.9869031,0.96904725,0.96070546,0.95155704,0.942974,0.92599154,0.92957646,0.91670156,0.91961116,0.91876996,0.92536896,0.9250162,0.93007416
L09,0.38644764,0.8350266,0.93703437,0.94574803,0.968409,0.97224176,0.988322,0.9929695,0.9952921,1.0,0.99732417,0.9933699,0.9790573,0.97232646,0.96458995,0.95766544,0.9420016,0.9461751,0.93477046,0.93703645,0.93685764,0.94226885,0.9409986,0.9428286
L10,0.40580207,0.84206,0.9286596,0.9373099,0.95883113,0.9630093,0.982094,0.9889987,0.9917625,0.99732417,1.0,0.9981197,0.98743206,0.98148924,0.9737194,0.96738726,0.95353836,0.95606804,0.94409627,0.9463366,0.94520056,0.94892246,0.9471535,0.9474209
L11,0.42199957,0.8465681,0.9196831,0.9283535,0.9465596,0.9505493,0.97409874,0.98338205,0.9869031,0.9933699,0.9981197,1.0,0.99311775,0.9879825,0.9805167,0.97376525,0.9611147,0.962673,0.9495583,0.951696,0.94997627,0.95224947,0.95003086,0.94967306
L12,0.44353735,0.844847,0.89141333,0.89961165,0.92031294,0.92698777,0.9517064,0.9637553,0.96904725,0.9790573,0.98743206,0.99311775,1.0,0.99772364,0.99303246,0.98731315,0.9791148,0.9787502,0.9662343,0.9663105,0.9633787,0.96083784,0.9557123,0.951292
L13,0.44070292,0.8363624,0.88025147,0.88885164,0.9108619,0.91836727,0.94228643,0.9547052,0.96070546,0.97232646,0.98148924,0.9879825,0.99772364,1.0,0.9970507,0.99230295,0.9855318,0.9845998,0.9727788,0.9721039,0.96956605,0.96598953,0.9608051,0.95430577
L14,0.4398496,0.82240784,0.870014,0.87893754,0.90295887,0.9119376,0.9328207,0.9450498,0.95155704,0.96458995,0.9737194,0.9805167,0.99303246,0.9970507,1.0,0.9964438,0.9915944,0.9914979,0.98208237,0.9803004,0.97814244,0.9737953,0.9679423,0.96108097
L15,0.44829172,0.8134248,0.8562561,0.8659331,0.8955527,0.9065654,0.92473,0.9365841,0.942974,0.95766544,0.96738726,0.97376525,0.98731315,0.99230295,0.9964438,1.0,0.99681497,0.9949244,0.98688036,0.9845055,0.9834062,0.97985685,0.9748453,0.9660632
L16,0.45656633,0.80205137,0.8352265,0.8443973,0.8756972,0.8880842,0.9057757,0.9187483,0.92599154,0.9420016,0.95353836,0.9611147,0.9791148,0.9855318,0.9915944,0.99681497,1.0,0.9969866,0.9910693,0.98863,0.9874374,0.982446,0.97600305,0.96540135
