task,layer,tau,metric,mean,sem,n
push,5,-3,speed,1.47760524948438,0.09637878229429002,30
push,5,-2,speed,1.4273348569869995,0.08418746256898947,30
push,5,-1,speed,1.5066607177257538,0.1000858550160813,30
push,5,0,speed,1.4401053627332052,0.07220264163139681,30
push,5,1,speed,1.4103449821472167,0.07387331059473996,30
push,5,2,speed,1.3943768421808878,0.0750213551503616,30
push,5,3,speed,1.351708189646403,0.06534140752224764,30
push,5,4,speed,1.588984978199005,0.10345349474755433,30
push,5,5,speed,1.575326782464981,0.11416617385417313,30
push,5,6,speed,1.5751282334327699,0.08277223230768894,30
push,5,7,speed,1.683794383207957,0.09968347640309005,30
push,5,8,speed,1.6099642435709636,0.09515284943034812,30
push,5,-8,curvature,2.5325989514691667,0.042809612654901234,30
push,5,-7,curvature,2.52346096451212,0.04710218083584753,30
push,5,-6,curvature,2.5521144015527693,0.04788899044891742,30
push,5,-5,curvature,2.5575893611483527,0.039853165353225715,30
push,5,-4,curvature,2.4598721313910477,0.05781206573413614,30
push,5,-3,curvature,2.5315283355008193,0.03980583316354358,30
push,5,-2,curvature,2.484100301856105,0.04474322406822436,30
push,5,-1,curvature,2.4626570512692663,0.04637132596444561,30
push,5,0,curvature,2.479808766373205,0.04233491206283901,30
push,5,1,curvature,2.411039285080936,0.04373872025982824,30
push,5,2,curvature,2.3684540082750347,0.05324895276624877,30
push,5,3,curvature,2.27728947013228,0.05637731660555182,30
push,5,4,curvature,2.4060165040062347,0.04958494809164515,30
push,5,5,curvature,2.4621206099768993,0.04768693628028889,30
push,5,6,curvature,2.426137091431562,0.0592201958376834,30
push,5,7,curvature,2.5022806701567535,0.04398095233664259,30
push,5,8,curvature,2.4766229347482045,0.043707011606989254,30
push,5,-8,tortuosity,7.429465008746393,0.5416710207353402,30
push,5,-7,tortuosity,7.1089051824772564,0.45373198553008254,30
push,5,-6,tortuosity,7.134033732665182,0.5766549417134099,30
push,5,-5,tortuosity,6.624551807654267,0.40974041670159095,30
push,5,-4,tortuosity,6.4341444888545425,0.4652356602130582,30
push,5,-3,tortuosity,5.955097937009822,0.2626143365931893,30
push,5,-2,tortuosity,6.026574118662972,0.3563452664557225,30
push,5,-1,tortuosity,5.843404519583469,0.2644436493515852,30
push,5,0,tortuosity,5.460355762808772,0.3442535380325168,30
push,5,1,tortuosity,5.033674613611026,0.3004227471567074,30
push,5,2,tortuosity,5.135439602915704,0.28352984606693676,30
push,5,3,tortuosity,5.138264898766286,0.29071325303633333,30
push,5,4,tortuosity,4.969970791704521,0.2214572360563758,30
push,5,5,tortuosity,5.3252504053280445,0.21850270407212347,30
push,5,6,tortuosity,5.503310277167582,0.2975351435360191,30
push,5,7,tortuosity,5.6073516922955795,0.221464722510563,30
push,5,8,tortuosity,5.902741409846002,0.3323981773824915,30
