,L00,L01,L02,L03,L04,L05,L06,L07,L08,L09,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23
L00,1.0,0.6570749,0.6189333,0.6197884,0.61336744,0.61235213,0.6286196,0.63521004,0.63965774,0.6613434,0.6649402,0.66738105,0.6738424,0.69426644,0.6975484,0.69316703,0.6894079,0.7013701,0.70652694,0.7205895,0.7381432,0.7508027,0.7560271,0.7194548
L01,0.6570749,1.0,0.9223045,0.92066,0.89863163,0.88895565,0.9023673,0.90646243,0.9051156,0.9016309,0.89769775,0.9016224,0.89001244,0.89349157,0.8922157,0.89786077,0.89008945,0.8793349,0.8734232,0.8647719,0.8621275,0.8414332,0.82066125,0.7505927
L02,0.6189333,0.9223045,1.0,0.99900806,0.97683287,0.96685296,0.9731673,0.9728575,0.96568793,0.9599536,0.95368856,0.9568883,0.93895113,0.93393713,0.9302648,0.9405853,0.9331379,0.91631037,0.9123041,0.899365,0.89296114,0.8666246,0.8392388,0.76262623
L03,0.6197884,0.92066,0.99900806,1.0,0.98058563,0.9716488,0.9770962,0.9767613,0.9699931,0.965043,0.9591888,0.9623743,0.9449114,0.9397555,0.93589133,0.9453294,0.938292,0.92185116,0.91811407,0.90563667,0.89910465,0.8728243,0.84495217,0.768305
L04,0.61336744,0.89863163,0.97683287,0.98058563,1.0,0.99867517,0.9950063,0.992382,0.98519987,0.9792911,0.97352207,0.9727464,0.9539618,0.94623834,0.9390914,0.94949514,0.9432424,0.92605406,0.9254013,0.9128036,0.9053749,0.8785588,0.84902185,0.7723204
L05,0.61235213,0.88895565,0.96685296,0.9716488,0.99867517,1.0,0.99479675,0.99204046,0.98528606,0.98004496,0.97482955,0.9735898,0.9554506,0.9478887,0.9404594,0.95029366,0.94490737,0.9283791,0.92830026,0.91606086,0.9082222,0.88175267,0.8518575,0.77542025
L06,0.6286196,0.9023673,0.9731673,0.9770962,0.9950063,0.99479675,1.0,0.9993827,0.9949921,0.98932457,0.984871,0.9841282,0.9686404,0.96348,0.95640063,0.9652685,0.96015096,0.9448262,0.94297904,0.93151796,0.9235356,0.8981395,0.86824065,0.7914755
L07,0.63521004,0.90646243,0.9728575,0.9767613,0.992382,0.99204046,0.9993827,1.0,0.9967656,0.99088204,0.98726153,0.98693347,0.9726094,0.9683211,0.9617219,0.96993667,0.9651747,0.95045155,0.94825244,0.9370581,0.92905086,0.9040199,0.8742828,0.79768944
L08,0.63965774,0.9051156,0.96568793,0.9699931,0.98519987,0.98528606,0.9949921,0.9967656,1.0,0.9926069,0.9888671,0.98723316,0.9732205,0.96933633,0.9628066,0.96942586,0.96490556,0.9514757,0.94925064,0.9393778,0.93178684,0.9075587,0.87832105,0.8029671
L09,0.6613434,0.9016309,0.9599536,0.965043,0.9792911,0.98004496,0.98932457,0.99088204,0.9926069,1.0,0.9976055,0.9957863,0.98559165,0.98132,0.9757751,0.97885334,0.9747986,0.9646255,0.9630905,0.9559173,0.9501479,0.9282051,0.9020488,0.82693124
L10,0.6649402,0.89769775,0.95368856,0.9591888,0.97352207,0.97482955,0.984871,0.98726153,0.9888671,0.9976055,1.0,0.99853873,0.99010193,0.9868874,0.9821659,0.98281336,0.97968686,0.9709248,0.9696944,0.9628776,0.9566823,0.9352569,0.90930533,0.83437055
L11,0.66738105,0.9016224,0.9568883,0.9623743,0.9727464,0.9735898,0.9841282,0.98693347,0.98723316,0.9957863,0.99853873,1.0,0.99225944,0.9898497,0.9858183,0.986453,0.9832999,0.9744736,0.9725505,0.96524435,0.9591158,0.9375809,0.91158426,0.8364198
L12,0.6738424,0.89001244,0.93895113,0.9449114,0.9539618,0.9554506,0.9686404,0.9726094,0.9732205,0.98559165,0.99010193,0.99225944,1.0,0.99381083,0.9889728,0.9862779,0.9846182,0.9780278,0.9763038,0.970992,0.96538454,0.9468848,0.9253073,0.854745
L13,0.69426644,0.89349157,0.93393713,0.9397555,0.94623834,0.9478887,0.96348,0.9683211,0.96933633,0.98132,0.9868874,0.9898497,0.99381083,1.0,0.9975255,0.99450535,0.9926934,0.98934823,0.9871761,0.98374313,0.9790763,0.9635681,0.9405894,0.8723889
L14,0.6975484,0.8922157,0.9302648,0.93589133,0.9390914,0.9404594,0.95640063,0.9617219,0.9628066,0.9757751,0.9821659,0.9858183,0.9889728,0.9975255,1.0,0.9966576,0.9954676,0.99366593,0.99113834,0.987428,0.98203367,0.96570235,0.94196683,0.8722966
L15,0.69316703,0.89786077,0.9405853,0.9453294,0.94949514,0.95029366,0.9652685,0.96993667,0.96942586,0.97885334,0.98281336,0.986453,0.9862779,0.99450535,0.9966576,1.0,0.9985044,0.99451745,0.9913861,0.9853714,0.97913206,0.9614987,0.93668634,0.86521274
L16,0.6894079,0.89008945,0.9331379,0.938292,0.9432424,0.94490737,0.96015096,0.9651747,0.96490556,0.9747986,0.97968686,0.9832999,0.9846182,0.9926934,0.9954676,0.9985044,1.0,0.9968356,0.9935912,0.98776543,0.98010874,0.9626265,0.9378869,0.86693054
L17,0.7013701,0.8793349,0.91631037,0.92185116,0.92605406,0.9283791,0.9448262,0.95045155,0.9514757,0.9646255,0.9709248,0.9744736,0.9780278,0.98934823,0.99366593,0.99451745,0.9968356,1.0,0.99830496,0.9946276,0.98803097,0.9733004,0.9504495,0.8813416
L18,0.70652694,0.8734232,0.9123041,0.91811407,0.9254013,0.92830026,0.94297904,0.94825244,0.94925064,0.9630905,0.9696944,0.9725505,0.9763038,0.9871761,0.99113834,0.9913861,0.9935912,0.99830496,1.0,0.99744004,0.99187565,0.9783248,0.9574714,0.8903066
L19,0.7205895,0.8647719,0.899365,0.90563667,0.9128036,0.91606086,0.93151796,0.9370581,0.9393778,0.9559173,0.9628776,0.96524435,0.970992,0.98374313,0.987428,0.9853714,0.98776543,0.9946276,0.99744004,1.0,0.9974544,0.9881274,0.96990347,0.9091728
L20,0.7381432,0.8621275,0.89296114,0.89910465,0.9053749,0.9082222,0.9235356,0.92905086,0.93178684,0.9501479,0.9566823,0.9591158,0.96538454,0.9790763,0.98203367,0.97913206,0.98010874,0.98803097,0.99187565,0.9974544,1.0,0.9945492,0.98025775,0.9246748
L21,0.7508027,0.8414332,0.8666246,0.8728243,0.8785588,0.88175267,0.8981395,0.9040199,0.9075587,0.9282051,0.9352569,0.9375809,0.9468848,0.9635681,0.96570235,0.9614987,0.9626265,0.9733004,0.9783248,0.9881274,0.9945492,1.0,0.9926121,0.9530106
L22,0.7560271,0.82066125,0.8392388,0.84495217,0.84902185,0.8518575,0.86824065,0.8742828,0.87832105,0.9020488,0.90930533,0.91158426,0.9253073,0.9405894,0.94196683,0.93668634,0.9378869,0.9504495,0.9574714,0.96990347,0.98025775,0.9926121,1.0,0.9737501
L23,0.7194548,0.7505927,0.76262623,0.768305,0.7723204,0.77542025,0.7914755,0.79768944,0.8029671,0.82693124,0.83437055,0.8364198,0.854745,0.8723889,0.8722966,0.86521274,0.86693054,0.8813416,0.8903066,0.9091728,0.9246748,0.9530106,0.9737501,1.0
