,L00,L01,L02,L03,L04,L05,L06,L07,L08,L09,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23
L00,1.0,0.77870524,0.29536018,0.29835775,0.32518032,0.3361053,0.31333014,0.31742075,0.30772823,0.2992311,0.3066853,0.31277925,0.3093614,0.3084402,0.34522435,0.37305582,0.4038242,0.39411625,0.41135845,0.40367135,0.37994367,0.36128777,0.35253748,0.32865766
L01,0.77870524,1.0,0.6952571,0.6119988,0.6583351,0.63796854,0.6136521,0.611562,0.5614495,0.44923276,0.47119772,0.5182623,0.5081644,0.50799817,0.5684115,0.5982803,0.61908275,0.6028461,0.6109136,0.57335573,0.53113925,0.50828767,0.49243262,0.46112525
L02,0.29536018,0.6952571,1.0,0.9417414,0.8987416,0.81895393,0.77994525,0.75718325,0.6690509,0.48333132,0.47573164,0.52533555,0.48063925,0.47945595,0.5345024,0.5626092,0.5521434,0.5344814,0.5344069,0.48948205,0.45111963,0.42427355,0.41277248,0.3883304
L03,0.29835775,0.6119988,0.9417414,1.0,0.9309237,0.8384001,0.81157076,0.7860729,0.69511396,0.5080394,0.48272803,0.51302326,0.46426645,0.4591667,0.5102001,0.54222476,0.53949755,0.5244713,0.53311366,0.49630392,0.45806316,0.42653516,0.41167387,0.38394454
L04,0.32518032,0.6583351,0.8987416,0.9309237,1.0,0.92601866,0.88491714,0.8669127,0.78197867,0.5776055,0.5721684,0.61496055,0.5562345,0.56484556,0.6092099,0.6337649,0.62630445,0.60882473,0.61391085,0.576962,0.5429842,0.51942766,0.50561965,0.47562104
L05,0.3361053,0.63796854,0.81895393,0.8384001,0.92601866,1.0,0.94945294,0.8979804,0.80394477,0.59541845,0.59810054,0.6406439,0.57789046,0.5920751,0.629459,0.6475207,0.6443244,0.62823766,0.6297575,0.5990657,0.5635958,0.539221,0.5166997,0.48061565
L06,0.31333014,0.6136521,0.77994525,0.81157076,0.88491714,0.94945294,1.0,0.96302605,0.88129216,0.6541371,0.6659181,0.70806074,0.633252,0.6548126,0.69358283,0.7107218,0.7076202,0.6920874,0.68852025,0.6613318,0.6218924,0.5940114,0.56348073,0.52034456
L07,0.31742075,0.611562,0.75718325,0.7860729,0.8669127,0.8979804,0.96302605,1.0,0.9381364,0.70847327,0.73290944,0.7769698,0.6877984,0.7197451,0.7547902,0.77007765,0.7628667,0.74830467,0.74195874,0.719216,0.68358845,0.6572222,0.6263315,0.5799451
L08,0.30772823,0.5614495,0.6690509,0.69511396,0.78197867,0.80394477,0.88129216,0.9381364,1.0,0.77896893,0.80296063,0.8335988,0.7252414,0.75722533,0.78140396,0.7929365,0.7828952,0.7729194,0.76499027,0.75121695,0.72091204,0.699138,0.6751139,0.63184565
L09,0.2992311,0.44923276,0.48333132,0.5080394,0.5776055,0.59541845,0.6541371,0.70847327,0.77896893,1.0,0.96407604,0.92093277,0.74280804,0.75647724,0.76092243,0.7527193,0.73240143,0.7333112,0.7069696,0.6956594,0.6848082,0.6527974,0.6328027,0.5966888
