layer,task_i,task_j,cka
0,push,strike,0.7995614169229193
0,push,reach,0.573181491850818
0,push,drawer,0.40940204883033704
0,push,peg_insert,0.5387152780782644
0,push,nut_thread,0.5953037764979026
0,strike,reach,0.3909058230447999
0,strike,drawer,0.2722298830069019
0,strike,peg_insert,0.33572527657417967
0,strike,nut_thread,0.35741822686292013
0,reach,drawer,0.3915065010685647
0,reach,peg_insert,0.5637549598824808
0,reach,nut_thread,0.5867542481427581
0,drawer,peg_insert,0.7826697376220809
0,drawer,nut_thread,0.602910832419269
0,peg_insert,nut_thread,0.8234262591910047
1,push,strike,0.9665546370525856
1,push,reach,0.7910073643706539
1,push,drawer,0.6451335785662193
1,push,peg_insert,0.6504166231908448
1,push,nut_thread,0.36642584304330017
1,strike,reach,0.8427589978909751
1,strike,drawer,0.6966343030696736
1,strike,peg_insert,0.6624910700847118
1,strike,nut_thread,0.3050756392592555
1,reach,drawer,0.7740638779175724
1,reach,peg_insert,0.805689334538959
1,reach,nut_thread,0.3982426788615325
1,drawer,peg_insert,0.7242974771430647
1,drawer,nut_thread,0.4132701297721364
1,peg_insert,nut_thread,0.7109949930749097
2,push,strike,0.9864835547898353
2,push,reach,0.9454760320141291
2,push,drawer,0.9348854689139496
2,push,peg_insert,0.871289478748126
2,push,nut_thread,0.6944790725528576
2,strike,reach,0.9633509029657392
2,strike,drawer,0.9543241121232506
2,strike,peg_insert,0.8975396371770918
2,strike,nut_thread,0.692845358678361
2,reach,drawer,0.9534337290640741
2,reach,peg_insert,0.943684428864254
2,reach,nut_thread,0.7604573006560249
2,drawer,peg_insert,0.9245649391345466
2,drawer,nut_thread,0.7253748581430073
2,peg_insert,nut_thread,0.8667206036198584
3,push,strike,0.9871188574030617
3,push,reach,0.9254271305827791
3,push,drawer,0.9296715064561384
3,push,peg_insert,0.8635300828286003
3,push,nut_thread,0.7390802431039138
3,strike,reach,0.9377557962225902
3,strike,drawer,0.9380695060860196
3,strike,peg_insert,0.8766703666159519
3,strike,nut_thread,0.7222140018417588
3,reach,drawer,0.8998689151849216
3,reach,peg_insert,0.9239811668106912
3,reach,nut_thread,0.7719374157229287
3,drawer,peg_insert,0.8744546927031615
3,drawer,nut_thread,0.7326967643311396
3,peg_insert,nut_thread,0.8776360054502829
4,push,strike,0.985737704533834
4,push,reach,0.9486016827808869
4,push,drawer,0.7883785393720035
4,push,peg_insert,0.3731391523496527
4,push,nut_thread,0.33806532607891615
4,strike,reach,0.9355519945614857
4,strike,drawer,0.8191107178429966
4,strike,peg_insert,0.4012613804455301
4,strike,nut_thread,0.33697292838428683
4,reach,drawer,0.7133955306767612
4,reach,peg_insert,0.35239833755496236
4,reach,nut_thread,0.32343217597603485
4,drawer,peg_insert,0.6605088209509405
4,drawer,nut_thread,0.5307149068384823
4,peg_insert,nut_thread,0.8398388738823299
5,push,strike,0.9867987232581114
5,push,reach,0.9500993683920569
5,push,drawer,0.7768161756968011
5,push,peg_insert,0.29686413759637303
5,push,nut_thread,0.27641983027779965
5,strike,reach,0.9313991020201865
5,strike,drawer,0.8026287226346226
5,strike,peg_insert,0.31387337937959037
5,strike,nut_thread,0.2593946950791265
5,reach,drawer,0.6932891605131714
5,reach,peg_insert,0.26780844450276287
5,reach,nut_thread,0.24968033758567135
5,drawer,peg_insert,0.5127294765751302
5,drawer,nut_thread,0.39198063869535543
5,peg_insert,nut_thread,0.7906246845242458
6,push,strike,0.9814517694979737
6,push,reach,0.8920031279026781
6,push,drawer,0.634847138737831
6,push,peg_insert,0.2375109524354906
6,push,nut_thread,0.23559291621596784
6,strike,reach,0.8630523714586277
6,strike,drawer,0.633158705893978
6,strike,peg_insert,0.2412489746221171
6,strike,nut_thread,0.21897791601632804
6,reach,drawer,0.5096182162946511
6,reach,peg_insert,0.2106009803523827
6,reach,nut_thread,0.20877357492016665
6,drawer,peg_insert,0.41297329642971725
6,drawer,nut_thread,0.35450914373699516
6,peg_insert,nut_thread,0.7771400240563254
7,push,strike,0.980983494666846
7,push,reach,0.8689174240409432
7,push,drawer,0.6252974853193888
7,push,peg_insert,0.24485399956763107
7,push,nut_thread,0.2100124920105613
7,strike,reach,0.8554259429314616
7,strike,drawer,0.6173387060746512
7,strike,peg_insert,0.24397468618600815
7,strike,nut_thread,0.18931730832518293
7,reach,drawer,0.47347773238558233
7,reach,peg_insert,0.22379862660124117
7,reach,nut_thread,0.17663121070541163
7,drawer,peg_insert,0.42376729361072013
7,drawer,nut_thread,0.33539392495898335
7,peg_insert,nut_thread,0.7498527938795188
8,push,strike,0.9857675842753221
8,push,reach,0.8708354546270951
8,push,drawer,0.6260373555475138
8,push,peg_insert,0.16949793693514664
8,push,nut_thread,0.17693049696696014
8,strike,reach,0.8612399647443716
8,strike,drawer,0.6350662749436019
8,strike,peg_insert,0.16799831108964566
8,strike,nut_thread,0.16383689200956716
8,reach,drawer,0.4923871460653017
8,reach,peg_insert,0.1530718933861235
8,reach,nut_thread,0.15268886874521787
8,drawer,peg_insert,0.30796160542757584
8,drawer,nut_thread,0.24414330057463218
8,peg_insert,nut_thread,0.6612351492973317
9,push,strike,0.9594800542918989
9,push,reach,0.7578794845786424
9,push,drawer,0.5884104237660158
9,push,peg_insert,0.13855491248525734
9,push,nut_thread,0.1774995860942542
9,strike,reach,0.7614851712802029
9,strike,drawer,0.6159679749313908
9,strike,peg_insert,0.11478781224332148
9,strike,nut_thread,0.14134993665673845
9,reach,drawer,0.48478978703897035
9,reach,peg_insert,0.13198901557078555
9,reach,nut_thread,0.1810959620523262
9,drawer,peg_insert,0.15872664132259434
9,drawer,nut_thread,0.16331004866378385
9,peg_insert,nut_thread,0.5449559950365583
10,push,strike,0.9548336485188658
10,push,reach,0.7438884207803802
10,push,drawer,0.5422008892112654
10,push,peg_insert,0.14720806947424409
10,push,nut_thread,0.16194983192531553
10,strike,reach,0.7433579552404239
10,strike,drawer,0.5703292215612071
10,strike,peg_insert,0.11291135106093313
10,strike,nut_thread,0.12130014173338186
10,reach,drawer,0.44980785956015923
10,reach,peg_insert,0.13876651657153033
10,reach,nut_thread,0.1754094274186774
10,drawer,peg_insert,0.14630521115990766
10,drawer,nut_thread,0.14711055583971502
10,peg_insert,nut_thread,0.5777527616324128
11,push,strike,0.9454397091810858
11,push,reach,0.7234909727548579
11,push,drawer,0.5059040380832206
11,push,peg_insert,0.16736250121207724
11,push,nut_thread,0.16400721436982021
11,strike,reach,0.7187673646467996
11,strike,drawer,0.5434475171820333
11,strike,peg_insert,0.12849898978442117
11,strike,nut_thread,0.12124018628691662
11,reach,drawer,0.4161282014105611
11,reach,peg_insert,0.16201098780693682
11,reach,nut_thread,0.1847086722699168
11,drawer,peg_insert,0.15213439295786257
11,drawer,nut_thread,0.1457574810964421
11,peg_insert,nut_thread,0.6410414855972519
12,push,strike,0.8708000256154653
12,push,reach,0.6204872036440213
12,push,drawer,0.35517312992476374
12,push,peg_insert,0.17296861313675485
12,push,nut_thread,0.18644512253922016
12,strike,reach,0.6323343021002666
12,strike,drawer,0.4288176031611143
12,strike,peg_insert,0.10851867779342653
12,strike,nut_thread,0.12731744191762476
12,reach,drawer,0.3220049631762533
12,reach,peg_insert,0.2620479453341537
12,reach,nut_thread,0.2885680609901861
12,drawer,peg_insert,0.09616629815180329
12,drawer,nut_thread,0.12485661747294396
12,peg_insert,nut_thread,0.6919859004574564
13,push,strike,0.884468271701455
13,push,reach,0.6482927564141718
13,push,drawer,0.3848788736137496
13,push,peg_insert,0.1937040998674212
13,push,nut_thread,0.2060546541753754
13,strike,reach,0.6421842266908934
13,strike,drawer,0.466479542654586
13,strike,peg_insert,0.12722621885824761
13,strike,nut_thread,0.14950144742465651
13,reach,drawer,0.3388556128177726
13,reach,peg_insert,0.25238213691906725
13,reach,nut_thread,0.2509197335667977
13,drawer,peg_insert,0.11518363969649886
13,drawer,nut_thread,0.13560368194894568
13,peg_insert,nut_thread,0.652244623109795
14,push,strike,0.8858532202506136
14,push,reach,0.6551770177382371
14,push,drawer,0.4316710871016268
14,push,peg_insert,0.2156517178468068
14,push,nut_thread,0.2227854907549231
14,strike,reach,0.6550359847864803
14,strike,drawer,0.5467811272898767
14,strike,peg_insert,0.15437024725255105
14,strike,nut_thread,0.17271371180613337
14,reach,drawer,0.3740045498994316
14,reach,peg_insert,0.24145392987592681
14,reach,nut_thread,0.24354193518333717
14,drawer,peg_insert,0.1422210921689127
14,drawer,nut_thread,0.16197202788023748
14,peg_insert,nut_thread,0.6840426286428407
15,push,strike,0.8862765529011771
15,push,reach,0.6491733978519829
15,push,drawer,0.41275446920018105
15,push,peg_insert,0.20654359540552916
15,push,nut_thread,0.204735409991962
15,strike,reach,0.6810010607387288
15,strike,drawer,0.5252593739876822
15,strike,peg_insert,0.1423265514915728
15,strike,nut_thread,0.1425494338087627
15,reach,drawer,0.42468514524217965
15,reach,peg_insert,0.18536250715828761
15,reach,nut_thread,0.1846758161851729
15,drawer,peg_insert,0.14290304131471207
15,drawer,nut_thread,0.15068293947936864
15,peg_insert,nut_thread,0.6625234115075531
16,push,strike,0.8729329665355796
16,push,reach,0.638742990995643
16,push,drawer,0.4349251893749191
16,push,peg_insert,0.23819897596833525
16,push,nut_thread,0.24125763314722196
16,strike,reach,0.6631219404049118
16,strike,drawer,0.5330132510662239
16,strike,peg_insert,0.17538741713299105
16,strike,nut_thread,0.1687168050061591
16,reach,drawer,0.43690786546620647
16,reach,peg_insert,0.20014865168486756
16,reach,nut_thread,0.21545528487613344
16,drawer,peg_insert,0.17528458814501016
16,drawer,nut_thread,0.1696294173824335
16,peg_insert,nut_thread,0.6749532141318314
17,push,strike,0.8789122653562407
17,push,reach,0.6379425429448801
17,push,drawer,0.4694557379227754
17,push,peg_insert,0.2743070935033883
17,push,nut_thread,0.27456165664564813
17,strike,reach,0.6683906850465275
17,strike,drawer,0.5765455491725687
17,strike,peg_insert,0.1951388226061201
17,strike,nut_thread,0.19812729246415234
17,reach,drawer,0.5225355008870102
17,reach,peg_insert,0.22387508248310084
17,reach,nut_thread,0.2284231981820162
17,drawer,peg_insert,0.14659928302477934
17,drawer,nut_thread,0.1556552708342645
17,peg_insert,nut_thread,0.6167997102644722
18,push,strike,0.8861729870323842
18,push,reach,0.6569496864233638
18,push,drawer,0.5125337175119143
18,push,peg_insert,0.2846199538019361
18,push,nut_thread,0.2897621213549829
18,strike,reach,0.6918585150622887
18,strike,drawer,0.6193055786439378
18,strike,peg_insert,0.19918853151186944
18,strike,nut_thread,0.2046650631208527
18,reach,drawer,0.5643943198395828
18,reach,peg_insert,0.2235339431009269
18,reach,nut_thread,0.22888612804105538
18,drawer,peg_insert,0.13697280797818234
18,drawer,nut_thread,0.1426640798332424
18,peg_insert,nut_thread,0.6192489052544027
19,push,strike,0.8820262739700276
19,push,reach,0.6510428702625979
19,push,drawer,0.49544331160043986
19,push,peg_insert,0.3789938933902358
19,push,nut_thread,0.3558058059133865
19,strike,reach,0.6730730046809809
19,strike,drawer,0.6137322162998834
19,strike,peg_insert,0.2669726317731406
19,strike,nut_thread,0.24079527170600412
19,reach,drawer,0.5661511887132458
19,reach,peg_insert,0.30374324695844857
19,reach,nut_thread,0.30252422712731625
19,drawer,peg_insert,0.15210785379212588
19,drawer,nut_thread,0.13514687285965157
19,peg_insert,nut_thread,0.6588478746098976
20,push,strike,0.8963475914495601
20,push,reach,0.6639756044311992
20,push,drawer,0.4478040551358592
20,push,peg_insert,0.4149024424915664
20,push,nut_thread,0.40132898363750685
20,strike,reach,0.6599194379699449
20,strike,drawer,0.5580501518821965
20,strike,peg_insert,0.31150885485940055
20,strike,nut_thread,0.2977884210428291
20,reach,drawer,0.5305714747808964
20,reach,peg_insert,0.3820887941765925
20,reach,nut_thread,0.3801685525662548
20,drawer,peg_insert,0.12726196479523028
20,drawer,nut_thread,0.11939647642380932
20,peg_insert,nut_thread,0.681187538129421
21,push,strike,0.867589385831024
21,push,reach,0.5973727396799422
21,push,drawer,0.35380565949062215
21,push,peg_insert,0.4551270227480794
21,push,nut_thread,0.4201418041714238
21,strike,reach,0.5642251890010925
21,strike,drawer,0.45508063936382337
21,strike,peg_insert,0.3461438886504355
21,strike,nut_thread,0.3195307484600189
21,reach,drawer,0.4221448210450928
21,reach,peg_insert,0.45096649413776435
21,reach,nut_thread,0.4286197239275033
21,drawer,peg_insert,0.10636403480284144
21,drawer,nut_thread,0.10002661702589807
21,peg_insert,nut_thread,0.7035288579103302
22,push,strike,0.8256815523922394
22,push,reach,0.5537706415977549
22,push,drawer,0.25487766494905395
22,push,peg_insert,0.43830219012064153
22,push,nut_thread,0.392930934395177
22,strike,reach,0.49393063306453583
22,strike,drawer,0.3321514178192949
22,strike,peg_insert,0.3586079892374694
22,strike,nut_thread,0.3101462777636939
22,reach,drawer,0.2843955759711023
22,reach,peg_insert,0.443417417368959
22,reach,nut_thread,0.3851546590667198
22,drawer,peg_insert,0.08252134052937966
22,drawer,nut_thread,0.07653061515263285
22,peg_insert,nut_thread,0.6694651947204655
23,push,strike,0.758204972818383
23,push,reach,0.5360713401092849
23,push,drawer,0.19239635751405992
23,push,peg_insert,0.4275334838425847
23,push,nut_thread,0.3292111593410947
23,strike,reach,0.4998110200766935
23,strike,drawer,0.2417545493969815
23,strike,peg_insert,0.39999275707353876
23,strike,nut_thread,0.3031387856560654
23,reach,drawer,0.21576926666434684
23,reach,peg_insert,0.4555550852038951
23,reach,nut_thread,0.3633761661114454
23,drawer,peg_insert,0.08746463680999285
23,drawer,nut_thread,0.08000571670917261
23,peg_insert,nut_thread,0.6337048536663413
