layer,avg_cka
0,0.5348977406819662
1,0.6502037684122721
2,0.8743273417154948
3,0.8666741689046223
4,0.6231404622395833
5,0.5666937510172526
6,0.49409720102945964
7,0.4812695821126302
8,0.4445798873901367
9,0.3946854909261068
10,0.3822087605794271
11,0.381329345703125
12,0.35256614685058596
13,0.36319859822591144
14,0.38581835428873695
15,0.3734302520751953
16,0.3892450968424479
17,0.4044846852620443
18,0.4173837661743164
19,0.4450937906901042
20,0.45815334320068357
21,0.43937791188557945
22,0.3934589385986328
23,0.3682659784952799
