task,layer,group,rho1,energy,rank90,n_components
reach,23,acc,0.2616336269843449,0.083110938655396,2,3
reach,23,ct,,,1,5
drawer,0,pos,0.9181892410818605,1.6411541103218608,3,6
drawer,0,vel,0.7490196963144787,0.6188895824906094,1,6
drawer,0,acc,0.16783694138538466,0.039078655677003006,3,6
drawer,0,ct,0.8367866682163305,1.1492325846209095,3,5
drawer,1,pos,0.9376852657744108,1.8666429679940004,4,6
drawer,1,vel,0.7901950720782728,0.7245403352764297,2,6
drawer,1,acc,0.18753341881754101,0.0589038294101667,3,6
drawer,1,ct,0.842639468104601,1.288566459765718,3,5
drawer,2,pos,0.8789897957923174,1.0950523991251762,2,3
drawer,2,vel,0.6903476746310215,0.49740465371705406,1,3
drawer,2,acc,0.1493148414860741,0.02327049815409079,1,3
drawer,2,ct,0.7342573175230364,0.6956215009233855,2,3
drawer,3,pos,0.8960018285109487,1.3272317562369544,3,4
drawer,3,vel,0.7646830833412696,0.6132199185986816,1,4
drawer,3,acc,0.185400882165286,0.0366533200277499,1,4
drawer,3,ct,0.7476341316321223,0.8393284067079458,2,4
drawer,4,pos,0.9231361124649606,1.5934325542231407,3,6
drawer,4,vel,0.7955886061249,0.6771009109900893,1,6
drawer,4,acc,0.20814935983355298,0.053975130161029936,2,6
drawer,4,ct,0.7704057221241665,1.029336919090701,3,5
drawer,5,pos,0.9402608346886183,1.8105816952306368,3,6
drawer,5,vel,0.8035980135993744,0.7104849155059041,1,6
drawer,5,acc,0.2583744410406697,0.08166377731323154,2,6
drawer,5,ct,0.7718880948868729,1.232911020659604,3,5
drawer,6,pos,0.963364129428154,2.0314097531657485,3,6
drawer,6,vel,0.8211126444925831,0.7793555673380181,2,6
drawer,6,acc,0.3472730767501122,0.1496838040043635,2,6
drawer,6,ct,0.7818514920835805,1.4135404904933333,4,5
drawer,7,pos,0.9762956466724715,2.2178345442274856,4,6
drawer,7,vel,0.8311124242099915,0.8365426985470932,2,6
drawer,7,acc,0.3630343356467447,0.17040278150105304,3,6
drawer,7,ct,0.8095354358243645,1.6380644544066265,4,5
drawer,8,pos,0.9788398514130242,2.428334789917486,4,6
drawer,8,vel,0.8470485781948384,0.8875522155688533,2,6
drawer,8,acc,0.36804067879652597,0.19761499987786718,3,6
drawer,8,ct,0.8255010821697346,1.7625678566691438,4,5
drawer,9,pos,0.9804516949722372,2.7300716760240444,4,6
drawer,9,vel,0.8695162591455659,1.0053579948452551,3,6
drawer,9,acc,0.4379230839048676,0.3387873592225137,4,6
drawer,9,ct,0.8425397035385945,1.8919540127278582,4,5
drawer,10,pos,0.9836595559517121,2.73816562283567,4,6
drawer,10,vel,0.8690660093229681,1.0264493820984968,3,6
drawer,10,acc,0.4294666219076389,0.3488778199389122,4,6
drawer,10,ct,0.8417226974466024,1.9037865413599773,4,5
drawer,11,pos,0.9874286309267699,2.801200417175304,4,6
drawer,11,vel,0.8727001872650099,1.0539957876454227,3,6
drawer,11,acc,0.4297225853995633,0.34863825474018484,4,6
drawer,11,ct,0.8518960915048148,1.9255501249641451,4,5
drawer,12,pos,0.9897143694652201,2.8786744003734714,4,6
drawer,12,vel,0.8786673480378419,1.1278301099080312,3,6
drawer,12,acc,0.47812741003055015,0.40436519732300347,4,6
drawer,12,ct,0.8563273493304737,2.0402161433362185,4,5
drawer,13,pos,0.9888213889236056,2.8786231628179193,5,6
drawer,13,vel,0.8860977636355322,1.142259723174044,3,6
drawer,13,acc,0.4516712182602804,0.3747422222735122,4,6
drawer,13,ct,0.8614887401995382,2.0581566328228997,4,5
drawer,14,pos,0.9881700901485667,2.820598105182004,4,6
drawer,14,vel,0.8875568627094907,1.0814666111221656,3,6
drawer,14,acc,0.4344346423656592,0.3375529756414006,4,6
drawer,14,ct,0.863146582800224,2.0297109100766133,4,5
drawer,15,pos,0.9885454368286358,2.8282854087029854,4,6
drawer,15,vel,0.8974305335220223,1.09340309363377,3,6
drawer,15,acc,0.4076696506325574,0.3262954113752858,4,6
drawer,15,ct,0.8589704576670854,2.060688237848049,4,5
drawer,16,pos,0.9913985262751974,2.8585152957311677,4,6
drawer,16,vel,0.9032946353642183,1.1109231018383383,3,6
drawer,16,acc,0.39689153885131406,0.3011624728509143,4,6
drawer,16,ct,0.8562754067013304,2.037588534443053,4,5
drawer,17,pos,0.9901778664562385,2.768215669574583,4,6
drawer,17,vel,0.9106974370592197,1.113563738943792,3,6
drawer,17,acc,0.39359898833654977,0.2855260612365355,4,6
drawer,17,ct,0.85774937819553,2.0300105179254517,4,5
drawer,18,pos,0.9911218553885179,2.7939132869854992,4,6
drawer,18,vel,0.9128062644925294,1.1173260992054637,3,6
drawer,18,acc,0.3714965941920029,0.2620798507151716,4,6
drawer,18,ct,0.8607537891506742,2.0602713134186867,4,5
drawer,19,pos,0.9910395758030034,2.783565756966325,4,6
drawer,19,vel,0.9118891691195093,1.0988889415688845,3,6
drawer,19,acc,0.3616007740065689,0.24178020500959815,4,6
drawer,19,ct,0.8582230952112252,2.0203276188183894,4,5
drawer,20,pos,0.9903203694630622,2.695065643817916,4,6
drawer,20,vel,0.901928383087476,1.0481122467083928,3,6
drawer,20,acc,0.3608060309686875,0.2293947140580097,4,6
drawer,20,ct,0.8551509701850192,1.9783460284406098,4,5
drawer,21,pos,0.989901144743207,2.720053213093618,4,6
drawer,21,vel,0.906405460947184,1.057996902849402,3,6
drawer,21,acc,0.356432351433648,0.22095850093825298,4,6
drawer,21,ct,0.8533866989275773,2.0033302641589033,4,5
drawer,22,pos,0.9898079687448184,2.7950509412191833,4,6
drawer,22,vel,0.9184723705550363,1.1487236577419664,3,6
drawer,22,acc,0.38914037313853406,0.29540087791095954,4,6
drawer,22,ct,0.851915272784881,2.0765428901613636,4,5
drawer,23,pos,0.9880638150135472,2.734329251344952,4,6
drawer,23,vel,0.914467525175618,1.077107320590695,3,6
drawer,23,acc,0.36750096784844394,0.23863271383107099,4,6
drawer,23,ct,0.8508057144383899,2.0075146890292896,4,5
peg_insert,0,pos,0.8833410601628539,2.245760023422003,5,6
peg_insert,0,vel,0.3349728239345717,0.2363940057539415,4,6
