task,layer,target_split,n_episodes,n_pairs,mean_dz_norm,std_dz_norm,curvature_kappa,sweep_volume,lyap_local
push,0,all,30,6722,0.17202582955360413,0.06895077228546143,17.138670207935455,0.41142545413546827,-0.004282524597673886
push,0,pre,30,1399,0.19476214051246643,0.03132812678813934,15.41871631640743,0.5856025186898526,-0.002123646706138384
push,0,during,30,1629,0.18398302793502808,0.05626856908202171,15.91427108382454,0.9570357450810338,0.001504562827503742
push,0,post,27,3694,0.15814214944839478,0.080198273062706,17.775846884323652,0.5536637245843791,-0.007535239344475877
push,1,all,30,6722,1.0348551273345947,0.8557868003845215,2.060770045204879,21.222666919222466,-0.0060185802734359145
push,1,pre,30,1399,1.306701898574829,0.7000498175621033,1.5454949178141675,20.195375627379548,0.0019722474547702812
push,1,during,30,1629,1.3227620124816895,1.1458760499954224,1.5731901832545014,37.36796927372729,0.003951321944339182
push,1,post,27,3694,0.8049379587173462,0.6713196635246277,2.931866178882267,20.61241978450969,0.00890792830595314
push,2,all,30,6722,1.7053266763687134,1.3421591520309448,1.5497408649648698,114.72860149695846,-0.011689183122515167
push,2,pre,30,1399,2.5007381439208984,1.1116281747817993,0.9910317135086549,46.21489007333751,-0.008429022108514265
push,2,during,30,1629,1.9271546602249146,1.4114118814468384,1.3675150782967689,108.06589188601471,-0.0008793499437186703
push,2,post,27,3694,1.3062636852264404,1.2292155027389526,2.192136956540938,85.95719712384897,0.0035655276935993964
push,3,all,30,6722,1.4240286350250244,1.1206536293029785,1.8838843980825162,89.10763219470029,-0.011589315164529414
push,3,pre,30,1399,2.020012617111206,0.9091743230819702,1.2457073935493659,32.30793565217673,-0.00871913073192514
push,3,during,30,1629,1.6144733428955078,1.1932927370071411,1.6122239096855684,93.35540636382822,0.0006905380099062793
push,3,post,27,3694,1.114332675933838,1.0478017330169678,2.622310824208542,61.979475026063895,0.002639318629306442
push,4,all,30,6722,1.6828734874725342,1.2555248737335205,2.058783106272391,100.70488893876185,-0.00751436182241736
push,4,pre,30,1399,1.927430510520935,0.7451468110084534,1.5124998756587238,21.559141417953605,-0.009868638958614184
push,4,during,30,1629,2.244626760482788,1.6156924962997437,2.6432371690262824,188.50877830203427,0.001554450727182297
push,4,post,27,3694,1.3425291776657104,1.1087735891342163,2.1836811047543145,95.49606426339717,0.00552729084128572
push,5,all,30,6722,1.5154393911361694,1.18767511844635,2.4872155997282133,87.03627974807354,-0.006946790753206467
push,5,pre,30,1399,1.672791838645935,0.6669961810112,1.6614749506857651,18.666896990715045,-0.010661983510156708
push,5,during,30,1629,2.034116506576538,1.598568320274353,3.238061844946175,187.9067991800439,0.0028180389562982066
push,5,post,27,3694,1.2271174192428589,1.0297061204910278,2.475753117791057,74.5552476668867,0.004114207588408482
push,6,all,30,6722,2.103236436843872,1.2669469118118286,1.78812894085046,162.2316148363931,0.001637732066322796
push,6,pre,30,1399,1.5537198781967163,0.5269135236740112,2.1722212444152933,17.35203320992711,-0.008852782940974472
push,6,during,30,1629,2.0186288356781006,1.310463547706604,4.269591362008499,132.9100266745993,0.0025629510333547672
push,6,post,27,3694,2.348661422729492,1.3713864088058472,1.3363743548666942,171.32379352247798,0.017967048398145533
push,7,all,30,6722,1.8752124309539795,1.090686321258545,2.0589894008923464,135.51411635684002,0.001962460268313591
push,7,pre,30,1399,1.3688409328460693,0.4059675335884094,2.695414409905593,14.037567815865826,-0.007339679871809491
push,7,during,30,1629,1.7623685598373413,1.0234249830245972,5.117477184832169,94.70099317953498,0.003570971727831044
push,7,post,27,3694,2.1167492866516113,1.216284990310669,1.474189603795838,140.98218871143138,0.014876940897911108
push,8,all,30,6722,1.9677635431289673,1.172812581062317,1.657812660892041,166.2385083265237,0.00292868610351904
push,8,pre,30,1399,1.3656219244003296,0.33052730560302734,3.021194473473507,13.224556148302199,-0.005158000096549062
push,8,during,30,1629,1.8178097009658813,1.0004003047943115,4.158324414906782,114.36194234977329,0.0033845446538364127
push,8,post,27,3694,2.2619354724884033,1.3366025686264038,1.1708653907174944,173.77238115819168,0.012499254924646245
push,9,all,30,6722,2.4201276302337646,1.0442938804626465,1.8020326356356215,148.03336674647878,0.0020951230542383486
push,9,pre,30,1399,1.9218051433563232,0.8657092452049255,3.090019828443602,20.342159566801577,-0.0033588653065138698
push,9,during,30,1629,2.434563159942627,0.9496473073959351,3.0898698630089387,112.48158930522487,0.009659486781835569
push,9,post,27,3694,2.602487802505493,1.0842324495315552,1.3656866023045156,151.7644439791398,0.004867620708429484
push,10,all,30,6722,2.088404655456543,0.8004201650619507,2.1395287935312686,101.3236075269731,0.0017318403967988107
push,10,pre,30,1399,1.7238998413085938,0.7064850330352783,3.276927077611127,16.091423616446153,-0.003560302194070533
push,10,during,30,1629,2.0577993392944336,0.6998864412307739,3.8018810605053064,70.21790232201673,0.009669542489565955
push,10,post,27,3694,2.2399468421936035,0.8289143443107605,1.5707283582539249,101.99672738225289,0.00520281936136082
push,11,all,30,6722,1.8038088083267212,0.657366156578064,2.5455324875319496,74.37216743372962,0.001897888109538462
push,11,pre,30,1399,1.484256625175476,0.5445501804351807,4.2790931447178036,10.994460692166145,-0.003795706732773498
push,11,during,30,1629,1.739398717880249,0.5420406460762024,4.007819177575439,43.89268295555044,0.009541367642839542
push,11,post,27,3694,1.953234314918518,0.6940109133720398,1.8424146354828952,73.21218895566335,0.00674063874811352
push,12,all,30,6722,1.8234974145889282,0.5767496824264526,2.101392911523652,66.88345720236751,0.0017821799653789017
push,12,pre,30,1399,1.5022989511489868,0.4229916036128998,2.7698238020067842,17.325690582849322,-0.0020005686022016296
push,12,during,30,1629,1.7698081731796265,0.44368240237236023,4.343744637386599,37.334016433104914,0.00667825836552706
push,12,post,27,3694,1.9688185453414917,0.6239189505577087,1.643373026648757,67.23668635282839,0.006591366225396594
push,13,all,30,6722,1.6943891048431396,0.45674872398376465,2.4068701858612744,50.91344578356976,0.0013837087081247723
push,13,pre,30,1399,1.4529651403427124,0.3528737425804138,3.107501701736341,14.20221836856058,-0.0013507876494533511
push,13,during,30,1629,1.6481562852859497,0.3509346544742584,4.278447270054689,26.4074469234242,0.0036380326171577453
push,13,post,27,3694,1.8062098026275635,0.4925827085971832,1.8600436014131558,47.99671005538065,0.004516520879083176
push,14,all,30,6722,1.4427794218063354,0.3512193560600281,2.8507512551953247,33.516422797498855,0.0010985570223203435
push,14,pre,30,1399,1.269669771194458,0.2922980487346649,3.5170627492134012,10.508718270971979,-0.0020112840808804854
push,14,during,30,1629,1.404325008392334,0.2870517075061798,3.884780948475056,21.265171867915676,0.0049152729937498646
push,14,post,27,3694,1.5252981185913086,0.3700886368751526,2.138575734815898,33.24816198081427,0.0021718598510165653
push,15,all,30,6722,1.442715048789978,0.33033132553100586,2.986881758744294,33.768482675296866,0.0006055340842982542
push,15,pre,30,1399,1.3058604001998901,0.2690611481666565,3.828163107460762,9.156012822226492,-0.0015888324715588205
push,15,during,30,1629,1.4511971473693848,0.33440589904785156,3.8490198303144054,22.967151686996083,0.0046648958333686975
push,15,post,27,3694,1.4908044338226318,0.3352542519569397,2.2524284733467557,34.6308720462967,0.0006698495753238295
push,16,all,30,6722,1.4286216497421265,0.3129108250141144,3.1852927323606344,30.08529829304813,0.0006356444700563586
push,16,pre,30,1399,1.3026610612869263,0.25568386912345886,4.054936558374684,8.986434599222596,-0.00102637075732599
push,16,during,30,1629,1.428124189376831,0.3053916394710541,4.34230691887718,22.247808116927416,0.0036426667907044075
push,16,post,27,3694,1.4765452146530151,0.3224608898162842,2.620161793238196,30.759231377277118,0.002903415320420768
push,17,all,30,6722,1.4418050050735474,0.3136129379272461,3.132613983671806,29.921439634751874,0.0006959042872674473
push,17,pre,30,1399,1.318440556526184,0.25978314876556396,3.6383321239636626,9.773484589814004,-0.0006971540009297144
push,17,during,30,1629,1.442366361618042,0.2938573956489563,3.2611994851640946,20.803506302476954,0.004459869843624872
push,17,post,27,3694,1.4882785081863403,0.3277365565299988,2.75788657579038,29.822092633888694,0.0049918208789076594
push,18,all,30,6722,1.5020102262496948,0.3184693157672882,2.28630524992589,34.37151281481538,0.0004639446731505604
push,18,pre,30,1399,1.4007691144943237,0.2826181948184967,2.346542772073269,17.522823478066048,-0.0003617025276222424
push,18,during,30,1629,1.5323771238327026,0.3109146058559418,2.22782422180107,28.846869243717094,0.004238724050387571
push,18,post,27,3694,1.526961088180542,0.3267565369606018,2.3532994978327926,33.2216674927136,0.0026067463246510296
push,19,all,30,6722,1.4978015422821045,0.30947747826576233,2.2275044759115414,35.40111093327953,0.00025555076712828115
