layer,task_i,task_j,cka
0,push,strike,0.79969010813324
0,push,reach,0.5491400059444641
0,push,drawer,0.39235064679495346
0,push,peg_insert,0.519948387424129
0,push,nut_thread,0.5729970621390846
0,strike,reach,0.3793630448868401
0,strike,drawer,0.26340281769017426
0,strike,peg_insert,0.33251380892123517
0,strike,nut_thread,0.3550190488329667
0,reach,drawer,0.3909887842983631
0,reach,peg_insert,0.5627954998089097
0,reach,nut_thread,0.5841756555781763
0,drawer,peg_insert,0.7799813963248818
0,drawer,nut_thread,0.5980659647193706
0,peg_insert,nut_thread,0.819537189396876
1,push,strike,0.9652985577840025
1,push,reach,0.7894944041208692
1,push,drawer,0.6432958439010532
1,push,peg_insert,0.6490295080366237
1,push,nut_thread,0.36647284469760333
1,strike,reach,0.8422682183933017
1,strike,drawer,0.6948645219933755
1,strike,peg_insert,0.6620148566601818
1,strike,nut_thread,0.30491826724762355
1,reach,drawer,0.7719457432666817
1,reach,peg_insert,0.8041978215763544
1,reach,nut_thread,0.3971004453984763
1,drawer,peg_insert,0.721824838967827
1,drawer,nut_thread,0.4116324912835897
1,peg_insert,nut_thread,0.7087286483256444
2,push,strike,0.9863672672775122
2,push,reach,0.9449367599928511
2,push,drawer,0.9342219651122258
2,push,peg_insert,0.8704015137513654
2,push,nut_thread,0.6950949652043671
2,strike,reach,0.963018929437142
2,strike,drawer,0.9539745725120605
2,strike,peg_insert,0.8971481244085066
2,strike,nut_thread,0.6939248853581804
2,reach,drawer,0.9525653056982252
2,reach,peg_insert,0.9431634222875884
2,reach,nut_thread,0.7613016298093651
2,drawer,peg_insert,0.9237753690493592
2,drawer,nut_thread,0.7260539408707026
2,peg_insert,nut_thread,0.8668004342222779
3,push,strike,0.9902714817982424
3,push,reach,0.9455042982193597
3,push,drawer,0.9396390638547365
3,push,peg_insert,0.8935659198083866
3,push,nut_thread,0.8277943840384195
3,strike,reach,0.9526592643224886
3,strike,drawer,0.9452515360791134
3,strike,peg_insert,0.9047428133994994
3,strike,nut_thread,0.8161128082799225
3,reach,drawer,0.9175668306539707
3,reach,peg_insert,0.9384119268510369
3,reach,nut_thread,0.850392646673939
3,drawer,peg_insert,0.8943679750109715
3,drawer,nut_thread,0.8082887881252869
3,peg_insert,nut_thread,0.9218429931200313
4,push,strike,0.9891444700269186
4,push,reach,0.9510248232803737
4,push,drawer,0.8183992861598287
4,push,peg_insert,0.43382480287493147
4,push,nut_thread,0.42690387328363655
4,strike,reach,0.9398138809876292
4,strike,drawer,0.8415086484924066
4,strike,peg_insert,0.4585798689894398
4,strike,nut_thread,0.43157173228694085
4,reach,drawer,0.7463605037227062
4,reach,peg_insert,0.3992840416103009
4,reach,nut_thread,0.39538411236504806
4,drawer,peg_insert,0.6999455919286209
4,drawer,nut_thread,0.6263518822323159
