task,layer,group,rho1,energy,rank90,n_components
push,0,pos,0.9394102987408355,3.116406293329681,5,6
push,0,vel,0.8003846490275074,1.6363391245287717,5,6
push,0,acc,0.3800563238202243,0.4893287674673711,5,6
push,0,ct,0.803784130557124,1.4793095949819552,4,5
push,1,pos,0.982674153744189,3.625843290730746,5,6
push,1,vel,0.904469597703817,2.4919000086888605,5,6
push,1,acc,0.37489843631739506,0.5819325824371284,5,6
push,1,ct,0.8506450179401371,1.750896616855457,4,5
push,2,pos,0.9622493005417867,2.297510093102435,4,6
push,2,vel,0.9065374731754593,2.056817688800737,4,6
push,2,acc,0.31452509838410947,0.2444555638746176,4,6
push,2,ct,0.7356503209169633,0.9922839207707006,3,5
push,3,pos,0.9778597058028442,2.537779069624603,4,6
push,3,vel,0.9116899353312397,2.0995974299325733,4,6
push,3,acc,0.33865918999471695,0.2918808097924339,4,6
push,3,ct,0.7361954941765274,1.0120335558961895,3,5
push,4,pos,0.9830717881386207,2.681054186433703,4,6
push,4,vel,0.9436835066759138,2.3862710155285063,4,6
push,4,acc,0.3558822621639033,0.3122596567660095,4,6
push,4,ct,0.7405400278471469,1.0741009393078385,3,5
push,5,pos,0.9819880296632024,2.613022741319924,3,6
push,5,vel,0.9557772084674886,2.319160848193111,3,6
push,5,acc,0.34929389654163545,0.2886412631031614,4,6
push,5,ct,0.7262259213437733,1.0049530572033605,3,5
push,6,pos,0.9877508919098639,2.8989809602582746,4,6
push,6,vel,0.9755204487809895,2.831882472242786,4,6
push,6,acc,0.4019492155194171,0.4358653400536861,4,6
push,6,ct,0.7897101634581892,1.2962340967547847,3,5
push,7,pos,0.9927256080575925,3.2846388946611387,4,6
push,7,vel,0.9825113173774894,3.040063576096206,4,6
push,7,acc,0.4497377062972703,0.5397257591084043,5,6
push,7,ct,0.823414733034778,1.6207906981085807,4,5
push,8,pos,0.9953208711742697,3.769140233120654,5,6
push,8,vel,0.9860665539676712,3.431637312271976,4,6
push,8,acc,0.503856008255707,0.7398100423514479,5,6
push,8,ct,0.8729210238609229,1.9937308860416816,4,5
push,9,pos,0.9952759284663549,3.9813293347950234,5,6
push,9,vel,0.9866718031116424,3.708774426367191,5,6
push,9,acc,0.6117685494816367,1.0248643902301497,5,6
push,9,ct,0.8866197162956498,2.1583228924830276,4,5
push,10,pos,0.9964391844674889,4.129123940410034,5,6
push,10,vel,0.9882610047232074,3.8853059868985835,5,6
push,10,acc,0.604579919486759,1.0207619980695748,5,6
push,10,ct,0.8971856656009821,2.246889815292785,4,5
push,11,pos,0.9970868781715979,4.205535521052746,5,6
push,11,vel,0.9889937755469836,3.9778743111980557,5,6
push,11,acc,0.6078956685154795,1.0561616304759656,5,6
push,11,ct,0.9014568646517959,2.2855311124785294,4,5
push,12,pos,0.9967276374056284,4.257452990570126,5,6
push,12,vel,0.9882322328417834,4.037446906043304,5,6
