task,layer,slot,n_pcs_90,n_pcs_95
push,19,2,14,37
push,19,3,28,64
push,19,4,28,64
push,19,5,25,64
push,19,6,21,54
push,19,7,10,24
push,20,0,16,41
push,20,1,25,63
push,20,2,14,38
push,20,3,27,64
push,20,4,28,64
push,20,5,25,63
push,20,6,22,54
push,20,7,11,25
push,21,0,18,46
push,21,1,30,64
push,21,2,18,45
push,21,3,31,64
push,21,4,31,64
push,21,5,28,64
push,21,6,25,60
push,21,7,13,29
push,22,0,20,47
push,22,1,31,64
push,22,2,21,49
push,22,3,30,64
push,22,4,29,64
push,22,5,27,64
push,22,6,25,59
push,22,7,15,32
push,23,0,20,46
push,23,1,28,62
push,23,2,21,46
push,23,3,24,54
push,23,4,26,60
push,23,5,26,59
push,23,6,22,50
push,23,7,16,33
strike,0,0,30,53
strike,0,1,30,53
strike,0,2,30,53
strike,0,3,30,53
strike,0,4,30,52
strike,0,5,30,52
strike,0,6,30,52
strike,0,7,30,52
strike,1,0,11,30
strike,1,1,11,29
strike,1,2,11,29
strike,1,3,11,29
strike,1,4,11,29
strike,1,5,11,29
strike,1,6,11,29
strike,1,7,11,29
strike,2,0,1,4
strike,2,1,1,3
strike,2,2,1,3
strike,2,3,1,3
strike,2,4,1,4
strike,2,5,1,3
strike,2,6,1,4
strike,2,7,1,4
strike,3,0,1,2
strike,3,1,1,2
strike,3,2,1,2
strike,3,3,1,2
strike,3,4,1,3
strike,3,5,1,5
strike,3,6,1,2
strike,3,7,1,3
strike,4,0,1,2
strike,4,1,1,2
strike,4,2,1,2
strike,4,3,1,2
strike,4,4,1,3
strike,4,5,1,3
strike,4,6,1,3
strike,4,7,1,3
strike,5,0,1,3
strike,5,1,1,3
strike,5,2,1,3
strike,5,3,1,3
strike,5,4,1,4
strike,5,5,1,4
strike,5,6,1,4
strike,5,7,1,2
strike,6,0,3,7
strike,6,1,2,6
strike,6,2,2,6
strike,6,3,3,7
strike,6,4,4,9
strike,6,5,4,10
strike,6,6,3,8
strike,6,7,3,7
strike,7,0,3,9
strike,7,1,2,8
strike,7,2,2,7
strike,7,3,4,10
strike,7,4,5,13
strike,7,5,6,16
strike,7,6,4,10
strike,7,7,3,8
strike,8,0,5,16
strike,8,1,4,13
strike,8,2,3,11
strike,8,3,5,16
strike,8,4,8,23
strike,8,5,9,28
strike,8,6,5,15
strike,8,7,5,15
strike,9,0,13,34
strike,9,1,14,34
strike,9,2,10,27
strike,9,3,15,36
strike,9,4,19,46
strike,9,5,20,47
strike,9,6,14,35
strike,9,7,11,30
strike,10,0,14,36
strike,10,1,16,41
strike,10,2,11,30
strike,10,3,17,44
strike,10,4,19,48
strike,10,5,19,46
strike,10,6,16,41
strike,10,7,10,28
strike,11,0,14,38
strike,11,1,19,48
strike,11,2,10,28
strike,11,3,19,50
strike,11,4,22,54
strike,11,5,23,58
strike,11,6,16,43
strike,11,7,11,32
strike,12,0,17,42
strike,12,1,26,60
strike,12,2,13,33
strike,12,3,25,59
strike,12,4,23,57
strike,12,5,28,64
strike,12,6,23,54
strike,12,7,15,38
strike,13,0,16,43
strike,13,1,24,61
strike,13,2,12,34
strike,13,3,25,62
strike,13,4,22,58
strike,13,5,29,64
strike,13,6,23,58
strike,13,7,14,37
strike,14,0,13,36
strike,14,1,22,57
strike,14,2,10,28
strike,14,3,23,58
strike,14,4,22,58
strike,14,5,26,64
strike,14,6,20,52
strike,14,7,11,29
strike,15,0,13,34
strike,15,1,21,55
strike,15,2,10,26
strike,15,3,22,55
strike,15,4,21,53
strike,15,5,22,56
strike,15,6,17,44
strike,15,7,9,24
strike,16,0,13,35
strike,16,1,21,55
strike,16,2,10,26
strike,16,3,24,59
strike,16,4,22,55
strike,16,5,21,54
strike,16,6,18,46
strike,16,7,9,23
strike,17,0,11,31
strike,17,1,19,50
strike,17,2,11,27
