task,layer,tau,metric,mean,sem,n
push,0,-8,speed,2.767599177360535,0.06811675741986362,30
push,0,-7,speed,2.7577022711435952,0.06614578806773726,30
push,0,-6,speed,2.7396292209625246,0.06505758240192933,30
push,0,-5,speed,2.706325618426005,0.06391191261554835,30
push,0,-4,speed,2.6803587357203167,0.06253933581051248,30
push,0,-3,speed,2.639395252863566,0.06250545061288568,30
push,0,-2,speed,2.612321980794271,0.06068423523311513,30
push,0,-1,speed,2.5820579528808594,0.06048730937938856,30
push,0,0,speed,2.5545374274253847,0.06014604151798192,30
push,0,1,speed,2.5305525104204816,0.06155134197930016,30
push,0,2,speed,2.51057710647583,0.06259432324560185,30
push,0,3,speed,2.487666384379069,0.06262361785605464,30
push,0,4,speed,2.4776123483975727,0.06554882292357307,30
push,0,5,speed,2.4582326571146647,0.06602001491025934,30
push,0,6,speed,2.454358681042989,0.06934741850772665,30
push,0,7,speed,2.437543821334839,0.06837526478455101,30
push,0,8,speed,2.441965945561727,0.07222610061278553,30
push,0,-8,curvature,1.178964885688004,0.016045705430567277,30
push,0,-7,curvature,1.175462133432873,0.015201197998491612,30
push,0,-6,curvature,1.171213992778988,0.015730621178807757,30
push,0,-5,curvature,1.1718609848607946,0.014668292336708012,30
push,0,-4,curvature,1.162606143712708,0.014883247208661646,30
push,0,-3,curvature,1.1632779792305183,0.015122614322323414,30
push,0,-2,curvature,1.1512225574663164,0.015292184664201085,30
push,0,-1,curvature,1.1493258554256625,0.01587908851610032,30
push,0,0,curvature,1.143216931369589,0.016032982217676003,30
push,0,1,curvature,1.1394017298789734,0.01708603485143112,30
push,0,2,curvature,1.1266802902194095,0.01706072269579219,30
push,0,3,curvature,1.120373013528589,0.01763345579499436,30
push,0,4,curvature,1.1075595819409103,0.018031292908856696,30
push,0,5,curvature,1.0989598116718076,0.018852067850535132,30
push,0,6,curvature,1.0887979748866405,0.018341194682640838,30
push,0,7,curvature,1.0806480088006318,0.01935896853546576,30
push,0,8,curvature,1.0776252231250043,0.018528524240037925,30
push,0,-8,tortuosity,3.257220877835651,0.08836289262279452,30
push,0,-7,tortuosity,3.23618990799815,0.09132002437032463,30
push,0,-6,tortuosity,3.2037814448261375,0.09256410500211006,30
push,0,-5,tortuosity,3.1773204326298354,0.09310386785416996,30
