,L00,L01,L02,L03,L04,L05,L06,L07,L08,L09,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23
L00,1.0,0.17741904,0.067565106,0.055903677,0.047367353,0.040208343,0.041595377,0.046950575,0.049699426,0.121077076,0.10811962,0.12293695,0.17938814,0.17216751,0.16293244,0.13898323,0.13614441,0.14033897,0.13436113,0.14895943,0.1789689,0.22126985,0.28913826,0.3262182
L01,0.17741904,1.0,0.7042837,0.67139256,0.58462524,0.5415551,0.54279804,0.5483676,0.54001856,0.53584325,0.53055286,0.526077,0.50652885,0.5062821,0.5121844,0.48522696,0.49902192,0.49625832,0.4938165,0.4980634,0.48261854,0.45566776,0.39749295,0.2807564
L02,0.067565106,0.7042837,1.0,0.98940134,0.8521582,0.80068386,0.80577505,0.8097786,0.79014117,0.7834487,0.7820302,0.78262264,0.73904544,0.7384448,0.74843097,0.7238375,0.7270051,0.7124644,0.7062034,0.70018464,0.6737388,0.62436277,0.5266251,0.34738064
L03,0.055903677,0.67139256,0.98940134,1.0,0.8735535,0.8262188,0.83264875,0.8354158,0.8159933,0.81091887,0.80999804,0.8111138,0.7658332,0.7642187,0.77262694,0.74661285,0.74889135,0.7341752,0.7276043,0.71997774,0.69287676,0.6417339,0.5397675,0.35568556
L04,0.047367353,0.58462524,0.8521582,0.8735535,1.0,0.99425554,0.9906588,0.9882165,0.96577865,0.9483606,0.95361114,0.94609046,0.8925755,0.8932907,0.8999576,0.8958138,0.89953357,0.8852827,0.88300157,0.8657632,0.826868,0.759833,0.63155174,0.41628185
L05,0.040208343,0.5415551,0.80068386,0.8262188,0.99425554,1.0,0.99570465,0.9919336,0.97058064,0.952095,0.95777255,0.9481176,0.895057,0.8959515,0.90196115,0.9017069,0.9059104,0.893592,0.89298564,0.87455636,0.8348281,0.76562107,0.63459224,0.41883218
L06,0.041595377,0.54279804,0.80577505,0.83264875,0.9906588,0.99570465,1.0,0.99856865,0.9840944,0.96462774,0.96873355,0.95901287,0.90685236,0.90753037,0.9132687,0.9125901,0.9162021,0.9038199,0.9024416,0.88386303,0.84350616,0.7738425,0.6417787,0.42432916
L07,0.046950575,0.5483676,0.8097786,0.8354158,0.9882165,0.9919336,0.99856865,1.0,0.9894844,0.96948534,0.9731922,0.9622171,0.9106855,0.9112687,0.9174519,0.9166445,0.92080975,0.90802443,0.9063932,0.88882166,0.8484963,0.7795963,0.64825225,0.43057704
L08,0.049699426,0.54001856,0.79014117,0.8159933,0.96577865,0.97058064,0.9840944,0.9894844,1.0,0.9748185,0.9746657,0.95875114,0.906943,0.9056541,0.9101734,0.9061691,0.91024685,0.8972141,0.894896,0.8786906,0.83873516,0.7715864,0.6421175,0.42864364
L09,0.121077076,0.53584325,0.7834487,0.81091887,0.9483606,0.952095,0.96462774,0.96948534,0.9748185,1.0,0.99485385,0.9799321,0.9414583,0.93600976,0.93996805,0.9289988,0.9305038,0.9185404,0.9154549,0.90373874,0.873738,0.8142383,0.6952824,0.4880138
L10,0.10811962,0.53055286,0.7820302,0.80999804,0.95361114,0.95777255,0.96873355,0.9731922,0.9746657,0.99485385,1.0,0.98832524,0.9529971,0.95014757,0.9539856,0.9435398,0.94506496,0.9317079,0.9282878,0.91590565,0.8837454,0.822794,0.7005962,0.4887656
L11,0.12293695,0.526077,0.78262264,0.8111138,0.94609046,0.9481176,0.95901287,0.9622171,0.95875114,0.9799321,0.98832524,1.0,0.97518665,0.9736438,0.9728271,0.9561959,0.9531948,0.93774897,0.9314965,0.9177325,0.8866048,0.8286849,0.70845914,0.49639925
L12,0.17938814,0.50652885,0.73904544,0.7658332,0.8925755,0.895057,0.90685236,0.9106855,0.906943,0.9414583,0.9529971,0.97518665,1.0,0.9939388,0.9881028,0.96081275,0.95347357,0.9385207,0.9298064,0.91728705,0.8897868,0.8392605,0.7288156,0.5265893
L13,0.17216751,0.5062821,0.7384448,0.7642187,0.8932907,0.8959515,0.90753037,0.9112687,0.9056541,0.93600976,0.95014757,0.9736438,0.9939388,1.0,0.9958842,0.9742534,0.96707875,0.9544806,0.9467017,0.9347987,0.9090481,0.8591317,0.74920964,0.54755837
L14,0.16293244,0.5121844,0.74843097,0.77262694,0.8999576,0.90196115,0.9132687,0.9174519,0.9101734,0.93996805,0.9539856,0.9728271,0.9881028,0.9958842,1.0,0.9858299,0.98036975,0.9692391,0.9617646,0.95002973,0.9240316,0.87243134,0.7597157,0.5545582
L15,0.13898323,0.48522696,0.7238375,0.74661285,0.8958138,0.9017069,0.9125901,0.9166445,0.9061691,0.9289988,0.9435398,0.9561959,0.96081275,0.9742534,0.9858299,1.0,0.99666715,0.9888426,0.9828481,0.9687947,0.9399825,0.8847989,0.76894975,0.5613262
L16,0.13614441,0.49902192,0.7270051,0.74889135,0.89953357,0.9059104,0.9162021,0.92080975,0.91024685,0.9305038,0.94506496,0.9531948,0.95347357,0.96707875,0.98036975,0.99666715,1.0,0.9942163,0.98908097,0.9785237,0.9512745,0.8995075,0.786441,0.5796469
L17,0.14033897,0.49625832,0.7124644,0.7341752,0.8852827,0.893592,0.9038199,0.90802443,0.8972141,0.9185404,0.9317079,0.93774897,0.9385207,0.9544806,0.9692391,0.9888426,0.9942163,1.0,0.9977219,0.989688,0.96645576,0.9175189,0.8082864,0.60706246
L18,0.13436113,0.4938165,0.7062034,0.7276043,0.88300157,0.89298564,0.9024416,0.9063932,0.894896,0.9154549,0.9282878,0.9314965,0.9298064,0.9467017,0.9617646,0.9828481,0.98908097,0.9977219,1.0,0.9935818,0.9717972,0.9225832,0.8141309,0.6148542
L19,0.14895943,0.4980634,0.70018464,0.71997774,0.8657632,0.87455636,0.88386303,0.88882166,0.8786906,0.90373874,0.91590565,0.9177325,0.91728705,0.9347987,0.95002973,0.9687947,0.9785237,0.989688,0.9935818,1.0,0.990018,0.95452267,0.8576326,0.66729784
