path_length,max_speed,mean_speed,direct_dist,tortuosity,curvature_mean,T,task,episode_id,layer
404.3154602050781,3.9418935775756836,1.7655696868896484,8.015807151794434,50.439768890219284,1.288763165473938,230,push,126,0
632.0029296875,8.095630645751953,2.759838104248047,15.52214527130127,40.71621020426883,1.8753483295440674,230,push,126,1
948.4244995117188,14.23359489440918,4.141591548919678,41.960906982421875,22.602573864979362,2.143695592880249,230,push,126,2
935.439453125,14.54896068572998,4.084888458251953,43.720123291015625,21.396084519213385,2.0555825233459473,230,push,126,3
1663.785888671875,26.02727699279785,7.265440464019775,51.0230598449707,32.60850865720616,2.247122287750244,230,push,126,4
1678.124267578125,28.75227165222168,7.3280534744262695,51.783348083496094,32.406639000481334,2.193676710128784,230,push,126,5
1816.3375244140625,25.53525161743164,7.931604862213135,49.45487976074219,36.72716490670534,2.1287267208099365,230,push,126,6
1639.1351318359375,21.915693283081055,7.157795429229736,44.57169723510742,36.77524603090172,2.0846054553985596,230,push,126,7
2001.185791015625,22.06716537475586,8.738802909851074,44.70769500732422,44.76155146642612,2.0085551738739014,230,push,126,8
2365.37353515625,22.596302032470703,10.329141616821289,54.3333625793457,43.53445880883919,1.9795479774475098,230,push,126,9
2232.698486328125,20.166818618774414,9.749774932861328,48.071266174316406,46.44559347015941,1.939976453781128,230,push,126,10
2139.336669921875,19.24521255493164,9.342081069946289,42.95030975341797,49.80957488325512,1.9112627506256104,230,push,126,11
2467.95751953125,18.654653549194336,10.777107238769531,41.584163665771484,59.348494762746924,1.88070547580719,230,push,126,12
2257.3017578125,17.447954177856445,9.857213020324707,39.38987731933594,57.30664605813388,1.8752495050430298,230,push,126,13
1890.3138427734375,14.297418594360352,8.254645347595215,35.09230422973633,53.86690570098368,1.8828027248382568,230,push,126,14
1830.657470703125,13.159126281738281,7.994137287139893,39.27214813232422,46.614650783422334,1.900246500968933,230,push,126,15
1817.033935546875,12.561396598815918,7.934646129608154,39.7594108581543,45.700725849015384,1.9112850427627563,230,push,126,16
1797.92138671875,12.332115173339844,7.851185321807861,37.236595153808594,48.28372141148509,1.9169526100158691,230,push,126,17
1920.5069580078125,13.245502471923828,8.386493682861328,37.656715393066406,51.000384339453795,1.9226465225219727,230,push,126,18
2029.1448974609375,13.829578399658203,8.860895156860352,40.361446380615234,50.27433552122388,1.9235275983810425,230,push,126,19
2241.787353515625,15.423589706420898,9.789463996887207,45.380123138427734,49.40020428497443,1.9258449077606201,230,push,126,20
2553.0966796875,17.45186424255371,11.148893356323242,51.6908073425293,49.39169672412731,1.9257631301879883,230,push,126,21
3061.11328125,21.12605094909668,13.36730670928955,68.76885223388672,44.513077967900095,1.9280285835266113,230,push,126,22
3513.212890625,24.30354118347168,15.341541290283203,79.50935363769531,44.186158356082885,1.930536150932312,230,push,126,23
422.6620178222656,3.457031011581421,1.8456857204437256,4.564087867736816,92.60602119648719,1.6123614311218262,230,push,131,0
