layer,avg_cka
0,0.5266646067301433
1,0.6488725026448567
2,0.8741831461588542
3,0.903094228108724
4,0.669823964436849
5,0.6160357157389323
6,0.5588451385498047
7,0.5446851094563802
8,0.5105117797851563
9,0.45131441752115886
10,0.44075717926025393
11,0.43552455902099607
12,0.3964617411295573
13,0.38689193725585935
14,0.40456918080647786
15,0.4002310434977214
16,0.4136269887288411
17,0.41254895528157554
18,0.4217802047729492
19,0.4329795837402344
20,0.4363332112630208
21,0.4190964380900065
22,0.38156236012776695
23,0.3567680358886719
