task,layer,path_length__mean,path_length__std,max_speed__mean,max_speed__std,mean_speed__mean,mean_speed__std,direct_dist__mean,direct_dist__std,tortuosity__mean,tortuosity__std,curvature_mean__mean,curvature_mean__std
drawer,0,544.0013275146484,212.80972985979915,5.1983972231547035,0.3276830988472172,1.9498255411783854,0.762758887206731,15.914781220753987,1.4583726539826363,35.01926506184857,15.966407888843122,1.7601426243782043,0.22859874542310735
drawer,1,979.9853800455729,358.63420893648475,10.945032533009847,1.705038227052708,3.5124924262364705,1.285427260932704,28.75120964050293,4.403474483720525,36.43557889920318,20.182323968746164,2.1985708475112915,0.1033795973837487
drawer,2,1262.5991719563801,460.996042064034,15.991890970865885,4.387501248995663,4.525445071856181,1.6523155484655205,49.73887983957926,11.733824419522676,30.25536459564499,22.338698426217796,2.295094386736552,0.07363918421513452
drawer,3,1298.020361328125,418.3085910686505,15.471380964914959,5.042870252150235,4.652402734756469,1.4993139651978666,48.79754244486491,12.374365257923348,32.019598104596284,22.832021466552145,2.1747316042582194,0.07921353753260034
drawer,4,2051.3928426106772,248.2819524542887,18.713920625050864,5.138759878438844,7.352662531534831,0.8898995063896842,45.307607078552245,10.903499855808128,48.841775705366494,16.44411334760121,2.2477541605631512,0.1258616649016302
drawer,5,2162.3798665364584,241.53740660879825,19.497151692708332,5.861620165861462,7.750465504328409,0.8657254433974013,42.77540003458659,10.564040023397725,54.79714452719841,18.84723089583803,2.175338355700175,0.1426100744166883
drawer,6,2529.3865966796875,187.18948882019367,19.148059781392416,4.333778829961579,9.065901788075765,0.6709301429018928,44.822230911254884,10.375986463951625,61.517956108011184,23.496730522104215,2.086419475078583,0.1472019918006451
drawer,7,2410.903173828125,172.26721071812725,16.652398586273193,2.9439627175755607,8.641229947408041,0.6174451627453592,42.73669719696045,9.59166746922146,61.5852866181039,24.390166834439995,2.0312569737434387,0.12824448250282933
drawer,8,2689.0572591145833,147.1394615899626,16.518083000183104,2.5899989033927984,9.638198089599609,0.5273815617151083,44.47469011942545,9.60612743605081,65.1919106402649,23.17256881609612,2.0033811966578168,0.10663494871080764
drawer,9,3178.929923502604,244.0918160732799,20.306276067097983,3.612330896353313,11.394014135996501,0.8748811012080651,48.45805517832438,8.847993101797286,69.40250649874784,22.170059271304442,1.9420161803563436,0.11036400603902512
drawer,10,3105.0930745442706,170.69090404968293,19.3539888381958,2.871364387180306,11.12936585744222,0.6117953201531277,45.01829528808594,8.212351244900686,72.59316413685261,21.06305374380682,1.9227300087610881,0.08175607447092777
drawer,11,2860.317097981771,147.9207636791939,17.241330655415855,2.379213970113157,10.252032629648845,0.5301819289754734,41.78036098480224,7.494051239882572,71.91299746679094,20.396824239845333,1.9091275493303934,0.07324786795878828
drawer,12,3061.3514404296875,139.43903840861165,18.373436832427977,2.7756793654909186,10.972585773468017,0.4997815667062881,41.98683115641276,6.960274335548321,75.86274343551837,18.91518790008063,1.9037748416264852,0.05865861164829194
drawer,13,2829.9340983072916,130.79361271800468,16.478053347269693,2.1994141400189773,10.14313300450643,0.46879430057259164,39.80808525085449,6.181835385754856,73.64956654407261,17.483421614527977,1.8988068620363872,0.05504719652145793
drawer,14,2477.0121337890623,130.29452165577192,13.757908089955647,1.4782662620471498,8.87817964553833,0.4670053947212985,37.07641162872314,5.55394308568404,69.1453493887536,16.5277591174324,1.9017216205596923,0.05512878453518152
drawer,15,2437.629012044271,145.66218119401137,12.807293764750163,1.0036889103389348,8.737021509806315,0.5220865630761058,37.18522198994955,5.4290559982259055,67.82646735547806,16.450475690587638,1.9202395002047221,0.05254115619925593
drawer,16,2461.076416015625,152.53718149528052,12.608566761016846,0.8696356418641772,8.821062501271566,0.5467281951924838,37.53967851003011,5.595271554193742,67.95359431963836,16.967873936824933,1.9284690419832866,0.05024899246188985
drawer,17,2489.0298583984377,170.74947041408734,12.593786684672038,0.8189338683081362,8.9212539990743,0.6120052491672558,38.93606656392415,5.718036271286277,66.25138797619819,16.7454077950679,1.9304433902104696,0.055567486711093655
drawer,18,2672.936669921875,180.5704923197849,13.513839022318523,0.8475937136839744,9.580418141682943,0.6472060824488735,41.55237058003743,6.196559254216318,66.71390689199775,16.897974952560993,1.936199144522349,0.05022060533365131
drawer,19,2891.65673828125,227.46532325937082,14.64329293568929,0.9077063092136628,10.364361063639324,0.815287877303149,44.629943466186525,6.803915246800969,67.4405309814787,18.35183163268897,1.9343292872111002,0.05461788665942344
drawer,20,3239.901570638021,286.90187167076266,16.2949826558431,0.9257783141790467,11.612550449371337,1.0283221644236242,49.372545369466145,7.2458644211566945,68.20589482430255,18.656334676451856,1.931434452533722,0.05830641830057257
drawer,21,3728.5770263671875,350.6902422485264,18.56928030649821,1.095448902100548,13.364075247446696,1.2569542119918526,53.65186106363932,7.599861736581301,72.12393254483472,19.67023286125477,1.9307355125745138,0.05983789776146034
drawer,22,4403.954760742187,410.7143671108793,21.792185084025064,1.5024078933552274,15.784783967336018,1.4720944209800035,62.46338017781576,8.160638695359939,72.77796560281345,18.497790043768013,1.9358580867449442,0.058290405464278654
drawer,23,5011.25859375,443.5554608650801,24.82833480834961,1.748984707192619,17.96150042215983,1.5898044128131246,70.98237915039063,9.36226004775439,72.86798160362454,18.26086433076814,1.942173425356547,0.054449806878895106
nut_thread,0,90.84976450602214,17.5195146622913,1.8000476559003193,0.5086386047746143,0.709763785203298,0.13687120829915078,6.323627622922261,1.090832021197839,14.594721593304806,2.9010345126759516,1.3287324150403341,0.18401599192329976
nut_thread,1,169.2114631652832,63.02070678643014,7.737894284725189,3.5365834473522297,1.321964555978775,0.49234927176898546,11.563646292686462,4.0068618200389645,15.627106030875009,5.934534963145731,1.7236397345860799,0.15976858438965316
nut_thread,2,296.49633331298827,86.39195549844375,18.214700436592103,6.945409671821537,2.316377604007721,0.6749371523315918,29.06940180460612,8.300973677917725,10.894043899821389,3.950667985712651,1.9402665853500367,0.11541180498530305
nut_thread,3,431.2484375,82.66353760043266,20.137532631556194,7.252220034827005,3.36912841796875,0.6458088875033802,31.827784252166747,8.182202273795612,14.634545921910712,5.189597898180858,2.0192623098691302,0.07901834591713093
nut_thread,4,655.0218546549479,60.03674516766025,17.60988794962565,5.573573322491704,5.1173582394917805,0.4690370716223457,28.338187662760415,6.309218538112938,24.689671556947197,7.835755454892792,2.176349703470866,0.07928605212226487
nut_thread,5,672.2650472005208,53.593218049906035,16.883153915405273,4.830497373494458,5.252070681254069,0.4186970160148909,26.569689337412516,5.363543404086101,26.625593781447147,7.122239845300198,2.1360347032547,0.07521405197580952
nut_thread,6,780.9180440266927,53.854233989907236,17.14930534362793,4.5712844988244195,6.100922218958536,0.4207362030461503,27.680144945780437,5.024900768808127,29.343124924623385,6.693373024653932,2.099852979183197,0.05928688287333357
nut_thread,7,753.1977905273437,44.322768155634165,15.549170875549317,4.069080792128507,5.884357738494873,0.3462716262158919,25.899931494394938,4.502576546335023,30.115734350277464,6.372883845209578,2.0450082381566363,0.05012094516234774
nut_thread,8,888.8093383789062,35.68571642784847,15.484975242614746,3.5962707248170642,6.943822956085205,0.27879465959256616,27.132163747151694,3.9789436897738204,33.5312706566479,5.5914397768789685,2.007393213113149,0.034778184745668336
nut_thread,9,1184.2493204752604,53.103255798968085,19.028801822662352,3.1240133868509985,9.251947816212972,0.41486918592943817,35.58941644032796,3.9297643579554062,33.66069807583087,3.9146574594998365,1.981857184569041,0.024899679909891448
nut_thread,10,1179.3952392578126,45.75905239129116,17.199741744995116,2.7713610522896173,9.21402530670166,0.3574925968069622,32.32058855692546,3.591357397506024,36.92786189836646,4.332931973181337,1.9784170230229696,0.021756438054617005
nut_thread,11,1150.1541259765625,42.2268427115354,15.967086823781331,2.4556642581158825,8.985579109191894,0.3298972086838703,29.79425818125407,3.276567745435813,39.05146780539787,4.488524204062999,1.9765646656354268,0.020340164603963477
nut_thread,12,1319.9727335611979,44.21321774289678,16.786091486612957,1.8753378919095336,10.312286980946858,0.3454157636163811,31.088392384847005,3.4927083430769774,42.98697587952025,5.0911223906917735,1.9768024881680806,0.020932812774310354
nut_thread,13,1251.4653930664062,41.538147530155754,15.932924143473308,1.6763224663945648,9.777073383331299,0.32451677757934183,29.843826293945312,3.181904465011796,42.37783711772034,4.550385817018548,1.980833609898885,0.0208293339937008
nut_thread,14,1102.6108317057292,34.101589910012514,14.033729394276937,1.3311965821713407,8.61414712270101,0.26641867117197277,26.147911071777344,2.97542024106955,42.68600438742995,4.893927053041212,1.9875136454900106,0.020049756746406907
nut_thread,15,1089.1910278320313,32.63143163951733,13.893177223205566,1.2781572221127204,8.509304904937744,0.25493305968372915,25.912707392374674,3.2131386770809294,42.6604361781488,5.405547823671888,2.0030813972155253,0.01966649058633111
nut_thread,16,1088.4273274739583,31.434690082495063,13.680502478281657,1.269647418253509,8.503338495890299,0.24558351626949268,25.093037605285645,3.0235351807739224,43.991378701395455,5.468411503607948,2.0048566301663717,0.018879187958999066
nut_thread,17,1098.726912434896,31.08313965286088,13.920317427317302,1.3109046019569444,8.583804003397624,0.24283702853797562,26.17399304707845,3.3061384314592996,42.62718326390612,5.480168751199443,2.0065589984258017,0.018284304155592877
nut_thread,18,1166.490877278646,31.840942764745666,14.524970722198486,1.3902105883023088,9.113209978739421,0.24875736534957552,28.592595545450845,3.6754609322664678,41.44801987457715,5.38428622417523,2.011852959791819,0.017208596368493805
nut_thread,19,1240.148124186198,32.53077551171938,15.541208775838216,1.5999301212837216,9.688657220204671,0.2541466836853077,30.621086184183756,4.153697946373102,41.24393618415492,5.811220014925237,2.0132555921872455,0.01655834450845454
nut_thread,20,1391.0319986979166,36.194558340470365,17.449704043070476,1.7806868370568665,10.867437489827473,0.28276998703492473,34.52282683054606,4.74623949896559,41.058926838272214,5.881006391172115,2.014402222633362,0.016349384563573304
nut_thread,21,1587.2154541015625,38.66571709185468,19.81616096496582,2.0419267825034275,12.400120735168457,0.3020759147801147,39.08469562530517,5.374453829556494,41.37876434133571,5.901042546122624,2.012780435880025,0.015952391263177535
nut_thread,22,1890.118701171875,44.983998764623514,23.0457400004069,2.3255198607924994,14.766552352905274,0.3514374903486212,48.99639447530111,6.84776592550036,39.30787080402506,5.507949254728917,2.012252453962962,0.01593196644834693
nut_thread,23,2182.075634765625,53.87596244951104,26.194839477539062,2.635103748355823,17.047465896606447,0.420905956636805,59.25388628641765,8.311741694784907,37.51153215218969,5.148191695680899,2.0082820693651837,0.01642981712696482
peg_insert,0,159.4706792195638,37.13398211233,3.366289285818736,1.1318900404071621,1.2458646814028422,0.29010923525257815,7.2904068311055505,1.8370128983432212,22.48635039450964,4.5456357282818365,1.2496546268463136,0.1031049576830447
peg_insert,1,487.03218231201174,160.17961281472833,11.910347096125285,2.590248697643745,3.8049389243125917,1.251403225115065,11.220797204971314,3.0142958267282864,46.06690316225776,21.08199333205483,2.102842326958974,0.21658285221971918
peg_insert,2,850.1193806966146,287.07509336067426,25.596730740865073,4.362031581372485,6.6415576616923016,2.2427741668802677,19.19457041422526,6.968968515657244,46.64528955255595,13.684604114398732,2.287243938446045,0.18521434546046067
peg_insert,3,891.2814636230469,264.5132742808016,27.656870365142822,5.59007155907319,6.963136434555054,2.0665099553187627,20.865079879760742,8.181189767022493,45.30136351813706,11.759919444479003,2.261677912871043,0.16337542541767816
peg_insert,4,921.44833984375,179.34396934220288,23.24860668182373,4.673475082958247,7.198815155029297,1.40112476048596,21.9741055170695,5.739124389860427,43.3350412883592,8.925631070456078,2.2758095343907674,0.11475189933228505
peg_insert,5,909.1077290852865,156.64451391524545,21.804343636830648,4.427361468188426,7.1024041334788,1.2237852649628551,23.947570737202962,5.091723650852407,38.939681722523495,7.593324181144139,2.2163809219996136,0.11179252983568648
peg_insert,6,994.4876770019531,137.3043953122862,22.325438944498696,4.512168099093535,7.769434976577759,1.072690588377236,27.614761288960775,4.653780001762397,36.64400858565604,5.831740021585829,2.137910807132721,0.10240922382076686
peg_insert,7,948.7419840494791,112.5764736311813,20.484389845530192,4.150875909919303,7.412046750386556,0.8795037002436039,25.556240590413413,4.136855383057161,37.776958568034296,5.8003642831478786,2.0777217745780945,0.09854041656046336
peg_insert,8,1068.016778564453,89.69716173343292,20.213409169514975,3.943728789084793,8.34388108253479,0.7007590760424447,28.210150973002115,4.008449983249612,38.470491927242016,5.313248823222581,2.0371200323104857,0.08019608860886399
peg_insert,9,1420.0629801432292,77.43225276516102,23.43272132873535,3.830400432347942,11.094242032368978,0.6049394747278205,38.547313117980956,4.159282816688166,37.17504304341948,3.7110016971171547,2.0531547387441,0.05575143567868816
peg_insert,10,1383.6887980143229,65.56907702667714,21.26588954925537,3.244428528573867,10.810068734486897,0.5122584142709151,35.201755078633624,3.889272621212376,39.67542712308447,3.7905656454561045,2.029978907108307,0.04867122054908588
peg_insert,11,1305.6518880208334,57.556728628859474,19.76005760828654,2.8889957184949475,10.200405375162761,0.44966194241296464,32.47056694030762,3.8143481725176343,40.65487800891755,4.196492766203714,2.009772308667501,0.04640363403067212
peg_insert,12,1407.8329264322917,51.369632582342334,20.391050338745117,2.558983092196423,10.99869473775228,0.4013252545495495,38.38587919871012,6.769357586921247,37.717452904326585,6.2796008969933705,1.9829285303751627,0.03974175872118956
peg_insert,13,1330.809326171875,42.34315446136811,19.331061840057373,2.2402177921217015,10.396947860717773,0.33080589422943835,36.149774169921876,6.341542256393782,37.84143886503757,6.209078565581316,1.9772383014361063,0.03848264839720648
peg_insert,14,1170.580517578125,35.06816802012287,16.943614387512206,1.9829191207450358,9.145160293579101,0.2739700626572099,31.453765805562337,5.195653812860404,38.1255404935581,5.809081784823366,1.977797476450602,0.038603499529957924
peg_insert,15,1155.6155436197917,31.56974526965704,16.98521153132121,1.9800344271106634,9.028246434529622,0.24663863491919563,31.504777272542317,4.6818950279970375,37.39388399536638,5.054500415336279,1.9808334151903788,0.03740079252178858
peg_insert,16,1154.2041463216146,29.810189869426722,16.686098035176595,1.9211524626773928,9.017219893137614,0.23289210835489627,30.433792877197266,4.479149168336042,38.6555081949805,5.23793221053533,1.9824907620747885,0.03570550017744315
peg_insert,17,1172.2120646158853,30.863448523006817,17.14691540400187,2.014634732385918,9.157906754811604,0.24112069158599075,32.955207633972165,4.583306616290612,36.19394402097184,4.767041479983424,1.9815333286921184,0.035048918987729695
peg_insert,18,1241.509187825521,31.215920591561733,17.946572907765706,2.111218307891639,9.699290529886882,0.24387437962157604,35.06789887746175,4.859150409876525,36.020475895881304,4.7189946987408895,1.984450634320577,0.03347363215832903
peg_insert,19,1319.5077758789062,32.17564272258215,18.95700960159302,2.322988389779373,10.308654499053954,0.251372208770173,36.60419101715088,4.8192645496714315,36.61089939155897,4.521737856920142,1.985198477904002,0.03281412377686315
peg_insert,20,1479.827412923177,34.51888273574352,21.301422373453775,2.653909085806658,11.56115166346232,0.26967877137299623,40.98081957499186,5.194820181165955,36.63996978118145,4.4256330768599,1.9854962865511576,0.03172103662150651
peg_insert,21,1689.8479125976562,39.267249232165994,23.820376841227212,2.9386066299776896,13.201936817169189,0.30677538462629683,45.79088541666667,5.828412239460929,37.43642779907027,4.4317480313474436,1.9841449022293092,0.030505157449061803
peg_insert,22,2006.2282755533854,47.56776162840125,27.96693598429362,3.6288563817147534,15.673658402760823,0.37162313772188477,56.06566696166992,7.208968629025099,36.297607826549964,4.228288070097105,1.983084511756897,0.028869039677619616
peg_insert,23,2293.0783935546874,57.96095746052585,31.61519374847412,3.836429476078263,17.914674949645995,0.4528199801603582,65.55861422220866,8.540809543314534,35.483783748566516,4.117771151077065,1.9820361137390137,0.02758899014690507
push,0,442.3354293823242,73.78388127576268,3.6204380989074707,0.3553321262018108,1.9937194387118022,0.32003917692333206,6.0433306217193605,1.465000718834705,77.61085660512094,20.59039352901044,1.4699854652086894,0.11959152400451571
push,1,822.7202077229817,124.03619084526942,11.00626015663147,2.0827122116443872,3.708137536048889,0.5366869482237547,9.631936995188395,3.653290744249677,98.95177539188356,40.76008519155135,2.1453476548194885,0.13219135088497694
push,2,1188.5971720377604,187.80930866139977,20.32628847757975,4.659030082968204,5.3455170631408695,0.7390759080161812,28.16705020268758,7.775641494419142,45.51757324394259,14.677384503947387,2.3257885853449505,0.06475480239285636
push,3,1099.7786448160807,174.16231232884093,20.74227431615194,5.002197666000744,4.935692962010702,0.6242078725508965,31.518826039632163,7.897372055377946,37.40450049656049,13.082987185860272,2.175872484842936,0.0540245989929498
push,4,1309.1874186197917,385.36467594410595,20.89648520151774,4.6256377992350215,5.843515030543009,1.5360452634317776,44.439936288197835,8.769676613365334,31.511964624408613,15.977650434862428,2.177214193344116,0.09737725154236417
push,5,1292.0146311442056,395.45515653717814,21.37507743835449,5.561856181940866,5.7610145250956215,1.580822271791385,47.548233636220296,9.518037541012921,29.28645558470848,15.947270125234233,2.106388775507609,0.1027381445794539
push,6,1749.4370107014975,359.88718165448057,20.918849881490072,4.20689019048577,7.766350984573364,1.2223713429694247,48.29345550537109,9.010700928588893,37.221515191351614,10.320850670303136,2.142334262530009,0.07325356525193125
push,7,1642.3121083577473,312.09308702832925,18.57832711537679,3.298640450579487,7.292250776290894,0.9991521512128188,44.23215185801188,7.753894203904871,37.86240662777389,9.202336137970116,2.103812380631765,0.06998627005812721
push,8,2066.358925374349,357.16473377842044,21.64703941345215,3.721682983248229,9.168482557932537,1.0346583904663809,46.940464146931966,7.988248013245201,44.558995637079725,8.746809608429444,2.0084555983543395,0.054152836297157225
push,9,2411.956754557292,392.8305841769515,22.023075040181478,3.8298621041336696,10.705075772603353,1.0426591781522814,52.764152908325194,7.035594257263026,45.73569285710926,6.950281769868211,1.982051388422648,0.04535632917973583
push,10,2326.243516031901,357.5452593961404,19.09166011810303,2.918385447503476,10.336103534698486,0.8504460017422469,47.27811985015869,5.979048990877738,49.16773944369857,6.613535006059286,1.9388830343882242,0.043382806402134565
push,11,2228.601182047526,346.13612678735643,18.041984272003173,2.2080045999840823,9.893836259841919,0.8376241358597885,42.76938877105713,5.303583499244042,52.01873189401333,7.113470247442681,1.9145651976267497,0.03583500862342293
