task,layer,rsa_partial_acc,rsa_partial_ct
push,0,0.28912488911232154,-0.026347518152313922
push,1,0.2778247455019197,-0.029995940254613843
push,2,0.2961954306274816,-0.041737332690348704
push,3,0.2926046556811909,-0.018167722182462417
push,4,0.29836062651554823,0.14568981876690612
push,5,0.31431921211115627,0.1253137292883917
push,6,0.3460931178360722,0.11357580782420923
push,7,0.34792268726258785,0.0875693761689722
push,8,0.3124743756379612,0.1679400963100354
push,9,0.3551615680287444,0.19132861499248235
push,10,0.3453783897371958,0.15942033326316504
push,11,0.2810765552173435,0.20557703669621083
push,12,0.3120006939090044,0.21153968301436046
push,13,0.3079485755710422,0.17386084709129265
push,14,0.3137979753079451,0.12444189325248266
push,15,0.3226557196744969,0.10335335360743464
push,16,0.32540005004980443,0.0962098979650534
push,17,0.33444469619773054,0.07753466184519606
push,18,0.33802128553960686,0.08384491490315037
push,19,0.3487776904448443,0.07829003918967208
push,20,0.34955184969430037,0.06679636320827677
push,21,0.3554409329994121,0.07081943846355586
push,22,0.36574308801778355,0.08170498267206754
push,23,0.3658263087925888,0.07260163867930057
strike,0,0.3709581206944167,-0.09393925184674622
strike,1,0.36587707209381154,-0.07281305975464361
strike,2,0.39555982314538274,0.03173253784906666
strike,3,0.38055636918207625,0.01779310231568049
strike,4,0.34392372477157696,0.09111316486882014
strike,5,0.3608767943620266,0.10790274775151172
strike,6,0.36441868948111283,0.11240297924581222
strike,7,0.3732045075376228,0.058574870965965774
strike,8,0.3230703472033101,0.09003676874042137
strike,9,0.33441713937440265,0.04014615871001123
strike,10,0.3393854977653036,0.01726391680426704
strike,11,0.29651298697020817,0.012105618005112995
strike,12,0.31702086313435857,0.030028026645883096
strike,13,0.30906625633224777,0.013375765715710768
strike,14,0.32708356648763726,0.00012104911406624175
strike,15,0.34772067212815444,0.007383775501060282
strike,16,0.3578824228172929,0.00669427469643156
strike,17,0.36746799757418697,0.0022748740447888285
strike,18,0.3820665043882347,0.0033545485771661085
strike,19,0.38673851203836007,0.0011928275138410136
strike,20,0.39483447012513245,0.002498471632357154
strike,21,0.4058259265098958,-0.0007100550044344853
strike,22,0.4204137200227009,0.011658568589149348
strike,23,0.42386410922387935,0.014526599145564065
reach,0,0.2372992935696135,0.11355737930412402
reach,1,0.21166647990242687,0.12931404237702865
reach,2,0.13898604887937582,0.11958072492986749
reach,3,0.16045657946359584,0.09639249764131343
reach,4,0.2027283398428896,0.09366630203586751
reach,5,0.20688976000736026,0.09139778610509584
reach,6,0.2198729979907072,0.10337266086848004
reach,7,0.21863630194430234,0.09510600718160817
reach,8,0.2151480904655917,0.10488372197045466
reach,9,0.22588071345135824,0.11830478999608356
reach,10,0.23415715998225156,0.11220443006695739
reach,11,0.24535972589484847,0.08607561741713154
reach,12,0.24890871040222426,0.08765749003381011
reach,13,0.24862899744314984,0.08379207534575212
reach,14,0.25275262358182027,0.08100672591440666
reach,15,0.25733461911016886,0.07912772464139248
reach,16,0.2595321514250142,0.08072847682404712
reach,17,0.26713297339283226,0.08448437715359439
reach,18,0.2742731983915453,0.08473112674152719
reach,19,0.27753841372718807,0.08920120066982104
reach,20,0.2804497293961629,0.09274787461618654
reach,21,0.28166895117037855,0.09286031225326898
reach,22,0.2828470994494036,0.09322151423769041
reach,23,0.2764892498652075,0.09703908218861756
drawer,0,0.28319871843725,0.08247491681236159
drawer,1,0.29359671001896254,0.08044715955523443
drawer,2,0.2929417722082063,0.060329756813720985
drawer,3,0.2725500158454844,0.05366702030118268
drawer,4,0.17509299508896253,0.031556303305328735
drawer,5,0.2086762904911823,0.03940454932491832
drawer,6,0.2115257744995817,0.043883434520489206
drawer,7,0.21369830206560897,0.04931805085958197
drawer,8,0.19454417154324627,0.04540349507385627
drawer,9,0.17552346367610044,0.052190991513709095
drawer,10,0.1853406265331502,0.06058249009213978
drawer,11,0.17175181997617725,0.05472448304455936
drawer,12,0.18984527848095145,0.05452937918223312
drawer,13,0.2051541456049896,0.05526293815355656
drawer,14,0.21883490304841413,0.05682048052857231
drawer,15,0.24201186617759604,0.06089837211793854
drawer,16,0.2552064920439526,0.058020637960081944
drawer,17,0.24955902353575607,0.06367541776255904
drawer,18,0.25952880326889893,0.05782232830097334
drawer,19,0.26056011935794304,0.058495083437029145
drawer,20,0.25644466067433663,0.055500476191889005
drawer,21,0.2563312549744461,0.056830547659686405
drawer,22,0.25179319336366557,0.05963411242193653
drawer,23,0.23968242759299999,0.057427399586674456
peg_insert,0,0.10051184348634554,0.12407077434397268
peg_insert,1,0.11275600961451132,0.14512076725578296
peg_insert,2,0.13063642563600067,0.17272620255925505
peg_insert,3,0.13489530339546452,0.1881191039948063
peg_insert,4,0.14430535157148755,0.19223947792076926
peg_insert,5,0.163599966827527,0.19969159561490177
peg_insert,6,0.1718265252809288,0.2024463563650358
peg_insert,7,0.15769133754435072,0.1867445126404776
peg_insert,8,0.1359517108210916,0.16621807421715756
peg_insert,9,0.1672904539354031,0.2036028751292623
peg_insert,10,0.1615160428872399,0.19384107903910283
peg_insert,11,0.1509480693332873,0.18898602949490678
peg_insert,12,0.16248104754005682,0.20626837681456198
peg_insert,13,0.16708990280323868,0.2016876588577537
peg_insert,14,0.15972385182824672,0.19435861522993367
peg_insert,15,0.15469090876606958,0.19347207793689042
peg_insert,16,0.14596302491499205,0.18930286592935866
peg_insert,17,0.15399540399350267,0.19764465142212814
peg_insert,18,0.14847292108607535,0.19098187452359305
peg_insert,19,0.14882999021653406,0.19534467539993033
peg_insert,20,0.16275183724067152,0.20499260419244297
peg_insert,21,0.1646004699807182,0.20165765632265034
peg_insert,22,0.1591425705181035,0.20359961951718783
peg_insert,23,0.1594915702911957,0.21245874374571347
nut_thread,0,0.010582833408735282,0.0006488760518918274
nut_thread,1,0.012237585851665973,-0.0003038568276959277
nut_thread,2,0.008458390474774076,-0.0002685916060430998
nut_thread,3,0.013362289278961555,0.00031105412478584757
nut_thread,4,0.027162735968550154,-0.00012064283199573567
nut_thread,5,0.030579221069792415,-0.002507261622053352
nut_thread,6,0.033198293772204554,0.005107384233259371
nut_thread,7,0.03767781911120219,-0.002208163554902561
nut_thread,8,0.042439750174346494,0.006554358622728589
nut_thread,9,0.051171161407197234,0.013768967863305677
nut_thread,10,0.05047515370326316,0.012729796026266813
nut_thread,11,0.04542661051417267,0.011226819482186328
nut_thread,12,0.06226585834897953,0.014890035677617612
nut_thread,13,0.06465716910799005,0.01602607516620684
nut_thread,14,0.05896022827001934,0.01277713462921914
nut_thread,15,0.06423740899372712,0.012924060672351684
nut_thread,16,0.06562053723523373,0.010231775786724358
nut_thread,17,0.06792616721817861,0.0170999724049797
nut_thread,18,0.07259081648638359,0.015307167246501262
nut_thread,19,0.07627489526231265,0.006731782641128564
nut_thread,20,0.06929596762432005,0.0100706079515115
nut_thread,21,0.07156677325177262,0.016004501858720672
nut_thread,22,0.06900773955621592,0.01344399369678471
nut_thread,23,0.057818058610676605,0.014001188134079735
