,L00,L01,L02,L03,L04,L05,L06,L07,L08,L09,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23
L00,1.0,0.5990266,0.27157038,0.27054903,0.29644844,0.31304696,0.3242774,0.33647722,0.33855528,0.34624484,0.35532942,0.36582026,0.38120723,0.38850904,0.39417157,0.40089047,0.40498763,0.3984937,0.3907118,0.38934544,0.38661575,0.38683555,0.39613104,0.39561906
L01,0.5990266,1.0,0.84064335,0.8211449,0.81516606,0.7992555,0.8126422,0.8207039,0.8236353,0.8184246,0.82138914,0.8255536,0.82816267,0.8279103,0.82448363,0.8222115,0.8189129,0.81341225,0.80153203,0.8026891,0.7998975,0.8008524,0.8028293,0.7991354
L02,0.27157038,0.84064335,1.0,0.99638623,0.9775622,0.95698917,0.9601899,0.95803595,0.95541435,0.94288015,0.93739486,0.9329744,0.9179915,0.9077902,0.8982271,0.8911137,0.880798,0.878944,0.874168,0.8751559,0.87606,0.88482404,0.88630545,0.8882276
L03,0.27054903,0.8211449,0.99638623,1.0,0.9848945,0.96762097,0.97103137,0.96855175,0.9656081,0.95401865,0.9485499,0.9439185,0.9283274,0.91785055,0.9079319,0.9011001,0.8902129,0.888703,0.8847221,0.8854393,0.88664484,0.8959166,0.8976595,0.89990824
L04,0.29644844,0.81516606,0.9775622,0.9848945,1.0,0.99571407,0.99322706,0.9890378,0.9861022,0.9781789,0.9727269,0.96698713,0.95261383,0.9425696,0.9327487,0.927811,0.91765857,0.9173651,0.9156457,0.9155814,0.91702837,0.92582446,0.92665803,0.9275744
L05,0.31304696,0.7992555,0.95698917,0.96762097,0.99571407,1.0,0.99606574,0.9918658,0.9891904,0.98361504,0.9786469,0.9729484,0.95992637,0.9504127,0.9410986,0.93694174,0.9275174,0.92782116,0.9270575,0.92662966,0.9279006,0.9360802,0.9363821,0.93719137
L06,0.3242774,0.8126422,0.9601899,0.97103137,0.99322706,0.99606574,1.0,0.99876803,0.9970763,0.99201393,0.9881387,0.9840104,0.9721011,0.9633385,0.9542326,0.9496277,0.94063365,0.9402862,0.9377017,0.9378365,0.9387215,0.94615626,0.94652885,0.9478972
L07,0.33647722,0.8207039,0.95803595,0.96855175,0.9890378,0.9918658,0.99876803,1.0,0.9992904,0.99539375,0.9927168,0.98982275,0.9795396,0.97170913,0.96340346,0.95886964,0.950694,0.95017207,0.9469706,0.9473478,0.9478573,0.95430917,0.954391,0.9554847
L08,0.33855528,0.8236353,0.95541435,0.9656081,0.9861022,0.9891904,0.9970763,0.9992904,1.0,0.99717635,0.9949986,0.9925966,0.9834896,0.9763947,0.9687239,0.96421343,0.95654577,0.9560278,0.95285636,0.95324355,0.9536638,0.95947355,0.95924234,0.959752
L09,0.34624484,0.8184246,0.94288015,0.95401865,0.9781789,0.98361504,0.99201393,0.99539375,0.99717635,1.0,0.99871814,0.9970892,0.99057376,0.98501027,0.9785301,0.9746486,0.9677489,0.96779346,0.9651424,0.9653296,0.96585035,0.9706686,0.96998507,0.9690238
L10,0.35532942,0.82138914,0.93739486,0.9485499,0.9727269,0.9786469,0.9881387,0.9927168,0.9949986,0.99871814,1.0,0.9992308,0.9945213,0.98979676,0.9839051,0.9803905,0.9743442,0.97414315,0.9714148,0.97168976,0.97168314,0.9754932,0.9744476,0.97295016
L11,0.36582026,0.8255536,0.9329744,0.9439185,0.96698713,0.9729484,0.9840104,0.98982275,0.9925966,0.9970892,0.9992308,1.0,0.99702835,0.9933032,0.988255,0.98488975,0.9794443,0.9791381,0.97602403,0.9762891,0.9760489,0.979082,0.9778323,0.97608155
L12,0.38120723,0.82816267,0.9179915,0.9283274,0.95261383,0.95992637,0.9721011,0.9795396,0.9834896,0.99057376,0.9945213,0.99702835,1.0,0.9986603,0.99574757,0.9931886,0.9895265,0.9889735,0.9859905,0.9857704,0.9850788,0.98597187,0.9837446,0.9806068
L13,0.38850904,0.8279103,0.9077902,0.91785055,0.9425696,0.9504127,0.9633385,0.97170913,0.9763947,0.98501027,0.98979676,0.9933032,0.9986603,1.0,0.99859107,0.9966312,0.9939122,0.9932207,0.99007046,0.98961824,0.9889256,0.98884237,0.98652923,0.98254603
L14,0.39417157,0.82448363,0.8982271,0.9079319,0.9327487,0.9410986,0.9542326,0.96340346,0.9687239,0.9785301,0.9839051,0.988255,0.99574757,0.99859107,1.0,0.99879164,0.99706995,0.99655986,0.9937729,0.99303454,0.9923083,0.9911872,0.9886368,0.9843725
L15,0.40089047,0.8222115,0.8911137,0.9011001,0.927811,0.93694174,0.9496277,0.95886964,0.96421343,0.9746486,0.9803905,0.98488975,0.9931886,0.9966312,0.99879164,1.0,0.99890065,0.99811083,0.99568564,0.9947985,0.99435145,0.9932532,0.9909644,0.98640853
L16,0.40498763,0.8189129,0.880798,0.8902129,0.91765857,0.9275174,0.94063365,0.950694,0.95654577,0.9677489,0.9743442,0.9794443,0.9895265,0.9939122,0.99706995,0.99890065,1.0,0.99912375,0.9971582,0.99639845,0.99572885,0.99361426,0.9907263,0.9857046
L17,0.3984937,0.81341225,0.878944,0.888703,0.9173651,0.92782116,0.9402862,0.95017207,0.9560278,0.96779346,0.97414315,0.9791381,0.9889735,0.9932207,0.99655986,0.99811083,0.99912375,1.0,0.9987936,0.9982228,0.9974701,0.99518085,0.9920335,0.9871086
L18,0.3907118,0.80153203,0.874168,0.8847221,0.9156457,0.9270575,0.9377017,0.9469706,0.95285636,0.9651424,0.9714148,0.97602403,0.9859905,0.99007046,0.9937729,0.99568564,0.9971582,0.9987936,1.0,0.99954593,0.99908155,0.99698263,0.9938928,0.98909354
L19,0.38934544,0.8026891,0.8751559,0.8854393,0.9155814,0.92662966,0.9378365,0.9473478,0.95324355,0.9653296,0.97168976,0.9762891,0.9857704,0.98961824,0.99303454,0.9947985,0.99639845,0.9982228,0.99954593,1.0,0.9994464,0.99734336,0.99428487,0.98970866
L20,0.38661575,0.7998975,0.87606,0.88664484,0.91702837,0.9279006,0.9387215,0.9478573,0.9536638,0.96585035,0.97168314,0.9760489,0.9850788,0.9889256,0.9923083,0.99435145,0.99572885,0.9974701,0.99908155,0.9994464,1.0,0.9987883,0.9962637,0.9919272
L21,0.38683555,0.8008524,0.88482404,0.8959166,0.92582446,0.9360802,0.94615626,0.95430917,0.95947355,0.9706686,0.9754932,0.979082,0.98597187,0.98884237,0.9911872,0.9932532,0.99361426,0.99518085,0.99698263,0.99734336,0.9987883,1.0,0.99886125,0.9956037
L22,0.39613104,0.8028293,0.88630545,0.8976595,0.92665803,0.9363821,0.94652885,0.954391,0.95924234,0.96998507,0.9744476,0.9778323,0.9837446,0.98652923,0.9886368,0.9909644,0.9907263,0.9920335,0.9938928,0.99428487,0.9962637,0.99886125,1.0,0.99794304
L23,0.39561906,0.7991354,0.8882276,0.89990824,0.9275744,0.93719137,0.9478972,0.9554847,0.959752,0.9690238,0.97295016,0.97608155,0.9806068,0.98254603,0.9843725,0.98640853,0.9857046,0.9871086,0.98909354,0.98970866,0.9919272,0.9956037,0.99794304,1.0
