task,layer,target,condition_type,condition_value,n_windows,r2_mean,r2_std
push,1,ee_velocity,contact_phase3,pre,3055,0.22725681364536285,0.3666278744082778
push,1,ee_velocity,contact_phase3,during,3842,-0.3213162515312433,0.4670090507650846
push,1,ee_velocity,contact_phase3,post,6759,0.08666112869977952,0.13253931603911082
push,1,ee_velocity,phase,phase=0,7155,0.37126743197441103,0.06329428109184541
push,1,ee_velocity,phase,phase=7,3291,-4.140097045898438,1.1434642676599318
push,1,ee_velocity,phase,phase=5,3210,-0.5615370512008667,0.7004209547178095
push,1,ee_acceleration,all,all,13656,-0.6049066126346588,0.25065885056809406
push,1,ee_acceleration,contact,0,10286,-0.8144937038421631,0.3282431282492661
push,1,ee_acceleration,contact,1,3370,-3.613023853302002,1.0107075942561408
push,1,ee_acceleration,contact_phase3,pre,3055,-2.0509852170944214,0.32382616836120326
push,1,ee_acceleration,contact_phase3,during,3842,-4.279519271850586,1.5740926015069296
push,1,ee_acceleration,contact_phase3,post,6759,-2.8463617324829102,0.38547653006097243
push,1,ee_acceleration,phase,phase=0,7155,-1.2791923522949218,0.4270367027085497
push,1,ee_acceleration,phase,phase=7,3291,-10.328226089477539,3.298940815897212
push,1,ee_acceleration,phase,phase=5,3210,-2.212125599384308,1.420226879788713
push,1,contact_force_log1p_mag,all,all,13656,0.21638457775115966,0.14490421744674983
push,1,contact_force_log1p_mag,contact,0,10286,-1.6350090265274049,1.2006335013428275
push,1,contact_force_log1p_mag,contact,1,3370,-0.9931940555572509,0.9468794194607787
push,1,contact_force_log1p_mag,contact_phase3,pre,3055,-0.000782012939453125,0.00156402587890625
push,1,contact_force_log1p_mag,contact_phase3,during,3842,-1.1289429664611816,0.7731291145853899
push,1,contact_force_log1p_mag,contact_phase3,post,6759,-4.33995201587677,3.456655637291179
push,1,contact_force_log1p_mag,phase,phase=0,7155,0.04265999794006348,0.2601321994305977
push,1,contact_force_log1p_mag,phase,phase=7,3291,1.0,0.0
push,1,contact_force_log1p_mag,phase,phase=5,3210,-5.9474437713623045,1.6298542389570467
push,2,ee_position,all,all,13656,0.9103835701942444,0.029342795438280746
push,2,ee_position,contact,0,10286,0.9255497455596924,0.01264355811355169
push,2,ee_position,contact,1,3370,0.8842555403709411,0.05660112793843886
push,2,ee_position,contact_phase3,pre,3055,0.9120596885681153,0.023958683404813108
push,2,ee_position,contact_phase3,during,3842,0.8883908033370972,0.06392647878690863
push,2,ee_position,contact_phase3,post,6759,0.8973433971405029,0.019696512794417035
push,2,ee_position,phase,phase=0,7155,0.899466872215271,0.027740722307781074
push,2,ee_position,phase,phase=7,3291,0.06144097447395325,0.26953154323661865
push,2,ee_position,phase,phase=5,3210,0.9166611313819886,0.03776422570644822
push,2,ee_velocity,all,all,13656,0.5494733095169068,0.15198738561114672
push,2,ee_velocity,contact,0,10286,0.6467394948005676,0.04981668770666101
push,2,ee_velocity,contact,1,3370,0.10915765315294265,0.12843225786652077
push,2,ee_velocity,contact_phase3,pre,3055,0.49930052608251574,0.29371212515879697
push,2,ee_velocity,contact_phase3,during,3842,-0.09853311628103256,0.6114702509552139
push,2,ee_velocity,contact_phase3,post,6759,0.47024245262145997,0.10479949114611263
push,2,ee_velocity,phase,phase=0,7155,0.42197601199150087,0.0653733621487893
push,2,ee_velocity,phase,phase=7,3291,-1.1805977940559387,0.7389189424733343
push,2,ee_velocity,phase,phase=5,3210,0.10646937191486358,0.2361597148128875
push,2,ee_acceleration,all,all,13656,-0.5450826644897461,0.16639943949518676
push,2,ee_acceleration,contact,0,10286,-0.5817059099674224,0.1902523593246532
push,2,ee_acceleration,contact,1,3370,-3.6752169132232666,2.3135377450839822
push,2,ee_acceleration,contact_phase3,pre,3055,-1.8157691478729248,0.42177968298135243
push,2,ee_acceleration,contact_phase3,during,3842,-4.179770469665527,2.733475913616096
push,2,ee_acceleration,contact_phase3,post,6759,-1.5444290041923523,0.5215299457234112
push,2,ee_acceleration,phase,phase=0,7155,-1.4055476784706116,0.8555940245076005
push,2,ee_acceleration,phase,phase=7,3291,-3.7879990100860597,3.0614002766725106
push,2,ee_acceleration,phase,phase=5,3210,-0.9820462524890899,0.44410014361329647
push,2,contact_force_log1p_mag,all,all,13656,0.35703742504119873,0.18439711583055315
push,2,contact_force_log1p_mag,contact,0,10286,-1.8098331212997436,1.347688538278131
push,2,contact_force_log1p_mag,contact,1,3370,-0.6263898372650146,0.6284539529300021
push,2,contact_force_log1p_mag,contact_phase3,pre,3055,-0.000782012939453125,0.00156402587890625
push,2,contact_force_log1p_mag,contact_phase3,during,3842,-0.8900345802307129,0.39134304159938565
push,2,contact_force_log1p_mag,contact_phase3,post,6759,-3.251644563674927,3.1929949542842695
push,2,contact_force_log1p_mag,phase,phase=0,7155,0.06139487028121948,0.21001715661238893
push,2,contact_force_log1p_mag,phase,phase=7,3291,1.0,0.0
push,2,contact_force_log1p_mag,phase,phase=5,3210,-3.2910747051239015,0.8112178865524217
push,3,ee_position,all,all,13656,0.9338771581649781,0.028278001629807925
push,3,ee_position,contact,0,10286,0.9445653676986694,0.014846635802352222
push,3,ee_position,contact,1,3370,0.8841202139854432,0.05538757106141078
push,3,ee_position,contact_phase3,pre,3055,0.9218019247055054,0.014221277803293889
push,3,ee_position,contact_phase3,during,3842,0.8909660458564759,0.06132495998647279
push,3,ee_position,contact_phase3,post,6759,0.9129478812217713,0.028805165804917262
push,3,ee_position,phase,phase=0,7155,0.905986750125885,0.05553044830720629
push,3,ee_position,phase,phase=7,3291,0.15460106641985477,0.1355063011908849
push,3,ee_position,phase,phase=5,3210,0.9242543578147888,0.05056324704160878
push,3,ee_velocity,all,all,13656,0.6155427098274231,0.1339403511304001
push,3,ee_velocity,contact,0,10286,0.727490234375,0.019181237449947788
push,3,ee_velocity,contact,1,3370,0.15912526808679103,0.10361334601873616
push,3,ee_velocity,contact_phase3,pre,3055,0.5042571652680635,0.27492896643678827
push,3,ee_velocity,contact_phase3,during,3842,-0.03655151426792145,0.35098033241203175
push,3,ee_velocity,contact_phase3,post,6759,0.5771106004714965,0.06978814516164288
push,3,ee_velocity,phase,phase=0,7155,0.545141088962555,0.06964950513162117
push,3,ee_velocity,phase,phase=7,3291,-0.8001246631145478,0.6240685768086107
push,3,ee_velocity,phase,phase=5,3210,0.13434398993849755,0.20523711003828732
push,3,ee_acceleration,all,all,13656,-0.6044149100780487,0.1921633894751834
push,3,ee_acceleration,contact,0,10286,-0.7253503859043121,0.1676667749461241
push,3,ee_acceleration,contact,1,3370,-4.081477928161621,2.068443733489955
push,3,ee_acceleration,contact_phase3,pre,3055,-2.331899309158325,0.859132721585639
push,3,ee_acceleration,contact_phase3,during,3842,-4.386814546585083,2.8345523348615207
push,3,ee_acceleration,contact_phase3,post,6759,-1.5280730485916139,0.3858776206496828
push,3,ee_acceleration,phase,phase=0,7155,-1.3622262597084045,0.537917232731207
push,3,ee_acceleration,phase,phase=7,3291,-2.1173218488693237,1.492294636871266
push,3,ee_acceleration,phase,phase=5,3210,-1.32907692193985,0.465352803908444
push,3,contact_force_log1p_mag,all,all,13656,0.43034930229187013,0.1207148035667824
push,3,contact_force_log1p_mag,contact,0,10286,-1.5722856521606445,1.1090533831300522
push,3,contact_force_log1p_mag,contact,1,3370,-0.6004080533981323,0.40906779866507675
push,3,contact_force_log1p_mag,contact_phase3,pre,3055,-0.000782012939453125,0.00156402587890625
push,3,contact_force_log1p_mag,contact_phase3,during,3842,-1.6490684270858764,0.7385269531149206
push,3,contact_force_log1p_mag,contact_phase3,post,6759,-1.7224726915359496,1.5582589139437313
push,3,contact_force_log1p_mag,phase,phase=0,7155,0.2773834228515625,0.10518571205234534
push,3,contact_force_log1p_mag,phase,phase=7,3291,1.0,0.0
push,3,contact_force_log1p_mag,phase,phase=5,3210,-3.5439055919647218,1.189167398058159
push,4,ee_position,all,all,13656,0.9267861366271972,0.04259663000038615
push,4,ee_position,contact,0,10286,0.9509851098060608,0.01692359409419544
push,4,ee_position,contact,1,3370,0.8498699784278869,0.12392651246701386
push,4,ee_position,contact_phase3,pre,3055,0.9300670385360718,0.037047073703891965
push,4,ee_position,contact_phase3,during,3842,0.8629647135734558,0.1007254382187045
push,4,ee_position,contact_phase3,post,6759,0.916986095905304,0.029603282643961296
push,4,ee_position,phase,phase=0,7155,0.8854738593101501,0.08672035267796399
push,4,ee_position,phase,phase=7,3291,0.3236851215362549,0.22391117787875459
push,4,ee_position,phase,phase=5,3210,0.9294336795806885,0.06216938996800419
push,4,ee_velocity,all,all,13656,0.6907298564910889,0.10973308241532827
push,4,ee_velocity,contact,0,10286,0.7883626580238342,0.011671192268665542
push,4,ee_velocity,contact,1,3370,0.3583521097898483,0.10051098098778792
push,4,ee_velocity,contact_phase3,pre,3055,0.5458406277000905,0.30380500469496635
push,4,ee_velocity,contact_phase3,during,3842,0.2201680362224579,0.35250647822959164
push,4,ee_velocity,contact_phase3,post,6759,0.7039575219154358,0.03614249864084838
push,4,ee_velocity,phase,phase=0,7155,0.6394043803215027,0.029355453360268402
push,4,ee_velocity,phase,phase=7,3291,-0.10919779390096665,0.522554121034162
push,4,ee_velocity,phase,phase=5,3210,0.2719238266348839,0.1410106358971345
push,4,ee_acceleration,all,all,13656,-0.5135253369808197,0.1822941290467407
push,4,ee_acceleration,contact,0,10286,-0.7418993592262269,0.30052964396333987
push,4,ee_acceleration,contact,1,3370,-3.924475407600403,2.0703345007473692
push,4,ee_acceleration,contact_phase3,pre,3055,-3.8828359603881837,2.5010516460510024
push,4,ee_acceleration,contact_phase3,during,3842,-3.385353851318359,1.553225849222621
push,4,ee_acceleration,contact_phase3,post,6759,-1.5845711946487426,0.5678686221538444
push,4,ee_acceleration,phase,phase=0,7155,-1.2654996395111084,0.49301437818219973
push,4,ee_acceleration,phase,phase=7,3291,-0.34794711172580717,0.6629449683416536
push,4,ee_acceleration,phase,phase=5,3210,-1.1587864398956298,0.41812909723832054
push,4,contact_force_log1p_mag,all,all,13656,0.44283385276794435,0.15903484199989776
push,4,contact_force_log1p_mag,contact,0,10286,-1.1986606121063232,0.9556260737110106
push,4,contact_force_log1p_mag,contact,1,3370,-0.23670902252197265,0.3064631175049999
push,4,contact_force_log1p_mag,contact_phase3,pre,3055,-0.000782012939453125,0.00156402587890625
push,4,contact_force_log1p_mag,contact_phase3,during,3842,-0.5128954410552978,0.21270884879055768
push,4,contact_force_log1p_mag,contact_phase3,post,6759,-1.326903796195984,1.3056064566157644
push,4,contact_force_log1p_mag,phase,phase=0,7155,0.31575014591217043,0.15092043811944586
push,4,contact_force_log1p_mag,phase,phase=7,3291,1.0,0.0
push,4,contact_force_log1p_mag,phase,phase=5,3210,-2.911522912979126,1.0695693030792928
push,5,ee_position,all,all,13656,0.929733669757843,0.03754929715754776
push,5,ee_position,contact,0,10286,0.9572740793228149,0.007750191651019669
push,5,ee_position,contact,1,3370,0.8623154401779175,0.10757861842533424
push,5,ee_position,contact_phase3,pre,3055,0.9306766033172608,0.035457041011405094
push,5,ee_position,contact_phase3,during,3842,0.8883751273155213,0.07601420101856772
push,5,ee_position,contact_phase3,post,6759,0.9002869606018067,0.04132096266095008
push,5,ee_position,phase,phase=0,7155,0.9078404307365417,0.05785955554242751
push,5,ee_position,phase,phase=7,3291,0.26489397585392,0.2916827965431506
push,5,ee_position,phase,phase=5,3210,0.9335412502288818,0.058490367279655585
push,5,ee_velocity,all,all,13656,0.7785571813583374,0.05975656101144877
push,5,ee_velocity,contact,0,10286,0.7978448152542115,0.024747683317221346
push,5,ee_velocity,contact,1,3370,0.5511850118637085,0.05829361593483687
push,5,ee_velocity,contact_phase3,pre,3055,0.5012580931186676,0.489253601377826
push,5,ee_velocity,contact_phase3,during,3842,0.4512632369995117,0.11407575363763711
push,5,ee_velocity,contact_phase3,post,6759,0.728452467918396,0.04790974209065166
push,5,ee_velocity,phase,phase=0,7155,0.7284325957298279,0.015146606177030664
push,5,ee_velocity,phase,phase=7,3291,0.2749564379453659,0.267406691536368
push,5,ee_velocity,phase,phase=5,3210,0.3957211792469025,0.07705179577993221
push,5,ee_acceleration,all,all,13656,-0.43247891366481783,0.14889885698637337
push,5,ee_acceleration,contact,0,10286,-0.6601916134357453,0.30146670595889824
push,5,ee_acceleration,contact,1,3370,-4.237868976593018,1.7494276467989922
push,5,ee_acceleration,contact_phase3,pre,3055,-4.310139679908753,4.082274645402401
push,5,ee_acceleration,contact_phase3,during,3842,-3.7687315702438355,2.368808276790223
push,5,ee_acceleration,contact_phase3,post,6759,-1.4973075151443482,0.6338667661464471
push,5,ee_acceleration,phase,phase=0,7155,-1.4678401827812195,0.4849247291221135
push,5,ee_acceleration,phase,phase=7,3291,-0.08654803857207298,0.3691679771412926
push,5,ee_acceleration,phase,phase=5,3210,-1.3114363431930542,0.34723276199427877
push,5,contact_force_log1p_mag,all,all,13656,0.4389699578285217,0.14582020956538166
push,5,contact_force_log1p_mag,contact,0,10286,-1.2545182228088378,1.0956881784669925
push,5,contact_force_log1p_mag,contact,1,3370,-0.6542472600936889,0.5262889964937753
push,5,contact_force_log1p_mag,contact_phase3,pre,3055,-0.000782012939453125,0.00156402587890625
push,5,contact_force_log1p_mag,contact_phase3,during,3842,-1.0478111505508423,0.9642915922660089
push,5,contact_force_log1p_mag,contact_phase3,post,6759,-2.116156315803528,2.3298000533528764
push,5,contact_force_log1p_mag,phase,phase=0,7155,0.32106599807739256,0.04869830129609726
push,5,contact_force_log1p_mag,phase,phase=7,3291,1.0,0.0
push,5,contact_force_log1p_mag,phase,phase=5,3210,-2.527462530136108,0.8255270369513772
push,6,ee_position,all,all,13656,0.9410266757011414,0.03553200114261822
push,6,ee_position,contact,0,10286,0.9572578310966492,0.01618803313914333
push,6,ee_position,contact,1,3370,0.8908744931221009,0.07156938977402558
push,6,ee_position,contact_phase3,pre,3055,0.9369285345077515,0.03408361088850781
push,6,ee_position,contact_phase3,during,3842,0.8884680032730102,0.08138952623743581
push,6,ee_position,contact_phase3,post,6759,0.9074528574943542,0.049526073440268055
push,6,ee_position,phase,phase=0,7155,0.9224289417266845,0.05800820173425602
push,6,ee_position,phase,phase=7,3291,0.2725529134273529,0.22059472275585118
push,6,ee_position,phase,phase=5,3210,0.9422538995742797,0.04573679150522627
push,6,ee_velocity,all,all,13656,0.8194640398025512,0.04782905331369828
push,6,ee_velocity,contact,0,10286,0.8443711757659912,0.011254595544696402
push,6,ee_velocity,contact,1,3370,0.6599829316139221,0.029026780811346797
push,6,ee_velocity,contact_phase3,pre,3055,0.4751546740531921,0.6327356328189043
push,6,ee_velocity,contact_phase3,during,3842,0.54936004281044,0.11202799211288307
push,6,ee_velocity,contact_phase3,post,6759,0.7500521063804626,0.06697498572206645
push,6,ee_velocity,phase,phase=0,7155,0.7668865203857422,0.010870883141953423
push,6,ee_velocity,phase,phase=7,3291,0.6134589433670044,0.10427396595050871
push,6,ee_velocity,phase,phase=5,3210,0.5294774889945983,0.12374810878470507
push,6,ee_acceleration,all,all,13656,-0.3329410418868065,0.1539013690866609
push,6,ee_acceleration,contact,0,10286,-0.517339962720871,0.1871945741589154
push,6,ee_acceleration,contact,1,3370,-2.895751476287842,1.2119238038889242
push,6,ee_acceleration,contact_phase3,pre,3055,-5.095538640022278,6.205665951491789
push,6,ee_acceleration,contact_phase3,during,3842,-2.648467254638672,1.3244215959462693
push,6,ee_acceleration,contact_phase3,post,6759,-1.0775227427482605,0.5249483151630562
push,6,ee_acceleration,phase,phase=0,7155,-0.9460896968841552,0.40044352106143205
push,6,ee_acceleration,phase,phase=7,3291,0.42200211584568026,0.20449627859051453
push,6,ee_acceleration,phase,phase=5,3210,-0.8602514147758484,0.13232781734855753
push,6,contact_force_log1p_mag,all,all,13656,0.46960519552230834,0.11873948524613633
push,6,contact_force_log1p_mag,contact,0,10286,-0.9625917196273803,0.8928978210240008
push,6,contact_force_log1p_mag,contact,1,3370,-0.42085742950439453,0.4047171150598995
push,6,contact_force_log1p_mag,contact_phase3,pre,3055,-0.000782012939453125,0.00156402587890625
push,6,contact_force_log1p_mag,contact_phase3,during,3842,-0.6472060799598693,0.35819497841363446
push,6,contact_force_log1p_mag,contact_phase3,post,6759,-0.931189751625061,0.9573896181823333
push,6,contact_force_log1p_mag,phase,phase=0,7155,0.2406515121459961,0.12318199133351354
push,6,contact_force_log1p_mag,phase,phase=7,3291,1.0,0.0
push,6,contact_force_log1p_mag,phase,phase=5,3210,-1.905773663520813,0.8010157583608976
push,7,ee_position,all,all,13656,0.9371172189712524,0.03784977422348712
push,7,ee_position,contact,0,10286,0.9582801103591919,0.013431362822573031
push,7,ee_position,contact,1,3370,0.9018088698387146,0.0715340030273424
push,7,ee_position,contact_phase3,pre,3055,0.9443251848220825,0.04437097664121132
push,7,ee_position,contact_phase3,during,3842,0.8891785979270935,0.08341928529404327
push,7,ee_position,contact_phase3,post,6759,0.905577290058136,0.049275857319636136
push,7,ee_position,phase,phase=0,7155,0.9233585834503174,0.059939086344525015
push,7,ee_position,phase,phase=7,3291,0.06527665760368109,0.19986552611195077
push,7,ee_position,phase,phase=5,3210,0.93686443567276,0.05584769565903502
push,7,ee_velocity,all,all,13656,0.8508249998092652,0.037470145165786145
push,7,ee_velocity,contact,0,10286,0.8667298674583435,0.009766464444294605
push,7,ee_velocity,contact,1,3370,0.6648104667663575,0.07814630931885433
push,7,ee_velocity,contact_phase3,pre,3055,0.5157926678657532,0.513591267065455
push,7,ee_velocity,contact_phase3,during,3842,0.5453358471393586,0.16790127366792912
push,7,ee_velocity,contact_phase3,post,6759,0.7794351816177368,0.02855492861640728
push,7,ee_velocity,phase,phase=0,7155,0.769247829914093,0.026809110195273957
push,7,ee_velocity,phase,phase=7,3291,0.583397263288498,0.15326765338474133
push,7,ee_velocity,phase,phase=5,3210,0.5196310043334961,0.1292001031682353
push,7,ee_acceleration,all,all,13656,-0.3138585835695267,0.13919965724580355
push,7,ee_acceleration,contact,0,10286,-0.45502583384513856,0.17617915492086136
push,7,ee_acceleration,contact,1,3370,-3.3234261989593508,1.228969424055593
push,7,ee_acceleration,contact_phase3,pre,3055,-4.100652074813842,3.7702461722999603
push,7,ee_acceleration,contact_phase3,during,3842,-2.890427565574646,1.591971958303855
push,7,ee_acceleration,contact_phase3,post,6759,-1.0902355790138245,0.23668497813875755
push,7,ee_acceleration,phase,phase=0,7155,-1.0809653043746947,0.47347690031679796
push,7,ee_acceleration,phase,phase=7,3291,0.10361749455332755,0.43268766023834265
push,7,ee_acceleration,phase,phase=5,3210,-0.6260384798049927,0.18352998035938778
push,7,contact_force_log1p_mag,all,all,13656,0.40541409254074096,0.1540278990813451
push,7,contact_force_log1p_mag,contact,0,10286,-1.0102441549301147,0.8484551176273508
push,7,contact_force_log1p_mag,contact,1,3370,-0.4002270340919495,0.36553878929709055
push,7,contact_force_log1p_mag,contact_phase3,pre,3055,-0.000782012939453125,0.00156402587890625
push,7,contact_force_log1p_mag,contact_phase3,during,3842,-0.5574562311172485,0.3781416124862082
push,7,contact_force_log1p_mag,contact_phase3,post,6759,-1.3663930654525758,1.4764367726698024
push,7,contact_force_log1p_mag,phase,phase=0,7155,0.4137157917022705,0.12245297549344918
push,7,contact_force_log1p_mag,phase,phase=7,3291,1.0,0.0
push,7,contact_force_log1p_mag,phase,phase=5,3210,-1.6538395166397095,0.7041182277707541
push,8,ee_position,all,all,13656,0.9473555684089661,0.03377610884535929
push,8,ee_position,contact,0,10286,0.9638492941856385,0.0056167005562167815
push,8,ee_position,contact,1,3370,0.8873899698257446,0.09436605465611786
push,8,ee_position,contact_phase3,pre,3055,0.9466093897819519,0.03676512673557193
push,8,ee_position,contact_phase3,during,3842,0.8802616119384765,0.10492477456772509
push,8,ee_position,contact_phase3,post,6759,0.9218670845031738,0.04404253139924439
push,8,ee_position,phase,phase=0,7155,0.9312042832374573,0.055400986946501696
push,8,ee_position,phase,phase=7,3291,-0.02555125281214714,0.23218156377686702
push,8,ee_position,phase,phase=5,3210,0.9471364259719849,0.03780754744132599
push,8,ee_velocity,all,all,13656,0.8506494641304017,0.029813295805388603
push,8,ee_velocity,contact,0,10286,0.8697341203689575,0.014687307192416512
push,8,ee_velocity,contact,1,3370,0.675925326347351,0.028952507643295107
push,8,ee_velocity,contact_phase3,pre,3055,0.5809210658073425,0.4193896548860413
push,8,ee_velocity,contact_phase3,during,3842,0.5698598563671112,0.12096378697869406
push,8,ee_velocity,contact_phase3,post,6759,0.8016134619712829,0.0392215397342015
push,8,ee_velocity,phase,phase=0,7155,0.768654727935791,0.022621134524518256
push,8,ee_velocity,phase,phase=7,3291,0.6064537227153778,0.1450261707452382
push,8,ee_velocity,phase,phase=5,3210,0.5045979499816895,0.07550347113713807
push,8,ee_acceleration,all,all,13656,-0.30498206317424775,0.06046305036800304
push,8,ee_acceleration,contact,0,10286,-0.43120182156562803,0.18199567870615735
push,8,ee_acceleration,contact,1,3370,-3.4684181213378906,1.3809491460294363
push,8,ee_acceleration,contact_phase3,pre,3055,-4.464474606513977,3.9940164986967512
push,8,ee_acceleration,contact_phase3,during,3842,-2.5532708883285524,1.3443746371850436
push,8,ee_acceleration,contact_phase3,post,6759,-0.9229867637157441,0.2415529946815461
push,8,ee_acceleration,phase,phase=0,7155,-1.3121304869651795,0.7419460364151521
push,8,ee_acceleration,phase,phase=7,3291,0.19621804356575012,0.35530932617484906
push,8,ee_acceleration,phase,phase=5,3210,-0.8612292170524597,0.3083754681296035
push,8,contact_force_log1p_mag,all,all,13656,0.45185725688934325,0.1302888753024048
push,8,contact_force_log1p_mag,contact,0,10286,-0.8441906809806824,0.8675535914174269
push,8,contact_force_log1p_mag,contact,1,3370,-0.3110478758811951,0.2392386664840663
push,8,contact_force_log1p_mag,contact_phase3,pre,3055,-0.000782012939453125,0.00156402587890625
push,8,contact_force_log1p_mag,contact_phase3,during,3842,-0.605022931098938,0.31353580203891573
push,8,contact_force_log1p_mag,contact_phase3,post,6759,-1.484381866455078,1.5938746738837328
push,8,contact_force_log1p_mag,phase,phase=0,7155,0.4230041027069092,0.13893711131434924
push,8,contact_force_log1p_mag,phase,phase=7,3291,1.0,0.0
push,8,contact_force_log1p_mag,phase,phase=5,3210,-2.1942393302917482,0.9796946832350901
push,9,ee_position,all,all,13656,0.9422572135925293,0.031670103100817866
push,9,ee_position,contact,0,10286,0.958351194858551,0.011161406159876536
push,9,ee_position,contact,1,3370,0.9049042940139771,0.06836550395491964
push,9,ee_position,contact_phase3,pre,3055,0.949858820438385,0.021649709611525663
push,9,ee_position,contact_phase3,during,3842,0.8973594427108764,0.08182358070163004
push,9,ee_position,contact_phase3,post,6759,0.9092656135559082,0.04684180554447262
push,9,ee_position,phase,phase=0,7155,0.9189941167831421,0.050403591662381335
push,9,ee_position,phase,phase=7,3291,0.07846933491528034,0.24369474164047047
push,9,ee_position,phase,phase=5,3210,0.9386395931243896,0.057269210248620236
push,9,ee_velocity,all,all,13656,0.8524886012077332,0.028571908369801096
push,9,ee_velocity,contact,0,10286,0.8589746236801148,0.023772991116927926
push,9,ee_velocity,contact,1,3370,0.6751590371131897,0.10536401608717787
push,9,ee_velocity,contact_phase3,pre,3055,0.551526564359665,0.47891290250392377
push,9,ee_velocity,contact_phase3,during,3842,0.5935494303703308,0.1363217442480537
push,9,ee_velocity,contact_phase3,post,6759,0.7633527755737305,0.06571267509209283
push,9,ee_velocity,phase,phase=0,7155,0.8015210747718811,0.023455640576551025
push,9,ee_velocity,phase,phase=7,3291,0.6664052248001099,0.04697395295118353
push,9,ee_velocity,phase,phase=5,3210,0.5712081909179687,0.027924325020011305
push,9,ee_acceleration,all,all,13656,-0.3026808112859726,0.06832675865635604
push,9,ee_acceleration,contact,0,10286,-0.39717334806919097,0.16601998958084319
push,9,ee_acceleration,contact,1,3370,-2.2576501846313475,0.3621534396725912
push,9,ee_acceleration,contact_phase3,pre,3055,-2.37990026473999,0.6948262542731117
