task,layer,target,condition_type,condition_value,n_windows,r2_mean,r2_std
push,0,ee_position,all,all,13656,0.6250315308570862,0.0545340473309026
push,0,ee_position,contact,0,10286,0.6512173175811767,0.033874724598276555
push,0,ee_position,contact,1,3370,0.37519779838621614,0.20893176351315632
push,0,ee_position,contact_phase3,pre,3055,0.3555479317903519,0.1517517978858101
push,0,ee_position,contact_phase3,during,3842,0.4369929820299149,0.18048080624778506
push,0,ee_position,contact_phase3,post,6759,0.5217263638973236,0.13867564433356164
push,0,ee_position,phase,phase=0,7155,0.5443442285060882,0.028156151460992162
push,0,ee_position,phase,phase=7,3291,-1.5888833820819854,1.0869347785305838
push,0,ee_position,phase,phase=5,3210,0.11416445970535279,0.2639757895766771
push,0,ee_velocity,all,all,13656,-0.28400259613990786,0.31739722165332285
push,0,ee_velocity,contact,0,10286,-0.12913430323824288,0.15810878264313213
push,0,ee_velocity,contact,1,3370,-1.5850780248641967,0.2928237365541017
push,0,ee_velocity,contact_phase3,pre,3055,-0.04542233180254698,0.3502315403009662
push,0,ee_velocity,contact_phase3,during,3842,-2.228214144706726,0.8875550493399399
push,0,ee_velocity,contact_phase3,post,6759,-0.2872745648026466,0.2890755862201348
push,0,ee_velocity,phase,phase=0,7155,-0.7327154874801636,0.3202786555153154
push,0,ee_velocity,phase,phase=7,3291,-6.832472324371338,2.835594661566623
push,0,ee_velocity,phase,phase=5,3210,-1.2088195979595184,0.6076880207030197
push,0,ee_acceleration,all,all,13656,-0.15154627077281474,0.09212277672512963
push,0,ee_acceleration,contact,0,10286,-0.24835252463817598,0.1386514839907866
push,0,ee_acceleration,contact,1,3370,-1.6286409497261047,0.831899766507577
push,0,ee_acceleration,contact_phase3,pre,3055,-1.004739809036255,0.3443758398362544
push,0,ee_acceleration,contact_phase3,during,3842,-1.2675828337669373,0.5940701060754785
push,0,ee_acceleration,contact_phase3,post,6759,-1.854746663570404,0.9746350907997458
push,0,ee_acceleration,phase,phase=0,7155,-0.3229218363761902,0.15645289177050126
push,0,ee_acceleration,phase,phase=7,3291,-5.344594526290893,1.9083234899348813
push,0,ee_acceleration,phase,phase=5,3210,-2.969394826889038,0.6821818819247013
push,0,contact_force_log1p_mag,all,all,13656,-0.18297077417373658,0.3938419509482314
push,0,contact_force_log1p_mag,contact,0,10286,-0.9750168561935425,0.7903539235466165
push,0,contact_force_log1p_mag,contact,1,3370,-1.3930450201034545,0.6541997733254395
push,0,contact_force_log1p_mag,contact_phase3,pre,3055,-0.000782012939453125,0.00156402587890625
push,0,contact_force_log1p_mag,contact_phase3,during,3842,-1.5814689636230468,0.95956725747493
push,0,contact_force_log1p_mag,contact_phase3,post,6759,-3.438019561767578,2.79133467251884
push,0,contact_force_log1p_mag,phase,phase=0,7155,-0.008591902256011964,0.1355847799548623
push,0,contact_force_log1p_mag,phase,phase=7,3291,1.0,0.0
push,0,contact_force_log1p_mag,phase,phase=5,3210,-3.8231205463409426,1.038423163013624
push,1,ee_position,all,all,13656,0.882004976272583,0.023831181726219345
push,1,ee_position,contact,0,10286,0.8889807462692261,0.013209592918386736
push,1,ee_position,contact,1,3370,0.861752700805664,0.08459657329194058
push,1,ee_position,contact_phase3,pre,3055,0.8233187437057495,0.044878096884731634
push,1,ee_position,contact_phase3,during,3842,0.8667464017868042,0.06480474675512674
push,1,ee_position,contact_phase3,post,6759,0.8457651019096375,0.04377027729027839
push,1,ee_position,phase,phase=0,7155,0.8538489222526551,0.03387817344708359
push,1,ee_position,phase,phase=7,3291,-0.5256005845963955,0.3010153422024963
push,1,ee_position,phase,phase=5,3210,0.8635653972625732,0.060025421247940844
push,1,ee_velocity,all,all,13656,0.4442377120256424,0.17193269078741666
push,1,ee_velocity,contact,0,10286,0.5029318392276764,0.11794635333611538
push,1,ee_velocity,contact,1,3370,-0.2891141839325428,0.2752306635998378
