src_task,tgt_task,layer,target,transfer_r2,within_tgt_r2,gap
push,strike,0,ee_velocity,-0.43975958228111267,-0.580218818038702,-0.14045923575758934
push,strike,1,ee_velocity,0.25632423162460327,0.3492733836174011,0.09294915199279785
push,strike,2,ee_velocity,0.20526929199695587,0.5012630879878998,0.2959937959909439
push,strike,3,ee_velocity,0.14571449160575867,0.4942517399787903,0.3485372483730316
push,strike,4,ee_velocity,0.4729417860507965,0.5177381098270416,0.044796323776245095
push,strike,5,ee_velocity,0.44197943806648254,0.652962064743042,0.21098262667655943
push,strike,6,ee_velocity,0.5500722527503967,0.6969259977340698,0.1468537449836731
push,strike,7,ee_velocity,0.5516161322593689,0.7344450712203979,0.18282893896102903
push,strike,8,ee_velocity,0.6356686353683472,0.729030442237854,0.09336180686950679
push,strike,9,ee_velocity,0.683269739151001,0.7470872521400451,0.06381751298904415
push,strike,10,ee_velocity,0.6718526482582092,0.7658499956130982,0.09399734735488896
push,strike,11,ee_velocity,0.7086232900619507,0.7835108995437622,0.0748876094818115
push,strike,12,ee_velocity,0.6078261137008667,0.78818119764328,0.18035508394241329
push,strike,13,ee_velocity,0.6423236131668091,0.8059557557106019,0.16363214254379277
push,strike,14,ee_velocity,0.6710442304611206,0.8148030757904052,0.14375884532928462
push,strike,15,ee_velocity,0.7385141253471375,0.8360677719116211,0.09755364656448362
push,strike,16,ee_velocity,0.7074742913246155,0.8671015620231628,0.15962727069854732
push,strike,17,ee_velocity,0.7458751201629639,0.8847632050514221,0.13888808488845827
push,strike,18,ee_velocity,0.7406551837921143,0.8818771839141846,0.1412220001220703
push,strike,19,ee_velocity,0.7041073441505432,0.8812977552413941,0.17719041109085087
push,strike,20,ee_velocity,0.6615763306617737,0.8766027927398682,0.2150264620780945
push,strike,21,ee_velocity,0.7401089668273926,0.8728299260139465,0.1327209591865539
push,strike,22,ee_velocity,0.6801283955574036,0.8878503322601319,0.20772193670272832
push,strike,23,ee_velocity,0.6386662125587463,0.8696249842643737,0.2309587717056274
push,strike,0,ee_acceleration,-0.03890322893857956,-0.3620071053504944,-0.32310387641191485
push,strike,1,ee_acceleration,-0.06089531257748604,-0.6213372766971588,-0.5604419641196727
push,strike,2,ee_acceleration,-0.05482540652155876,-0.89327073097229,-0.8384453244507313
push,strike,3,ee_acceleration,-0.04959440976381302,-1.0675067901611328,-1.0179123803973198
push,strike,4,ee_acceleration,-0.032831382006406784,-0.9182336449623107,-0.885402262955904
push,strike,5,ee_acceleration,-0.07201164960861206,-0.9698034822940826,-0.8977918326854706
push,strike,6,ee_acceleration,-0.05122176930308342,-0.6228217959403992,-0.5716000266373158
push,strike,7,ee_acceleration,-0.0037732061464339495,-0.6600378155708313,-0.6562646094243973
push,strike,8,ee_acceleration,0.007250996306538582,-0.6331787407398224,-0.640429737046361
push,strike,9,ee_acceleration,-0.024882785975933075,-0.5410710513591767,-0.5161882653832436
push,strike,10,ee_acceleration,0.00720941973850131,-0.4157777100801468,-0.4229871298186481
push,strike,11,ee_acceleration,0.01252058707177639,-0.39953326880931855,-0.41205385588109494
push,strike,12,ee_acceleration,-0.08368831127882004,-0.41795945465564727,-0.33427114337682723
push,strike,13,ee_acceleration,-0.0066765714436769485,-0.23101195693016052,-0.22433538548648357
push,strike,14,ee_acceleration,0.02072170190513134,-0.20386004094034432,-0.22458174284547566
push,strike,15,ee_acceleration,0.06818847358226776,-0.19068485423922538,-0.25887332782149314
push,strike,16,ee_acceleration,0.0969681516289711,-0.05773681430146098,-0.1547049659304321
push,strike,17,ee_acceleration,0.05240018293261528,-0.07086685672402382,-0.1232670396566391
push,strike,18,ee_acceleration,0.011200401932001114,-0.02573443651199341,-0.03693483844399452
push,strike,19,ee_acceleration,0.0881984531879425,-0.09829263240098954,-0.18649108558893204
push,strike,20,ee_acceleration,0.07940561324357986,-0.04993057548999787,-0.12933618873357772
push,strike,21,ee_acceleration,0.02795577421784401,-0.22108127884566783,-0.24903705306351184
push,strike,22,ee_acceleration,-0.1273229420185089,-0.1530036226962693,-0.025680680677760387
push,strike,23,ee_acceleration,-0.14294679462909698,-0.22365243285894393,-0.08070563822984694
push,strike,0,contact_flag,-1.6474982500076294,-0.3972702145576477,1.2502280354499817
push,strike,1,contact_flag,-2.7971928119659424,-0.19834585338830948,2.598846958577633
push,strike,2,contact_flag,-1.185596227645874,0.04521356821060181,1.2308097958564759
push,strike,3,contact_flag,-0.4679710865020752,0.029204249382019043,0.49717533588409424
push,strike,4,contact_flag,-0.9190710783004761,0.07069094777107239,0.9897620260715485
push,strike,5,contact_flag,-0.5249391794204712,0.056949925422668454,0.5818891048431396
push,strike,6,contact_flag,-0.18957674503326416,0.2687766462564468,0.458353391289711
push,strike,7,contact_flag,0.031415700912475586,0.33244915008544923,0.30103344917297364
push,strike,8,contact_flag,-0.07772696018218994,0.3927464932203293,0.4704734534025192
push,strike,9,contact_flag,-0.32274067401885986,0.4118313193321228,0.7345719933509827
push,strike,10,contact_flag,0.20928943157196045,0.42343109250068667,0.21414166092872622
push,strike,11,contact_flag,0.18566632270812988,0.42601737976074217,0.24035105705261228
push,strike,12,contact_flag,0.05186665058135986,0.4459290266036987,0.39406237602233884
push,strike,13,contact_flag,0.12533682584762573,0.49881382286548615,0.3734769970178604
push,strike,14,contact_flag,0.1594957709312439,0.4696212649345398,0.3101254940032959
push,strike,15,contact_flag,0.2793404459953308,0.5657739043235779,0.28643345832824707
push,strike,16,contact_flag,0.33792856335639954,0.5441747307777405,0.20624616742134094
push,strike,17,contact_flag,0.29825615882873535,0.5821649610996247,0.2839088022708893
push,strike,18,contact_flag,0.13234716653823853,0.5724900603294373,0.44014289379119875
push,strike,19,contact_flag,0.18596160411834717,0.576429134607315,0.3904675304889679
push,strike,20,contact_flag,0.3520328998565674,0.5517044961452484,0.19967159628868103
push,strike,21,contact_flag,0.28267550468444824,0.5265418231487274,0.2438663184642792
push,strike,22,contact_flag,-0.5277115106582642,0.5241665303707123,1.0518780410289765
push,strike,23,contact_flag,-0.1666949987411499,0.5217755317687989,0.6884705305099488
push,strike,0,contact_force_log1p_mag,-0.9190472364425659,-0.600978946685791,0.3180682897567749
push,strike,1,contact_force_log1p_mag,-1.6079907417297363,-0.19469019174575805,1.4133005499839784
push,strike,2,contact_force_log1p_mag,-0.1755901575088501,0.07766529321670532,0.25325545072555544
push,strike,3,contact_force_log1p_mag,-0.299862265586853,0.14403501749038697,0.44389728307723997
push,strike,4,contact_force_log1p_mag,-0.09702181816101074,0.15425848960876465,0.2512803077697754
push,strike,5,contact_force_log1p_mag,-0.15217876434326172,0.03333953619003296,0.18551830053329468
push,strike,6,contact_force_log1p_mag,0.10641759634017944,0.22040116786956787,0.11398357152938843
push,strike,7,contact_force_log1p_mag,0.20052462816238403,0.29775227308273317,0.09722764492034913
push,strike,8,contact_force_log1p_mag,-0.025309085845947266,0.41738888025283816,0.4426979660987854
push,strike,9,contact_force_log1p_mag,0.18045562505722046,0.43885481357574463,0.25839918851852417
push,strike,10,contact_force_log1p_mag,0.29250943660736084,0.49976286888122556,0.20725343227386472
push,strike,11,contact_force_log1p_mag,0.23497092723846436,0.4690732955932617,0.23410236835479736
push,strike,12,contact_force_log1p_mag,-0.38709938526153564,0.48611838817596437,0.8732177734375
push,strike,13,contact_force_log1p_mag,-0.14442074298858643,0.5156545639038086,0.660075306892395
push,strike,14,contact_force_log1p_mag,0.16812348365783691,0.5181350350379944,0.3500115513801575
push,strike,15,contact_force_log1p_mag,0.09975022077560425,0.563685667514801,0.46393544673919673
push,strike,16,contact_force_log1p_mag,0.31490445137023926,0.5234851360321044,0.2085806846618652
push,strike,17,contact_force_log1p_mag,0.23105692863464355,0.5726771831512452,0.3416202545166016
push,strike,18,contact_force_log1p_mag,0.18337684869766235,0.5542237162590027,0.37084686756134033
push,strike,19,contact_force_log1p_mag,0.05168437957763672,0.5404558658599854,0.4887714862823487
push,strike,20,contact_force_log1p_mag,0.24503356218338013,0.533406400680542,0.2883728384971619
push,strike,21,contact_force_log1p_mag,0.2619990110397339,0.49908324480056765,0.23708423376083376
push,strike,22,contact_force_log1p_mag,0.027727782726287842,0.5134311318397522,0.48570334911346436
push,strike,23,contact_force_log1p_mag,-0.10329151153564453,0.5085595607757568,0.6118510723114013
strike,push,0,ee_velocity,-36.41071701049805,-0.34634290635585785,36.06437410414219
