,L00,L01,L02,L03,L04,L05,L06,L07,L08,L09,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23
L00,1.0,0.6303255,0.5883339,0.58536786,0.58310544,0.5838149,0.5956613,0.6021249,0.6033601,0.6183733,0.6199186,0.62021494,0.624929,0.6350831,0.63953257,0.6396927,0.6380266,0.6472012,0.6514705,0.66056484,0.67359275,0.6858933,0.69978106,0.6882579
L01,0.6303255,1.0,0.92239606,0.9139324,0.89886844,0.89169383,0.90123725,0.90523106,0.9045406,0.90283644,0.9020352,0.9031588,0.9002577,0.9013127,0.9022221,0.90297097,0.89907503,0.89394855,0.89184606,0.88837445,0.88663954,0.87863445,0.8660021,0.8173517
L02,0.5883339,0.92239606,1.0,0.9980931,0.98049533,0.97155184,0.9751188,0.97478414,0.9711224,0.96813613,0.9667622,0.9688092,0.9626704,0.95991176,0.95855457,0.95927733,0.95592797,0.9457429,0.9440187,0.9379286,0.9332753,0.9218678,0.9021254,0.8454536
L03,0.58536786,0.9139324,0.9980931,1.0,0.9859026,0.9782669,0.9810846,0.9805606,0.9770349,0.9743766,0.97332567,0.9753986,0.9693348,0.9664327,0.96488756,0.9651694,0.9622155,0.95212984,0.950535,0.944573,0.93968505,0.9282394,0.907675,0.8508821
L04,0.58310544,0.89886844,0.98049533,0.9859026,1.0,0.9988454,0.99721754,0.9955527,0.99204016,0.98827916,0.98737687,0.98740363,0.98005956,0.9762993,0.9730363,0.97288376,0.97082144,0.9606482,0.9605613,0.9545415,0.94928265,0.93774366,0.91619337,0.8595486
L05,0.5838149,0.89169383,0.97155184,0.9782669,0.9988454,1.0,0.99770886,0.9960749,0.99288195,0.9893932,0.98862505,0.9882479,0.98100597,0.9774692,0.9741907,0.97391224,0.9723241,0.9627839,0.96303153,0.95725375,0.9519731,0.9406636,0.9191221,0.8629197
L06,0.5956613,0.90123725,0.9751188,0.9810846,0.99721754,0.99770886,1.0,0.99960697,0.9977446,0.99478483,0.9939648,0.9935539,0.9874903,0.9849787,0.98224854,0.98228645,0.9807175,0.9722322,0.971821,0.96661663,0.9615878,0.9507992,0.9297933,0.873989
L07,0.6021249,0.90523106,0.97478414,0.9805606,0.9955527,0.9960749,0.99960697,1.0,0.9987329,0.99593025,0.9953582,0.9949767,0.98944813,0.9873572,0.98499644,0.9850179,0.983482,0.97545135,0.9750105,0.9700339,0.96519953,0.95466304,0.93417466,0.8788201
L08,0.6033601,0.9045406,0.9711224,0.9770349,0.99204016,0.99288195,0.9977446,0.9987329,1.0,0.996393,0.9955486,0.99441636,0.98889154,0.98676395,0.98439884,0.98420304,0.98278517,0.9750185,0.9745514,0.9698676,0.9650751,0.9547845,0.9345859,0.88005173
L09,0.6183733,0.90283644,0.96813613,0.9743766,0.98827916,0.9893932,0.99478483,0.99593025,0.996393,1.0,0.99905,0.9977126,0.9939271,0.991883,0.99033356,0.989593,0.98843974,0.98333323,0.98289865,0.97976077,0.976114,0.96681947,0.9489289,0.8949283
L10,0.6199186,0.9020352,0.9667622,0.97332567,0.98737687,0.98862505,0.9939648,0.9953582,0.9955486,0.99905,1.0,0.9990311,0.9957889,0.9942826,0.99290764,0.9916734,0.99070907,0.9855351,0.985348,0.9820314,0.9782472,0.9691063,0.95116675,0.89736134
L11,0.62021494,0.9031588,0.9688092,0.9753986,0.98740363,0.9882479,0.9935539,0.9949767,0.99441636,0.9977126,0.9990311,1.0,0.9975579,0.996341,0.99480313,0.99337465,0.9920755,0.9865257,0.9860291,0.9824079,0.97858715,0.96938354,0.95127136,0.8970908
L12,0.624929,0.9002577,0.9626704,0.9693348,0.98005956,0.98100597,0.9874903,0.98944813,0.98889154,0.9939271,0.9957889,0.9975579,1.0,0.99835527,0.99668306,0.99480283,0.993659,0.98923683,0.98849607,0.9855139,0.98203653,0.97378814,0.9575424,0.90572315
L13,0.6350831,0.9013127,0.95991176,0.9664327,0.9762993,0.9774692,0.9849787,0.9873572,0.98676395,0.991883,0.9942826,0.996341,0.99835527,1.0,0.9990333,0.997598,0.99646735,0.99308854,0.99233633,0.9898392,0.9867438,0.97955656,0.9633813,0.913124
L14,0.63953257,0.9022221,0.95855457,0.96488756,0.9730363,0.9741907,0.98224854,0.98499644,0.98439884,0.99033356,0.99290764,0.99480313,0.99668306,0.9990333,1.0,0.9990213,0.99822855,0.99581766,0.9949947,0.99265736,0.9895891,0.98227155,0.9662138,0.9153099
L15,0.6396927,0.90297097,0.95927733,0.9651694,0.97288376,0.97391224,0.98228645,0.9850179,0.98420304,0.989593,0.9916734,0.99337465,0.99480283,0.997598,0.9990213,1.0,0.9994541,0.99719614,0.9960736,0.9934608,0.99022007,0.98294246,0.96669495,0.91565466
L16,0.6380266,0.89907503,0.95592797,0.9622155,0.97082144,0.9723241,0.9807175,0.983482,0.98278517,0.98843974,0.99070907,0.9920755,0.993659,0.99646735,0.99822855,0.9994541,1.0,0.998244,0.9972006,0.9947323,0.99112296,0.98385555,0.9676089,0.91676474
L17,0.6472012,0.89394855,0.9457429,0.95212984,0.9606482,0.9627839,0.9722322,0.97545135,0.9750185,0.98333323,0.9855351,0.9865257,0.98923683,0.99308854,0.99581766,0.99719614,0.998244,1.0,0.9992998,0.99804354,0.9952855,0.9891566,0.9748521,0.92558235
L18,0.6514705,0.89184606,0.9440187,0.950535,0.9605613,0.96303153,0.971821,0.9750105,0.9745514,0.98289865,0.985348,0.9860291,0.98849607,0.99233633,0.9949947,0.9960736,0.9972006,0.9992998,1.0,0.99906147,0.9967758,0.9912061,0.97806245,0.93041044
L19,0.66056484,0.88837445,0.9379286,0.944573,0.9545415,0.95725375,0.96661663,0.9700339,0.9698676,0.97976077,0.9820314,0.9824079,0.9855139,0.9898392,0.99265736,0.9934608,0.9947323,0.99804354,0.99906147,1.0,0.99895895,0.99493104,0.98363614,0.939535
L20,0.67359275,0.88663954,0.9332753,0.93968505,0.94928265,0.9519731,0.9615878,0.96519953,0.9650751,0.976114,0.9782472,0.97858715,0.98203653,0.9867438,0.9895891,0.99022007,0.99112296,0.9952855,0.9967758,0.99895895,1.0,0.9977705,0.9891501,0.9487994
L21,0.6858933,0.87863445,0.9218678,0.9282394,0.93774366,0.9406636,0.9507992,0.95466304,0.9547845,0.96681947,0.9691063,0.96938354,0.97378814,0.97955656,0.98227155,0.98294246,0.98385555,0.9891566,0.9912061,0.99493104,0.9977705,1.0,0.99552727,0.96489733
L22,0.69978106,0.8660021,0.9021254,0.907675,0.91619337,0.9191221,0.9297933,0.93417466,0.9345859,0.9489289,0.95116675,0.95127136,0.9575424,0.9633813,0.9662138,0.96669495,0.9676089,0.9748521,0.97806245,0.98363614,0.9891501,0.99552727,1.0,0.9807463
L23,0.6882579,0.8173517,0.8454536,0.8508821,0.8595486,0.8629197,0.873989,0.8788201,0.88005173,0.8949283,0.89736134,0.8970908,0.90572315,0.913124,0.9153099,0.91565466,0.91676474,0.92558235,0.93041044,0.939535,0.9487994,0.96489733,0.9807463,1.0
