task,layer,slot,path_length_mean,mean_speed_mean,tortuosity_mean
push,0,0,158.74668680826824,0.7144053389628728,102.0783060773965
push,0,1,157.5078094482422,0.7092366387446721,97.57334056493704
push,0,2,156.32530568440754,0.7042895744244257,88.31425831682652
push,0,3,154.94699274698894,0.6983867754538854,78.04332819076093
push,0,4,153.51337738037108,0.6922371437152227,70.02313324729579
push,0,5,152.0790822347005,0.6861541251341502,65.22195249622365
push,0,6,150.65567525227866,0.6801291366418203,67.1240977546406
push,0,7,149.3043655395508,0.6744811137517294,70.9757291826773
push,1,0,292.19100189208984,1.3159846067428589,115.52689769622005
push,1,1,292.0465911865234,1.315609061717987,110.68128993619425
push,1,2,291.57275238037107,1.3137977798779805,106.7340407241925
push,1,3,291.01329142252604,1.3115580161412557,98.87332746603019
push,1,4,290.15868275960287,1.3080567081769308,92.23298216913322
push,1,5,289.26697794596356,1.3042677104473115,89.67222697168611
push,1,6,288.0993296305339,1.299320407708486,92.77358400304038
push,1,7,286.70328521728516,1.293239982922872,94.88244435140501
push,2,0,419.29923146565756,1.885124397277832,45.39071122270166
push,2,1,423.2502243041992,1.903378148873647,45.83826833272635
push,2,2,426.13359018961586,1.9166616916656494,45.72402256098287
push,2,3,421.9015380859375,1.897788151105245,45.67799300219865
push,2,4,417.8698008219401,1.8794973572095235,45.16408389569134
push,2,5,419.8534164428711,1.8885312000910441,45.32177301559004
push,2,6,417.04771779378257,1.875634753704071,45.3498893781646
push,2,7,411.75853627522787,1.8517529686292014,45.37232035828696
push,3,0,401.04991861979164,1.7996517499287923,37.2906816927997
push,3,1,405.31550750732424,1.8178207317988078,34.44664004630213
push,3,2,396.0342290242513,1.7770304361979166,34.693306717683114
push,3,3,389.97037200927736,1.7503632187843323,36.0182239301896
push,3,4,381.36885732014974,1.7120682795842488,40.14612297255624
push,3,5,372.8472147623698,1.674106482664744,42.103698820575794
push,3,6,379.6244669596354,1.7039912978808085,37.10949755230675
push,3,7,372.1639958699544,1.6710816383361817,40.05502739989108
push,4,0,445.65076243082683,1.990855618317922,29.969681090662878
push,4,1,465.9120091756185,2.079476086298625,30.29301562085976
push,4,2,473.42285817464193,2.11248410542806,30.16398209272619
push,4,3,458.19770965576174,2.045292592048645,31.28464239781492
push,4,4,451.38281504313153,2.0151588400204976,32.53854941940475
push,4,5,463.43289235432945,2.0676953275998433,32.42852930978576
push,4,6,463.6485544840495,2.0696885148684183,32.72803409165254
push,4,7,464.59820048014325,2.0739758968353272,32.38227790189903
push,5,0,434.3557286580404,1.938031514485677,27.576441672353496
push,5,1,453.5306457519531,2.0230491956075034,29.342401305449503
push,5,2,451.6337036132812,2.0143059810002644,28.444395803320777
push,5,3,449.73033854166664,2.005207149187724,30.02390403771459
push,5,4,451.91983184814455,2.0153934876124064,30.72010010025377
push,5,5,459.5697514851888,2.048574682076772,32.1759610475704
push,5,6,452.8417734781901,2.019408949216207,30.273894852203515
push,5,7,478.39338938395184,2.1322266101837157,26.51203870304747
push,6,0,613.0913782755534,2.7234535296758016,36.29227363293651
push,6,1,575.9255335489909,2.557491437594096,34.95992379966398
push,6,2,611.1415995279948,2.7130186319351197,34.80390148378357
push,6,3,611.1629130045573,2.7148592948913572,36.86109198628264
push,6,4,602.5106216430664,2.675286563237508,40.50651074263727
push,6,5,599.8863805135092,2.6620800733566283,41.80081961654374
push,6,6,618.5722076416016,2.7465316534042357,38.75308744470371
push,6,7,680.3148122151692,3.016813286145528,35.26893866211328
push,7,0,559.6001958211262,2.486324755350749,36.37848597744161
push,7,1,532.3932266235352,2.364686147371928,35.32574086674405
push,7,2,579.2889216105143,2.5722989519437154,35.77899756685935
push,7,3,579.5201532999674,2.574318512280782,38.97724016817393
push,7,4,572.9314168294271,2.544583173592885,40.7024928289518
push,7,5,571.0227462768555,2.535271151860555,43.47094245987696
push,7,6,573.5324132283529,2.547201708952586,38.79031784558519
push,7,7,643.3510487874349,2.8529620885849,35.13867915000957
push,8,0,686.6159413655599,3.0461284081141153,41.4366790155793
push,8,1,610.382937113444,2.7097731590270997,39.03117534990568
push,8,2,683.0085484822591,3.0347013155619305,40.30391089718733
push,8,3,763.0523712158204,3.385220249493917,47.21123491741126
push,8,4,715.2299321492513,3.173034087816874,48.07971052762362
push,8,5,708.5348587036133,3.1445983330408733,51.152425939418755
push,8,6,705.5445887247721,3.1321078379948935,45.12472505264429
push,8,7,864.4751505533854,3.832349960009257,42.760397165513815
push,9,0,790.1364191691081,3.5063287178675333,43.24762423558058
push,9,1,716.8873275756836,3.183919580777486,42.894292690536425
