src_task,tgt_task,layer,target,fold,transfer_r2,within_tgt_r2,gap
push,strike,0,ee_velocity,0,-0.43975958228111267,-0.7143778800964355,-0.2746182978153229
push,strike,0,ee_velocity,1,-0.43975958228111267,-0.6270347237586975,-0.18727514147758484
push,strike,0,ee_velocity,2,-0.43975958228111267,-0.027758460491895676,0.412001121789217
push,strike,0,ee_velocity,3,-0.43975958228111267,-1.2961722612380981,-0.8564126789569855
push,strike,0,ee_velocity,4,-0.43975958228111267,-0.23575076460838318,0.2040088176727295
push,strike,1,ee_velocity,0,0.25632423162460327,0.17105169594287872,-0.08527253568172455
push,strike,1,ee_velocity,1,0.25632423162460327,0.385470449924469,0.12914621829986572
push,strike,1,ee_velocity,2,0.25632423162460327,0.4969010055065155,0.24057677388191223
push,strike,1,ee_velocity,3,0.25632423162460327,0.1949753314256668,-0.06134890019893646
push,strike,1,ee_velocity,4,0.25632423162460327,0.4979684352874756,0.24164420366287231
push,strike,2,ee_velocity,0,0.20526929199695587,0.4612506628036499,0.25598137080669403
push,strike,2,ee_velocity,1,0.20526929199695587,0.6016365885734558,0.39636729657649994
push,strike,2,ee_velocity,2,0.20526929199695587,0.5381906032562256,0.3329213112592697
push,strike,2,ee_velocity,3,0.20526929199695587,0.4056432545185089,0.20037396252155304
push,strike,2,ee_velocity,4,0.20526929199695587,0.4995943307876587,0.2943250387907028
push,strike,3,ee_velocity,0,0.14571449160575867,0.40322479605674744,0.25751030445098877
push,strike,3,ee_velocity,1,0.14571449160575867,0.5402673482894897,0.3945528566837311
push,strike,3,ee_velocity,2,0.14571449160575867,0.5214532613754272,0.3757387697696686
push,strike,3,ee_velocity,3,0.14571449160575867,0.4234532415866852,0.2777387499809265
push,strike,3,ee_velocity,4,0.14571449160575867,0.5828600525856018,0.43714556097984314
push,strike,4,ee_velocity,0,0.4729417860507965,0.45898011326789856,-0.01396167278289795
push,strike,4,ee_velocity,1,0.4729417860507965,0.5844873189926147,0.11154553294181824
push,strike,4,ee_velocity,2,0.4729417860507965,0.5156331062316895,0.042691320180892944
push,strike,4,ee_velocity,3,0.4729417860507965,0.40863698720932007,-0.06430479884147644
push,strike,4,ee_velocity,4,0.4729417860507965,0.6209530234336853,0.1480112373828888
push,strike,5,ee_velocity,0,0.44197943806648254,0.5605958104133606,0.11861637234687805
push,strike,5,ee_velocity,1,0.44197943806648254,0.7669258117675781,0.3249463737010956
push,strike,5,ee_velocity,2,0.44197943806648254,0.6919642686843872,0.24998483061790466
push,strike,5,ee_velocity,3,0.44197943806648254,0.5640860795974731,0.1221066415309906
push,strike,5,ee_velocity,4,0.44197943806648254,0.6812383532524109,0.23925891518592834
push,strike,6,ee_velocity,0,0.5500722527503967,0.6470780968666077,0.09700584411621094
push,strike,6,ee_velocity,1,0.5500722527503967,0.7883985638618469,0.2383263111114502
