[08_partial_rsa] push loading ...
[08_partial_rsa] push L00 acc=0.289 ct=-0.026
[08_partial_rsa] push L01 acc=0.278 ct=-0.030
[08_partial_rsa] push L02 acc=0.296 ct=-0.042
[08_partial_rsa] push L03 acc=0.293 ct=-0.018
[08_partial_rsa] push L04 acc=0.298 ct=0.146
[08_partial_rsa] push L05 acc=0.314 ct=0.125
[08_partial_rsa] push L06 acc=0.346 ct=0.114
[08_partial_rsa] push L07 acc=0.348 ct=0.088
[08_partial_rsa] push L08 acc=0.312 ct=0.168
[08_partial_rsa] push L09 acc=0.355 ct=0.191
[08_partial_rsa] push L10 acc=0.345 ct=0.159
[08_partial_rsa] push L11 acc=0.281 ct=0.206
[08_partial_rsa] push L12 acc=0.312 ct=0.212
[08_partial_rsa] push L13 acc=0.308 ct=0.174
[08_partial_rsa] push L14 acc=0.314 ct=0.124
[08_partial_rsa] push L15 acc=0.323 ct=0.103
[08_partial_rsa] push L16 acc=0.325 ct=0.096
[08_partial_rsa] push L17 acc=0.334 ct=0.078
[08_partial_rsa] push L18 acc=0.338 ct=0.084
[08_partial_rsa] push L19 acc=0.349 ct=0.078
[08_partial_rsa] push L20 acc=0.350 ct=0.067
[08_partial_rsa] push L21 acc=0.355 ct=0.071
[08_partial_rsa] push L22 acc=0.366 ct=0.082
[08_partial_rsa] push L23 acc=0.366 ct=0.073
[08_partial_rsa] strike loading ...
[08_partial_rsa] strike L00 acc=0.371 ct=-0.094
[08_partial_rsa] strike L01 acc=0.366 ct=-0.073
[08_partial_rsa] strike L02 acc=0.396 ct=0.032
[08_partial_rsa] strike L03 acc=0.381 ct=0.018
[08_partial_rsa] strike L04 acc=0.344 ct=0.091
[08_partial_rsa] strike L05 acc=0.361 ct=0.108
[08_partial_rsa] strike L06 acc=0.364 ct=0.112
[08_partial_rsa] strike L07 acc=0.373 ct=0.059
[08_partial_rsa] strike L08 acc=0.323 ct=0.090
[08_partial_rsa] strike L09 acc=0.334 ct=0.040
