task,layer,variable,var_type,output_dim,r2_mean,r2_std,n_samples
strike,0,object_0_mass,static,1,0.008929,0.009393,135612
strike,0,object_0_static_friction,static,1,0.197465,0.009538,135612
strike,0,object_0_dynamic_friction,static,1,0.144525,0.023965,135612
strike,0,object_0_restitution,static,1,-0.000772,0.007459,135612
strike,0,surface_static_friction,static,1,-0.007375,0.00563,135612
strike,0,surface_dynamic_friction,static,1,-0.004117,0.005222,135612
strike,0,ee_velocity,dynamic,3,0.751996,0.00342,135612
strike,0,object_velocity,dynamic,3,0.336952,0.010595,135612
strike,0,object_acceleration,dynamic,3,0.188458,0.006299,135612
strike,0,ee_to_object_distance,dynamic,1,0.303932,0.016039,135612
strike,0,contact_flag,dynamic,1,0.0,0.0,135612
strike,0,contact_force,dynamic,3,0.0,0.0,135612
strike,0,phase,dynamic,1,0.0,0.0,135612
strike,0,ball_planar_travel_distance,dynamic,1,0.814671,0.006931,135612
strike,1,object_0_mass,static,1,0.007559,0.009513,135612
strike,1,object_0_static_friction,static,1,0.193986,0.01014,135612
strike,1,object_0_dynamic_friction,static,1,0.143698,0.024195,135612
strike,1,object_0_restitution,static,1,0.001028,0.010345,135612
strike,1,surface_static_friction,static,1,-0.00675,0.005799,135612
strike,1,surface_dynamic_friction,static,1,-0.002796,0.005743,135612
strike,1,ee_velocity,dynamic,3,0.76596,0.004202,135612
strike,1,object_velocity,dynamic,3,0.337772,0.010744,135612
strike,1,object_acceleration,dynamic,3,0.189395,0.005597,135612
strike,1,ee_to_object_distance,dynamic,1,0.318317,0.016168,135612
strike,1,contact_flag,dynamic,1,0.0,0.0,135612
strike,1,contact_force,dynamic,3,0.0,0.0,135612
strike,1,phase,dynamic,1,0.0,0.0,135612
strike,1,ball_planar_travel_distance,dynamic,1,0.822762,0.00732,135612
strike,2,object_0_mass,static,1,0.006832,0.008456,135612
strike,2,object_0_static_friction,static,1,0.190142,0.009256,135612
strike,2,object_0_dynamic_friction,static,1,0.141238,0.025351,135612
strike,2,object_0_restitution,static,1,-0.000772,0.007568,135612
strike,2,surface_static_friction,static,1,-0.004195,0.006045,135612
strike,2,surface_dynamic_friction,static,1,-0.002314,0.005279,135612
strike,2,ee_velocity,dynamic,3,0.837766,0.003676,135612
strike,2,object_velocity,dynamic,3,0.382795,0.012208,135612
strike,2,object_acceleration,dynamic,3,0.225583,0.005638,135612
strike,2,ee_to_object_distance,dynamic,1,0.31849,0.013954,135612
strike,2,contact_flag,dynamic,1,0.0,0.0,135612
strike,2,contact_force,dynamic,3,0.0,0.0,135612
strike,2,phase,dynamic,1,0.0,0.0,135612
strike,2,ball_planar_travel_distance,dynamic,1,0.824193,0.005908,135612
strike,3,object_0_mass,static,1,0.008887,0.006587,135612
strike,3,object_0_static_friction,static,1,0.182877,0.006281,135612
strike,3,object_0_dynamic_friction,static,1,0.139236,0.023943,135612
strike,3,object_0_restitution,static,1,0.000112,0.005314,135612
strike,3,surface_static_friction,static,1,-0.001936,0.003728,135612
strike,3,surface_dynamic_friction,static,1,-0.000261,0.003611,135612
strike,3,ee_velocity,dynamic,3,0.861442,0.002553,135612
strike,3,object_velocity,dynamic,3,0.397992,0.013082,135612
strike,3,object_acceleration,dynamic,3,0.249456,0.009018,135612
strike,3,ee_to_object_distance,dynamic,1,0.155178,0.003924,135612
strike,3,contact_flag,dynamic,1,0.0,0.0,135612
strike,3,contact_force,dynamic,3,0.0,0.0,135612
strike,3,phase,dynamic,1,0.0,0.0,135612
strike,3,ball_planar_travel_distance,dynamic,1,0.825169,0.006265,135612
strike,4,object_0_mass,static,1,0.008718,0.0067,135612
strike,4,object_0_static_friction,static,1,0.177635,0.007992,135612
strike,4,object_0_dynamic_friction,static,1,0.13832,0.02358,135612
strike,4,object_0_restitution,static,1,0.000328,0.00439,135612
strike,4,surface_static_friction,static,1,-0.003292,0.003326,135612
strike,4,surface_dynamic_friction,static,1,-0.000808,0.002693,135612
strike,4,ee_velocity,dynamic,3,0.897967,0.001867,135612
strike,4,object_velocity,dynamic,3,0.432669,0.011983,135612
strike,4,object_acceleration,dynamic,3,0.272679,0.009574,135612
strike,4,ee_to_object_distance,dynamic,1,0.143483,0.004641,135612
strike,4,contact_flag,dynamic,1,0.0,0.0,135612
strike,4,contact_force,dynamic,3,0.0,0.0,135612
strike,4,phase,dynamic,1,0.0,0.0,135612
strike,4,ball_planar_travel_distance,dynamic,1,0.838473,0.006427,135612
strike,5,object_0_mass,static,1,0.008257,0.00537,135612
strike,5,object_0_static_friction,static,1,0.174682,0.005726,135612
strike,5,object_0_dynamic_friction,static,1,0.13312,0.022743,135612
strike,5,object_0_restitution,static,1,-0.001079,0.004869,135612
strike,5,surface_static_friction,static,1,-0.003394,0.002479,135612
strike,5,surface_dynamic_friction,static,1,-0.001668,0.002464,135612
strike,5,ee_velocity,dynamic,3,0.902784,0.002208,135612
strike,5,object_velocity,dynamic,3,0.449286,0.011317,135612
strike,5,object_acceleration,dynamic,3,0.283359,0.009655,135612
strike,5,ee_to_object_distance,dynamic,1,0.137562,0.007066,135612
strike,5,contact_flag,dynamic,1,0.0,0.0,135612
strike,5,contact_force,dynamic,3,0.0,0.0,135612
strike,5,phase,dynamic,1,0.0,0.0,135612
strike,5,ball_planar_travel_distance,dynamic,1,0.84262,0.005864,135612
strike,6,object_0_mass,static,1,0.007678,0.004357,135612
strike,6,object_0_static_friction,static,1,0.17395,0.007312,135612
strike,6,object_0_dynamic_friction,static,1,0.131894,0.024863,135612
