task,layer,param,fold,r2,n_train_eps,n_test_eps
drawer,17,drawer_joint_damping,2,-1.8191790580749512,160,40
drawer,17,drawer_joint_damping,3,-0.8454617261886597,160,40
drawer,17,drawer_joint_damping,4,-0.6779547929763794,160,40
drawer,18,drawer_joint_damping,0,-0.3593858480453491,160,40
drawer,18,drawer_joint_damping,1,-0.6417005062103271,160,40
drawer,18,drawer_joint_damping,2,-1.5534539222717285,160,40
drawer,18,drawer_joint_damping,3,-0.9890633821487427,160,40
drawer,18,drawer_joint_damping,4,-0.2939492464065552,160,40
drawer,19,drawer_joint_damping,0,-0.7971363067626953,160,40
drawer,19,drawer_joint_damping,1,-1.0077242851257324,160,40
drawer,19,drawer_joint_damping,2,-1.9119470119476318,160,40
drawer,19,drawer_joint_damping,3,-1.0090227127075195,160,40
drawer,19,drawer_joint_damping,4,-1.0499756336212158,160,40
drawer,20,drawer_joint_damping,0,-0.7517353296279907,160,40
drawer,20,drawer_joint_damping,1,-1.053968906402588,160,40
drawer,20,drawer_joint_damping,2,-1.5227916240692139,160,40
drawer,20,drawer_joint_damping,3,-1.532991647720337,160,40
drawer,20,drawer_joint_damping,4,-1.0323894023895264,160,40
drawer,21,drawer_joint_damping,0,-0.9998795986175537,160,40
drawer,21,drawer_joint_damping,1,-0.4523022174835205,160,40
drawer,21,drawer_joint_damping,2,-2.0842325687408447,160,40
drawer,21,drawer_joint_damping,3,-1.4889366626739502,160,40
drawer,21,drawer_joint_damping,4,-1.2545287609100342,160,40
drawer,22,drawer_joint_damping,0,-0.6250503063201904,160,40
drawer,22,drawer_joint_damping,1,-0.4501776695251465,160,40
drawer,22,drawer_joint_damping,2,-1.0932683944702148,160,40
drawer,22,drawer_joint_damping,3,-1.1628191471099854,160,40
drawer,22,drawer_joint_damping,4,-1.2174901962280273,160,40
drawer,23,drawer_joint_damping,0,-0.3918631076812744,160,40
drawer,23,drawer_joint_damping,1,-0.8415896892547607,160,40
drawer,23,drawer_joint_damping,2,-1.5726206302642822,160,40
drawer,23,drawer_joint_damping,3,-0.9774774312973022,160,40
drawer,23,drawer_joint_damping,4,-1.4858880043029785,160,40
