family,target,task,variant,model_label,peak_r2,peak_layer
magnitude_ee_acceleration,ee_acceleration__peak_to_peak,peg_insert,variant_B,V-JEPA B,,-1
magnitude_ee_acceleration,ee_acceleration__peak_to_peak,peg_insert,variant_A_videomae_large,VideoMAE A,,-1
magnitude_ee_acceleration,ee_acceleration__peak_to_peak,peg_insert,variant_B_videomae_large,VideoMAE B,,-1
magnitude_ee_acceleration,ee_acceleration__peak_to_peak,peg_insert,variant_A_dinov2_large,DINOv2 A,0.6521058201789856,13
magnitude_ee_acceleration,ee_acceleration__peak_to_peak,nut_thread,variant_A,V-JEPA A,0.7836325168609619,17
magnitude_ee_acceleration,ee_acceleration__peak_to_peak,nut_thread,variant_B,V-JEPA B,,-1
magnitude_ee_acceleration,ee_acceleration__peak_to_peak,nut_thread,variant_A_videomae_large,VideoMAE A,,-1
magnitude_ee_acceleration,ee_acceleration__peak_to_peak,nut_thread,variant_B_videomae_large,VideoMAE B,,-1
magnitude_ee_acceleration,ee_acceleration__peak_to_peak,nut_thread,variant_A_dinov2_large,DINOv2 A,0.4153872489929199,8
magnitude_obj_velocity,obj_velocity__mean,push,variant_A,V-JEPA A,0.9330575823783874,21
magnitude_obj_velocity,obj_velocity__mean,push,variant_B,V-JEPA B,0.9239015698432922,19
magnitude_obj_velocity,obj_velocity__mean,push,variant_A_videomae_large,VideoMAE A,0.9038393497467041,19
magnitude_obj_velocity,obj_velocity__mean,push,variant_B_videomae_large,VideoMAE B,0.9015862941741943,22
magnitude_obj_velocity,obj_velocity__mean,push,variant_A_dinov2_large,DINOv2 A,0.7626172304153442,17
magnitude_obj_velocity,obj_velocity__mean,strike,variant_A,V-JEPA A,0.9269931077957153,21
magnitude_obj_velocity,obj_velocity__mean,strike,variant_B,V-JEPA B,0.825631320476532,4
magnitude_obj_velocity,obj_velocity__mean,strike,variant_A_videomae_large,VideoMAE A,,-1
magnitude_obj_velocity,obj_velocity__mean,strike,variant_B_videomae_large,VideoMAE B,,-1
