task,layer,variable,var_type,output_dim,r2_mean,r2_std,n_samples
drawer,0,contact_flag,dynamic,1,0.0,0.0,140000
drawer,0,contact_force,dynamic,3,0.0,0.0,140000
drawer,0,drawer_handle_mass,static,1,0.0,0.0,140000
drawer,0,drawer_joint_damping,static,1,-0.005074,0.006604,140000
drawer,0,drawer_joint_pos,dynamic,1,0.990175,0.000308,140000
drawer,0,drawer_joint_vel,dynamic,1,0.954781,0.000893,140000
drawer,0,drawer_opening_extent,dynamic,1,0.990262,0.000311,140000
drawer,0,ee_velocity,dynamic,3,0.849591,0.00393,140000
drawer,0,handle_dynamic_friction,static,1,0.0,0.0,140000
drawer,0,handle_static_friction,static,1,0.0,0.0,140000
drawer,0,handle_velocity,dynamic,3,0.0,0.0,140000
drawer,1,contact_flag,dynamic,1,0.0,0.0,140000
drawer,1,contact_force,dynamic,3,0.0,0.0,140000
drawer,1,drawer_handle_mass,static,1,0.0,0.0,140000
drawer,1,drawer_joint_damping,static,1,-0.005714,0.004552,140000
drawer,1,drawer_joint_pos,dynamic,1,0.989619,0.00032,140000
drawer,1,drawer_joint_vel,dynamic,1,0.955146,0.001463,140000
drawer,1,drawer_opening_extent,dynamic,1,0.989623,0.00032,140000
drawer,1,ee_velocity,dynamic,3,0.847643,0.004692,140000
drawer,1,handle_dynamic_friction,static,1,0.0,0.0,140000
drawer,1,handle_static_friction,static,1,0.0,0.0,140000
drawer,1,handle_velocity,dynamic,3,0.0,0.0,140000
drawer,2,contact_flag,dynamic,1,0.0,0.0,140000
drawer,2,contact_force,dynamic,3,0.0,0.0,140000
drawer,2,drawer_handle_mass,static,1,0.0,0.0,140000
drawer,2,drawer_joint_damping,static,1,-0.005675,0.005899,140000
drawer,2,drawer_joint_pos,dynamic,1,0.990309,0.000265,140000
drawer,2,drawer_joint_vel,dynamic,1,0.967063,0.001108,140000
drawer,2,drawer_opening_extent,dynamic,1,0.990294,0.000262,140000
drawer,2,ee_velocity,dynamic,3,0.880706,0.003563,140000
drawer,2,handle_dynamic_friction,static,1,0.0,0.0,140000
drawer,2,handle_static_friction,static,1,0.0,0.0,140000
drawer,2,handle_velocity,dynamic,3,0.0,0.0,140000
drawer,3,contact_flag,dynamic,1,0.0,0.0,140000
drawer,3,contact_force,dynamic,3,0.0,0.0,140000
drawer,3,drawer_handle_mass,static,1,0.0,0.0,140000
drawer,3,drawer_joint_damping,static,1,-0.007333,0.007286,140000
drawer,3,drawer_joint_pos,dynamic,1,0.993089,0.000223,140000
drawer,3,drawer_joint_vel,dynamic,1,0.977949,0.000613,140000
drawer,3,drawer_opening_extent,dynamic,1,0.992913,0.000202,140000
drawer,3,ee_velocity,dynamic,3,0.897576,0.003275,140000
drawer,3,handle_dynamic_friction,static,1,0.0,0.0,140000
drawer,3,handle_static_friction,static,1,0.0,0.0,140000
drawer,3,handle_velocity,dynamic,3,0.0,0.0,140000
drawer,4,contact_flag,dynamic,1,0.0,0.0,140000
drawer,4,contact_force,dynamic,3,0.0,0.0,140000
drawer,4,drawer_handle_mass,static,1,0.0,0.0,140000
drawer,4,drawer_joint_damping,static,1,-0.008057,0.007809,140000
drawer,4,drawer_joint_pos,dynamic,1,0.993027,0.000282,140000
drawer,4,drawer_joint_vel,dynamic,1,0.982707,0.000449,140000
drawer,4,drawer_opening_extent,dynamic,1,0.993099,0.000264,140000
drawer,4,ee_velocity,dynamic,3,0.912993,0.003354,140000
drawer,4,handle_dynamic_friction,static,1,0.0,0.0,140000
drawer,4,handle_static_friction,static,1,0.0,0.0,140000
