stage,fold,best_lr,best_wd,r2,mse,n_test_windows
stage_0,0,0.0010000000474974513,0.009999999776482582,0.22888821363449097,2.984832763671875,112000
stage_0,1,0.004999999888241291,0.009999999776482582,0.23136627674102783,2.9957077503204346,112000
stage_0,2,9.999999747378752e-05,0.009999999776482582,0.2137548327445984,2.8497836589813232,112000
stage_0,3,0.0010000000474974513,0.009999999776482582,0.23627197742462158,2.8919622898101807,111720
stage_0,4,0.0010000000474974513,0.009999999776482582,0.22958451509475708,2.9437947273254395,111720
stage_1,0,0.0003000000142492354,0.009999999776482582,0.3706815838813782,2.3856329917907715,112000
stage_1,1,0.0010000000474974513,0.009999999776482582,0.3573426604270935,2.452507257461548,112000
stage_1,2,0.0010000000474974513,0.009999999776482582,0.36208873987197876,2.464698314666748,112000
stage_1,3,9.999999747378752e-05,0.009999999776482582,0.3688952922821045,2.459696054458618,112000
stage_1,4,0.003000000026077032,0.009999999776482582,0.35604727268218994,2.334038019180298,112000
stage_2,0,0.003000000026077032,0.009999999776482582,0.38836050033569336,2.318615436553955,112000
stage_2,1,9.999999747378752e-05,0.009999999776482582,0.36361390352249146,2.428574800491333,112000
stage_2,2,0.004999999888241291,0.009999999776482582,0.3856079578399658,2.3738269805908203,112000
stage_2,3,9.999999747378752e-05,0.009999999776482582,0.39187467098236084,2.3701353073120117,112000
stage_2,4,9.999999747378752e-05,0.009999999776482582,0.338935911655426,2.3960587978363037,112000
stage_3,0,0.0003000000142492354,0.009999999776482582,0.42748093605041504,2.1703169345855713,112000
stage_3,1,0.0010000000474974513,0.10000000149011612,0.4158598780632019,2.229193925857544,112000
stage_3,2,9.999999747378752e-05,0.10000000149011612,0.40926212072372437,2.2824344635009766,112000
stage_3,3,0.004999999888241291,0.009999999776482582,0.43070805072784424,2.2187840938568115,112000
stage_3,4,0.0010000000474974513,0.10000000149011612,0.38371479511260986,2.2337558269500732,112000
stage_4,0,0.004999999888241291,0.10000000149011612,0.4310837388038635,2.1566593647003174,112000
stage_4,1,0.0003000000142492354,0.10000000149011612,0.4191277027130127,2.2167234420776367,112000
stage_4,2,0.0010000000474974513,0.10000000149011612,0.4245585799217224,2.2233335971832275,112000
stage_4,3,0.0010000000474974513,0.10000000149011612,0.4228379726409912,2.249457359313965,112000
stage_4,4,0.003000000026077032,0.10000000149011612,0.4265267848968506,2.0785815715789795,112000
