representation,model,layer,probe_seed,lr,wd,train_r2,val_r2,iid_r2,ood_r2,ood_gap
vjepa_fusion,large,11+23,42,0.0003,0.0001,0.9838195623137768,0.9220677017418881,0.9193878271876603,0.8916665244397228,0.027721302747937493
vjepa_fusion,large,11+23,123,0.0003,0.0001,0.9825784072474504,0.9215398137505901,0.9158601773733586,0.8920695531027206,0.02379062427063794
vjepa_fusion,large,11+23,2024,0.0003,0.0001,0.9844141001037702,0.9218749486595574,0.9168114898705425,0.8932682682276858,0.023543221642856715
