task,model,target,layer,r2_mean,r2_std,best_lr,best_wd,output_dim,n_samples
push,large,mass,0,-0.1451054545245472,0.08706111368968943,0.0001,0.8,1,1500
push,large,mass,1,-0.050429250083600996,0.045391725204262955,0.0001,0.8,1,1500
push,large,mass,2,-0.023742075217264146,0.06100755618146898,0.0001,0.8,1,1500
push,large,mass,3,-0.010302776327250518,0.05265524021554626,0.0001,0.8,1,1500
push,large,mass,4,-0.025901651162757288,0.048983758612179046,0.0001,0.8,1,1500
push,large,mass,5,-0.0018257859924764475,0.04739888812774885,0.0001,0.8,1,1500
push,large,mass,6,0.0075679612961247365,0.06073236671070103,0.0001,0.8,1,1500
push,large,mass,7,0.018324461108555144,0.05001667988373671,0.0001,0.8,1,1500
push,large,mass,8,0.02386733119721225,0.05611609043179854,0.0001,0.8,1,1500
push,large,mass,9,0.04266686692963591,0.037826330776574,0.0001,0.8,1,1500
push,large,mass,10,0.041133338150622346,0.03160133027771694,0.0001,0.8,1,1500
push,large,mass,11,0.05084682926196016,0.05152695661796598,0.0001,0.8,1,1500
push,large,mass,12,0.08778874254588662,0.04651656510308792,0.0001,0.8,1,1500
push,large,mass,13,0.07198951415096629,0.043853553547214576,0.0001,0.8,1,1500
push,large,mass,14,0.09907698470989686,0.0557324208851532,0.0001,0.8,1,1500
push,large,mass,15,0.09296639663993671,0.03880263200407833,0.0001,0.8,1,1500
push,large,mass,16,0.07287160746160741,0.03690609499293453,0.0001,0.8,1,1500
push,large,mass,17,0.06891667201431725,0.060527749751408476,0.0001,0.8,1,1500
push,large,mass,18,0.06571373206770945,0.07152358187391405,0.0001,0.8,1,1500
push,large,mass,19,0.06227874095550205,0.03786147513285971,0.0001,0.8,1,1500
push,large,mass,20,0.04561510611642834,0.05099561312471374,0.0001,0.8,1,1500
push,large,mass,21,0.05738988994108789,0.04806560295799952,0.0001,0.8,1,1500
push,large,mass,22,0.053239956515267826,0.04259384426840021,0.0001,0.8,1,1500
push,large,mass,23,0.07283231288221081,0.03601967389059406,0.0001,0.8,1,1500
