target,shuffle_seed,probe_seed,orig_L0,shuf_L0,delta_L0,orig_peak,shuf_peak,delta_peak,orig_peak_layer,shuf_peak_layer,delta_peak_layer,orig_last,shuf_last,delta_last,orig_train_L0,shuf_train_L0,orig_train_peak,shuf_train_peak,orig_Lpez,shuf_Lpez,delta_Lpez,Lpez_layer
ee_direction_3d,42,42,0.6522307024235736,0.5815591412691224,0.07067156115445117,0.8171994884262801,0.7310410419258494,0.0861584465004307,11,23,12,0.812807121301565,0.7310410419258494,0.08176607937571556,0.99986340214068,0.9998551115376504,0.9998820474700147,0.9998567136748292,0.8171994884262801,0.7307642812171224,0.08643520720915765,11.0
ee_direction_3d,42,123,0.6533696972822755,0.5920548440173575,0.06131485326491792,0.816457730719339,0.729610593842775,0.08684713687656398,13,22,9,0.8104543086760716,0.7263203506275395,0.08413395804853208,0.999879575924153,0.9997709857849256,0.999900100530284,0.999851426613778,0.8122006912147952,0.7264157272646496,0.08578496395014557,11.0
ee_direction_3d,42,2024,0.637707290104846,0.593260243722348,0.04444704638249797,0.8158027340408929,0.7304001002032019,0.08540263383769098,11,23,12,0.8088006810839492,0.7304001002032019,0.0784005808807473,0.999879451398998,0.9998557552807552,0.9999044000181084,0.99987107353535,0.8158027340408929,0.720151294936257,0.09565143910463592,11.0
ee_direction_3d,123,42,0.6522307024235736,0.58418851184651,0.06804219057706362,0.8171994884262801,0.7389304794930772,0.07826900893320288,11,22,11,0.812807121301565,0.7368897436393289,0.07591737766223605,0.99986340214068,0.9998557668398348,0.9998820474700147,0.9998812757471488,0.8171994884262801,0.733187602139251,0.08401188628702905,11.0
ee_direction_3d,123,123,0.6533696972822755,0.6034490113342693,0.04992068594800614,0.816457730719339,0.7369030065415731,0.07955472417776588,13,22,9,0.8104543086760716,0.7303675901461648,0.08008671852990679,0.999879575924153,0.9994311969373264,0.999900100530284,0.99986741418789,0.8122006912147952,0.72733760500416,0.08486308621063521,11.0
ee_direction_3d,123,2024,0.637707290104846,0.5973841826773845,0.04032310742746148,0.8158027340408929,0.7394193281430329,0.07638340589785997,11,22,11,0.8088006810839492,0.7359126819417161,0.0728879991422331,0.999879451398998,0.999857998792627,0.9999044000181084,0.9998669241571282,0.8158027340408929,0.7268697027201461,0.08893303132074681,11.0
ee_speed,42,42,0.6710519008023265,0.787864161371189,-0.11681226056886251,0.9311851956745072,0.9165367077705188,0.014648487903988427,13,8,-5,0.9201351375788112,0.904204519709092,0.015930617869719166,0.994211795170667,0.9999813321376756,0.9999956931060656,0.9999945634579304,,,,
ee_speed,42,123,0.7374915531499787,0.8129700091781868,-0.07547845602820813,0.93867456787945,0.9161257594370495,0.02254880844240048,9,9,0,0.9162447384638532,0.9105591046371122,0.005685633826741032,0.9843196412825432,0.9924700325703976,0.9999964805748238,0.9999960236599909,,,,
ee_speed,42,2024,0.7127882439917661,0.778714178164461,-0.06592593417269488,0.9320294794673798,0.9091043259564154,0.022925153510964358,11,10,-1,0.914730478707462,0.902791172447895,0.011939306259567073,0.9936745705077312,0.9963644173717427,0.999994832488672,0.9999918919937596,,,,
ee_speed,123,42,0.6710519008023265,0.8000687388802756,-0.12901683807794917,0.9311851956745072,0.9134212947314244,0.017763900943082778,13,11,-2,0.9201351375788112,0.9022398419974678,0.017895295581343396,0.994211795170667,0.9999819608920244,0.9999956931060656,0.9999942957198484,,,,
ee_speed,123,123,0.7374915531499787,0.8112434297264312,-0.07375187657645244,0.93867456787945,0.912952107364602,0.025722460514848056,9,9,0,0.9162447384638532,0.9126192087532876,0.0036255297105656226,0.9843196412825432,0.9930935136577804,0.9999964805748238,0.9999958580107796,,,,
ee_speed,123,2024,0.7127882439917661,0.7959869031657766,-0.08319865917401048,0.9320294794673798,0.9126236919694288,0.019405787497950966,11,10,-1,0.914730478707462,0.8992654032755689,0.015465075431893127,0.9936745705077312,0.9950740290556124,0.999994832488672,0.9999916596515412,,,,
