task,target,model,probe_seed,layer,auc_mean,auc_std,train_auc_mean,train_auc_std,bacc_mean,bacc_std,best_lr_mode,best_wd_mode,fold_val_aucs,fold_train_aucs
strike,contact_happening,large,42,0,0.8662804076265616,0.050842069063120006,0.9937716262975778,0.012265417535772653,0.7948717948717949,0.09559667631952433,0.003,0.8,"[0.863905325443787, 0.9112426035502958, 0.7869822485207101, 0.9289940828402367, 0.8402777777777778]","[0.9996155324875048, 1.0, 0.9692425990003845, 1.0, 1.0]"
strike,contact_happening,large,42,1,0.9047666009204469,0.03949805030937519,0.9992310649750096,0.0009726344206592061,0.8032051282051282,0.07009198427095716,0.005,0.01,"[0.863905325443787, 0.9585798816568047, 0.9408284023668638, 0.8994082840236687, 0.8611111111111112]","[0.9984621299500193, 1.0, 0.997693194925029, 1.0, 1.0]"
strike,contact_happening,large,42,2,0.9482412886259042,0.03253542867655316,0.9997693194925029,0.00046136101499421044,0.8589743589743589,0.072069073449001,0.0003,0.01,"[0.8994082840236687, 0.9940828402366865, 0.9467455621301775, 0.970414201183432, 0.9305555555555556]","[0.9988465974625145, 1.0, 1.0, 1.0, 1.0]"
strike,contact_happening,large,42,3,0.9557527942143326,0.02025111636446173,0.9996924259900037,0.0006151480199922954,0.8756410256410257,0.06532173950183073,0.0003,0.01,"[0.9289940828402367, 0.9822485207100591, 0.9763313609467456, 0.9467455621301776, 0.9444444444444444]","[1.0, 1.0, 0.9984621299500193, 1.0, 1.0]"
strike,contact_happening,large,42,4,0.9446909927679158,0.024523538203392318,0.9902345251826221,0.01612858399011394,0.8833333333333334,0.041025641025641026,0.0003,0.1,"[0.9053254437869822, 0.9763313609467456, 0.9585798816568047, 0.9526627218934912, 0.9305555555555556]","[1.0, 1.0, 0.9584775086505191, 0.9926951172625913, 1.0]"
strike,contact_happening,large,42,5,0.956525312294543,0.038966007267104114,0.9988465974625145,0.002306805074971141,0.8910256410256411,0.04403990778799403,0.005,0.1,"[0.893491124260355, 1.0, 0.9763313609467454, 0.9822485207100592, 0.9305555555555556]","[1.0, 0.9942329873125721, 1.0, 1.0, 1.0]"
strike,contact_happening,large,42,6,0.9679980276134122,0.023570019723865864,1.0,0.0,0.8980769230769232,0.06308161333406434,0.005,0.01,"[0.9289940828402368, 1.0, 0.9763313609467456, 0.9763313609467457, 0.9583333333333333]","[1.0, 1.0, 1.0, 1.0, 1.0]"
strike,contact_happening,large,42,7,0.9790598290598291,0.01307655781504636,1.0,0.0,0.9141025641025641,0.0285526377581027,0.003,0.01,"[0.9644970414201184, 1.0, 0.9881656804733728, 0.9704142011834319, 0.9722222222222222]","[1.0, 1.0, 1.0, 1.0, 1.0]"
strike,contact_happening,large,42,8,0.9842044707429322,0.01149811911207906,0.9962959171370137,0.007030008944155228,0.9147435897435898,0.027764625420138092,0.0001,0.01,"[0.9822485207100591, 1.0, 0.9881656804733727, 0.9644970414201184, 0.986111111111111]","[1.0, 1.0, 0.9992310649750096, 1.0, 0.9822485207100592]"
strike,contact_happening,large,42,9,0.991715976331361,0.007100591715976327,0.99948224852071,0.0010355029585798815,0.9455128205128205,0.018356180850354273,0.003,0.4,"[0.9881656804733727, 1.0, 0.9881656804733728, 0.9822485207100592, 1.0]","[1.0, 1.0, 1.0, 1.0, 0.9974112426035503]"
strike,contact_happening,large,42,10,0.9893491124260354,0.009467455621301806,0.9988165680473372,0.002366863905325456,0.9455128205128205,0.018356180850354273,0.001,0.01,"[0.9881656804733727, 1.0, 0.9822485207100592, 0.9763313609467454, 1.0]","[1.0, 1.0, 1.0, 1.0, 0.9940828402366864]"
strike,contact_happening,large,42,11,0.991715976331361,0.007100591715976316,1.0,0.0,0.9224358974358975,0.033701126738704915,0.0003,0.01,"[0.9881656804733728, 1.0, 0.9881656804733728, 0.9822485207100592, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]"
strike,contact_happening,large,42,12,0.995060815253123,0.006947842770303003,0.9997693194925029,0.00046136101499421044,0.9608974358974359,0.024358974358974342,0.0001,0.01,"[1.0, 1.0, 1.0, 0.9822485207100592, 0.9930555555555555]","[1.0, 1.0, 1.0, 0.9988465974625145, 1.0]"
strike,contact_happening,large,42,13,0.995266272189349,0.005797608858658412,1.0,0.0,0.9538461538461538,0.02878197989826107,0.0001,0.01,"[0.9881656804733728, 1.0, 1.0, 0.9881656804733727, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]"
strike,contact_happening,large,42,14,0.9881656804733728,0.014969361704939045,1.0,0.0,0.9301282051282052,0.02811757974289911,0.003,0.01,"[0.9763313609467457, 1.0, 1.0, 0.9644970414201184, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]"
strike,contact_happening,large,42,15,0.990327087442472,0.00954692215877461,1.0,0.0,0.9224358974358975,0.033701126738704915,0.0001,0.1,"[0.9822485207100592, 1.0, 1.0, 0.9763313609467454, 0.9930555555555555]","[1.0, 1.0, 1.0, 1.0, 1.0]"
strike,contact_happening,large,42,16,0.995266272189349,0.005797608858658412,1.0,0.0,0.9532051282051281,0.04476176987204126,0.0001,0.01,"[0.9881656804733728, 1.0, 1.0, 0.9881656804733727, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]"
strike,contact_happening,large,42,17,0.9940828402366864,0.007484680852469557,1.0,0.0,0.9608974358974359,0.034424927133583444,0.0001,0.01,"[0.9881656804733728, 1.0, 1.0, 0.9822485207100591, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]"
strike,contact_happening,large,42,18,0.9822485207100591,0.022454042557408585,1.0,0.0,0.9532051282051281,0.04476176987204126,0.0001,0.01,"[0.9467455621301776, 1.0, 1.0, 0.9644970414201184, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]"
strike,contact_happening,large,42,19,0.9798816568047337,0.021037146549859394,1.0,0.0,0.9224358974358975,0.033701126738704915,0.005,0.01,"[0.9467455621301775, 1.0, 0.9881656804733728, 0.9644970414201184, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]"
strike,contact_happening,large,42,20,0.9775147928994083,0.025491904412471032,0.9966166858900423,0.006766628219915427,0.9378205128205128,0.03886540100313876,0.0001,0.01,"[0.9408284023668639, 1.0, 0.9940828402366865, 0.9526627218934911, 1.0]","[1.0, 1.0, 1.0, 0.9830834294502114, 1.0]"
strike,contact_happening,large,42,21,0.978698224852071,0.02201310679022282,0.9936764194017321,0.009396253611475518,0.9301282051282052,0.05619130000207978,0.003,0.01,"[0.9585798816568047, 1.0, 0.9881656804733727, 0.9467455621301775, 1.0]","[1.0, 1.0, 1.0, 0.9757785467128027, 0.992603550295858]"
strike,contact_happening,large,42,22,0.9715976331360947,0.027602139147196666,0.9955489638714287,0.00835839088751748,0.8993589743589745,0.05142607979520913,0.001,0.1,"[0.9289940828402368, 1.0, 0.9763313609467456, 0.9526627218934911, 1.0]","[1.0, 1.0, 1.0, 0.9788542868127643, 0.9988905325443787]"
strike,contact_happening,large,42,23,0.9775147928994082,0.021301775147929004,0.9941883128701068,0.009521235490506577,0.9147435897435898,0.03691328217663582,0.005,0.01,"[0.9526627218934911, 1.0, 0.9822485207100592, 0.9526627218934911, 1.0]","[0.9996155324875048, 1.0, 1.0, 0.9753940792003075, 0.9959319526627219]"
