task,target,model,probe_seed,layer,auc_mean,auc_std,train_auc_mean,train_auc_std,bacc_mean,bacc_std,best_lr_mode,best_wd_mode,fold_val_aucs,fold_train_aucs
strike,contact_happening,videomae_large,42,0,0.9042896371303755,0.004745547620470927,0.9738425100138477,0.0010736591899472329,0.8131432160804021,0.010995387694013042,0.005,0.01,"[0.898625, 0.9001750000000001, 0.9107999999999999, 0.9031085073609253, 0.9087396782909523]","[0.9753738984051608, 0.9735915603545204, 0.9741160545473961, 0.9740836872122693, 0.972047349549891]"
strike,contact_happening,videomae_large,42,1,0.9464414497108657,0.0024844571055690845,0.9961935038160252,0.00024202191170492676,0.8787412060301507,0.00840645244535965,0.005,0.01,"[0.9421999999999999, 0.9473, 0.94975, 0.947248806848312, 0.9457084417060175]","[0.99633168133366, 0.9958071871407843, 0.9963677991972412, 0.9964442411587702, 0.9960166102496707]"
strike,contact_happening,videomae_large,42,2,0.9688704667811419,0.0040734070829272166,0.9996966470683087,7.682307140545393e-05,0.9097989949748744,0.01463149701953634,0.005,0.01,"[0.9638, 0.966975, 0.9760000000000001, 0.9699755056690488, 0.9676018282366607]","[0.9996105552100804, 0.9998052776050401, 0.999767589399564, 0.9996287599800125, 0.9996710531468467]"
strike,contact_happening,videomae_large,42,3,0.9775501012600692,0.005567270356240808,0.9999623770044433,2.9967997374705333e-05,0.9318668341708543,0.007454315293474857,0.005,0.01,"[0.968275, 0.97495, 0.9845750000000001, 0.9792429484103937, 0.9807075578899523]","[0.999979585555367, 0.9999733041877877, 0.9999890076067361, 0.9999655389010982, 0.9999044487712269]"
strike,contact_happening,videomae_large,42,4,0.9857406551602234,0.0045200808712564135,0.9991982839931909,0.0013522537181644015,0.9453894472361808,0.004607563419600417,0.001,0.01,"[0.980175, 0.9812250000000001, 0.9870249999999999, 0.9924244337264211, 0.9878538420746951]","[0.9996922129886119, 0.9999968593162104, 0.9965028486001972, 0.9998229952647317, 0.9999765037962034]"
strike,contact_happening,videomae_large,42,5,0.9898898112421403,0.003897485409861175,0.9994957326749084,0.0008838154194470423,0.9564296482412059,0.007767665860045107,0.005,0.01,"[0.9842000000000001, 0.9909, 0.9869749999999999, 0.9953031489103811, 0.9920709073003207]","[0.9999952889743156, 0.9999968593162104, 0.9977387076714342, 0.9997478074125823, 1.0]"
strike,contact_happening,videomae_large,42,6,0.9920038414433978,0.0034701869260794597,0.9999792824862517,1.9118803846228973e-05,0.9654346733668342,0.0032818110211737944,0.005,0.01,"[0.9857750000000001, 0.991475, 0.993375, 0.9962374687507891, 0.9931567384662003]","[0.9999780152134722, 0.9999968593162104, 0.9999434676917859, 0.9999843358641355, 0.9999937343456543]"
strike,contact_happening,videomae_large,42,7,0.9928728716446555,0.0034778831025177055,0.9999808434002062,3.1303906660799737e-05,0.9694472361809044,0.0036141362395545823,0.005,0.01,"[0.9867250000000001, 0.9938, 0.992425, 0.997373803691826, 0.9940405545314512]","[0.9999952889743154, 0.9999937186324206, 0.9999183422214685, 0.9999984335864135, 0.9999984335864135]"
strike,contact_happening,videomae_large,42,8,0.9924662595641525,0.0039978689353189845,0.9999117609274203,0.00013895004346822223,0.9674396984924624,0.0034970181051702403,0.003,0.01,"[0.9849749999999999, 0.9931000000000001, 0.99365, 0.9970202772657256, 0.9935860205550364]","[0.9996341103385029, 0.999970163503998, 0.9999827262391567, 0.9999874686913084, 0.9999843358641356]"
strike,contact_happening,videomae_large,42,9,0.9927927582636802,0.004157651092411359,0.9993605709223325,0.0012553499136869351,0.9724572864321608,0.005654654212663345,0.005,0.01,"[0.9863249999999999, 0.990525, 0.99325, 0.9985101386328629, 0.9953536526855383]","[0.9968498941589564, 0.9999952889743156, 0.9999858669229464, 0.9999796366233763, 0.9999921679320678]"
strike,contact_happening,videomae_large,42,10,0.9936232620388374,0.0034274693321791295,0.9993594988862343,0.0006437569649402011,0.9744547738693466,0.003966322140273169,0.005,0.01,"[0.988275, 0.9921000000000001, 0.993625, 0.9985101386328628, 0.9956061715613241]","[0.9995744373464992, 0.9999968593162104, 0.9988740648614016, 0.9983646642157515, 0.9999874686913085]"
strike,contact_happening,videomae_large,42,11,0.9942278086411959,0.003202856814713635,0.9993237416413633,0.000888325697197677,0.9784723618090453,0.006788155201088524,0.005,0.01,"[0.98875, 0.993775, 0.9947249999999999, 0.998686901845913, 0.9952021413600667]","[0.9997408935873519, 1.0, 0.9992446655485832, 0.9976347154844682, 0.9999984335864135]"
strike,contact_happening,videomae_large,42,12,0.994172808641196,0.0036097314486702283,0.9997270824352942,0.00042075505564426934,0.9789698492462311,0.006019992490704764,0.005,0.01,"[0.987675, 0.993375, 0.995925, 0.9983333754198126, 0.9955556677861671]","[0.9997424639292467, 1.0, 0.998908612383088, 0.9999953007592406, 0.9999890351048949]"
strike,contact_happening,videomae_large,42,13,0.9941243703441833,0.0037838133964933755,0.9988410902343956,0.0013873795926582766,0.9744522613065326,0.0028883611679653724,0.003,0.01,"[0.987275, 0.99405, 0.994625, 0.9987121537334916, 0.9959596979874246]","[0.9974356316857307, 0.9999921482905259, 0.9999136311957839, 0.9968765713086288, 0.9999874686913085]"
strike,contact_happening,videomae_large,42,14,0.9943151763844348,0.0036772455419720284,0.9987837805137045,0.0011432453259769397,0.9799673366834171,0.004445550883014224,0.003,0.01,"[0.9876, 0.994025, 0.9948750000000001, 0.9983586273073912, 0.9967172546147824]","[0.9990593652049925, 0.9999952889743154, 0.997702589807853, 0.9972133502297145, 0.9999483083516473]"
strike,contact_happening,videomae_large,42,15,0.9946147229867932,0.003164267004293949,0.9984365803753953,0.00215505241370993,0.9759522613065327,0.0056157122284472005,0.005,0.01,"[0.9887999999999999, 0.9944, 0.9950249999999999, 0.9977778338930835, 0.9970707810408829]","[0.9998994981187304, 1.0, 0.9979444224596579, 0.9944141691507375, 0.9999248121478507]"
strike,contact_happening,videomae_large,42,16,0.9948305794045604,0.0029075503806120953,0.9985301792339134,0.0024103205297304944,0.9804547738693467,0.002962165574079279,0.005,0.01,"[0.989875, 0.9945999999999999, 0.9944, 0.99856064240802, 0.9967172546147826]","[0.9991300305902601, 0.999989007606736, 0.9998319734172524, 0.9937500097900849, 0.9999498747652338]"
strike,contact_happening,videomae_large,42,17,0.9949279975253151,0.0031163812443455435,0.9985845649171455,0.0024970160319566395,0.9814597989949749,0.0037714429901195036,0.003,0.01,"[0.99005, 0.9939250000000001, 0.994175, 0.9990151763844348, 0.9974748112421403]","[0.9999560304269445, 0.9999748745296826, 0.9993954183704876, 0.9936105989808913, 0.999985902277722]"
strike,contact_happening,videomae_large,42,18,0.9954171788591196,0.0035928883176750237,0.9991505811501638,0.0013128831711060466,0.9824723618090452,0.004159345689132258,0.005,0.01,"[0.98975, 0.9946750000000001, 0.9940749999999999, 0.9994192065856923, 0.9991666877099064]","[0.9991740001633156, 0.9999858669229464, 0.9999952889743154, 0.996602448931001, 0.9999953007592406]"
strike,contact_happening,videomae_large,42,19,0.995590869043711,0.003283152568336163,0.9994065676993028,0.0008188909724944739,0.9849748743718593,0.0022080124105359603,0.005,0.01,"[0.990125, 0.9950499999999999, 0.9948499999999999, 0.9994192065856923, 0.9985101386328628]","[0.9994723651233347, 0.9999827262391568, 0.9997691597414589, 0.9978132866333229, 0.9999953007592407]"
strike,contact_happening,videomae_large,42,20,0.9962906675336483,0.0024059062638766373,0.9992945810111893,0.0007665197762128966,0.9859723618090452,0.001222139066713123,0.005,0.01,"[0.99255, 0.995675, 0.9954000000000001, 0.9989899244968562, 0.9988384131713846]","[0.9999937186324207, 0.9997314715359827, 0.9985835516108567, 0.9981704289310324, 0.9999937343456542]"
strike,contact_happening,videomae_large,42,21,0.9962213728188682,0.0026470838006232046,0.9994229477697407,0.0007138038072546341,0.9849698492462313,0.0015815699800923629,0.005,0.01,"[0.9922000000000001, 0.9948, 0.995925, 0.9994697103608494, 0.9987121537334915]","[0.9999968593162104, 0.999990577948631, 0.9987892663990804, 0.9983427344255413, 0.9999953007592406]"
strike,contact_happening,videomae_large,42,22,0.9964267758389939,0.0027715303207994564,0.9996490518614237,0.0006308700817232964,0.9829698492462311,0.0024250279558912244,0.005,0.01,"[0.991725, 0.9954500000000001, 0.996575, 0.9993181990353779, 0.999065680159592]","[0.9999952889743156, 0.9999952889743156, 0.9998665209389389, 0.9983912932467212, 0.9999968671728271]"
strike,contact_happening,videomae_large,42,23,0.9965149118709125,0.0020555747381871044,0.9996141729868013,0.0006043833165707461,0.982964824120603,0.003679270565361297,0.003,0.01,"[0.9934999999999999, 0.9951000000000001, 0.9965249999999999, 0.9983586273073912, 0.9990909320471705]","[0.9999874372648413, 0.9999952889743156, 0.9996655171763997, 0.9984320199999687, 0.9999906015184813]"
