target,best_stage,best_r2_mean,best_r2_std
contact_flag,stage_3,0.6769983649253846,0.009216471950021024
contact_force_log1p_mag,stage_3,0.6384182572364807,0.019474611039568247
ee_acceleration,stage_4,0.08439689725637431,0.006739801881480702
