target,stage,r2_mean,r2_std,mse_mean,mse_std
contact_flag,stage_0,0.5244381189346313,0.011213722101405048,0.09175538867712016,0.004611357057584712
contact_flag,stage_1,0.6659454345703125,0.0159910632318568,0.06444523036479943,0.004067985251618473
contact_flag,stage_2,0.6706919550895691,0.012362515544326652,0.0635300919413566,0.003561448760317122
contact_flag,stage_3,0.6769983649253846,0.009216471950021024,0.06231081783771512,0.00302646974970335
contact_flag,stage_4,0.6685420274734497,0.014254717236656125,0.06396723017096516,0.004253593659709445
contact_force_log1p_mag,stage_0,0.49342736005783083,0.021619704183277178,0.7788321614265442,0.07593677806316403
contact_force_log1p_mag,stage_1,0.622394609451294,0.026213523973240248,0.580634605884552,0.06565841710305101
contact_force_log1p_mag,stage_2,0.6227859854698181,0.02324358443304361,0.5803268671035766,0.06674503175839991
contact_force_log1p_mag,stage_3,0.6384182572364807,0.019474611039568247,0.5561040878295899,0.058861673985704556
contact_force_log1p_mag,stage_4,0.6378538250923157,0.022496075353082418,0.5567869067192077,0.059620713917120885
ee_acceleration,stage_0,0.04552859961986538,0.004230742720809876,0.7104214906692505,0.011601261178794798
ee_acceleration,stage_1,0.07434781044721597,0.005155038503132451,0.688971745967865,0.011495546310881925
ee_acceleration,stage_2,0.07818993180990216,0.009298383841552977,0.6861431360244751,0.014966884459047687
ee_acceleration,stage_3,0.0678662426769733,0.028582865157216728,0.6937431931495667,0.021901586737432265
ee_acceleration,stage_4,0.08439689725637431,0.006739801881480702,0.681497859954834,0.012447581373743665
