stage,fold,best_lr,best_wd,r2,mse,n_test_windows
stage_0,0,9.999999747378752e-05,0.009999999776482582,0.051459893584251404,0.6988417506217957,68085
stage_0,1,0.004999999888241291,0.009999999776482582,0.04809597507119179,0.7029121518135071,68084
stage_0,2,9.999999747378752e-05,0.009999999776482582,0.041228312999010086,0.7276391386985779,68063
stage_0,3,0.0010000000474974513,0.009999999776482582,0.0423070453107357,0.7163410782814026,68027
stage_0,4,0.003000000026077032,0.009999999776482582,0.04455177113413811,0.7063733339309692,68024
stage_1,0,0.004999999888241291,0.009999999776482582,0.08181612193584442,0.6764751672744751,68085
stage_1,1,0.0010000000474974513,0.009999999776482582,0.07737372070550919,0.6812952756881714,68084
stage_1,2,9.999999747378752e-05,0.009999999776482582,0.07127939909696579,0.7048335075378418,68063
stage_1,3,0.0003000000142492354,0.009999999776482582,0.06915514171123505,0.696256160736084,68027
stage_1,4,0.003000000026077032,0.009999999776482582,0.07211466878652573,0.6859986186027527,68024
stage_2,0,0.0003000000142492354,0.009999999776482582,0.08735429495573044,0.6723983287811279,68085
stage_2,1,0.004999999888241291,0.009999999776482582,0.08646494150161743,0.6745753884315491,68084
stage_2,2,0.0010000000474974513,0.009999999776482582,0.06912614405155182,0.7064597010612488,68063
stage_2,3,0.004999999888241291,0.009999999776482582,0.0678316056728363,0.6972450613975525,68027
stage_2,4,0.0003000000142492354,0.009999999776482582,0.08017267286777496,0.6800372004508972,68024
stage_3,0,0.003000000026077032,0.10000000149011612,0.09016399830579758,0.6703240871429443,68085
stage_3,1,9.999999747378752e-05,0.10000000149011612,0.08547308295965195,0.6753132939338684,68084
stage_3,2,0.0003000000142492354,0.009999999776482582,0.0783555880188942,0.6994553208351135,68063
stage_3,3,0.0010000000474974513,0.10000000149011612,0.06591716408729553,0.6986770033836365,68027
stage_3,4,0.003000000026077032,0.800000011920929,0.019421380013227463,0.7249462604522705,68024
stage_4,0,0.003000000026077032,0.10000000149011612,0.08565982431173325,0.6736365556716919,68085
stage_4,1,9.999999747378752e-05,0.10000000149011612,0.09292599558830261,0.6698088645935059,68084
stage_4,2,0.0003000000142492354,0.10000000149011612,0.0803145095705986,0.6979728937149048,68063
stage_4,3,0.0003000000142492354,0.10000000149011612,0.07544317096471786,0.6915555000305176,68027
stage_4,4,0.003000000026077032,0.10000000149011612,0.08764098584651947,0.6745154857635498,68024
