stage,fold,best_lr,best_wd,r2,mse,n_test_windows
stage_0,0,0.003000000026077032,0.009999999776482582,0.524602472782135,0.08802979439496994,68085
stage_0,1,0.003000000026077032,0.009999999776482582,0.5271581411361694,0.08888658136129379,68084
stage_0,2,0.0010000000474974513,0.009999999776482582,0.5175958275794983,0.09336505830287933,68063
stage_0,3,9.999999747378752e-05,0.009999999776482582,0.5115692615509033,0.09914334118366241,68027
stage_0,4,0.0003000000142492354,0.009999999776482582,0.5412648916244507,0.08935216814279556,68024
stage_1,0,0.0010000000474974513,0.009999999776482582,0.6699262857437134,0.06112005561590195,68085
stage_1,1,0.004999999888241291,0.009999999776482582,0.657909631729126,0.06430742889642715,68084
stage_1,2,0.003000000026077032,0.009999999776482582,0.6530778408050537,0.06714371591806412,68063
stage_1,3,0.004999999888241291,0.009999999776482582,0.6566067934036255,0.06970313936471939,68027
stage_1,4,0.0010000000474974513,0.009999999776482582,0.692206621170044,0.05995181202888489,68024
stage_2,0,0.004999999888241291,0.10000000149011612,0.670804500579834,0.06095743551850319,68085
stage_2,1,9.999999747378752e-05,0.10000000149011612,0.6646673679351807,0.06303709000349045,68084
stage_2,2,0.003000000026077032,0.10000000149011612,0.6668137311935425,0.06448525935411453,68063
stage_2,3,0.0003000000142492354,0.10000000149011612,0.6595862507820129,0.06909835338592529,68027
stage_2,4,0.0010000000474974513,0.10000000149011612,0.6915879249572754,0.06007232144474983,68024
stage_3,0,0.003000000026077032,0.10000000149011612,0.6826393604278564,0.0587659552693367,68085
stage_3,1,0.0003000000142492354,0.10000000149011612,0.669819712638855,0.06206853315234184,68084
stage_3,2,9.999999747378752e-05,0.10000000149011612,0.6695050597190857,0.0639643669128418,68063
stage_3,3,0.0010000000474974513,0.10000000149011612,0.672583818435669,0.06646006554365158,68027
stage_3,4,0.004999999888241291,0.10000000149011612,0.6904438734054565,0.060295168310403824,68024
stage_4,0,0.0003000000142492354,0.10000000149011612,0.6709787845611572,0.060925163328647614,68085
stage_4,1,0.004999999888241291,0.10000000149011612,0.6783312559127808,0.06046850234270096,68084
stage_4,2,0.0003000000142492354,0.10000000149011612,0.650803804397583,0.0675838440656662,68063
stage_4,3,0.0003000000142492354,0.4000000059604645,0.6574926376342773,0.06952331960201263,68027
stage_4,4,9.999999747378752e-05,0.10000000149011612,0.6851036548614502,0.06133532151579857,68024
