task,layer,variable,var_type,output_dim,r2_mean,r2_std,n_samples
nut_thread,6,nut_bolt_relative_angle,dynamic,1,0.266242,0.03854,82500
nut_thread,6,contact_flag,dynamic,1,0.0,0.0,82500
nut_thread,6,contact_force,dynamic,3,0.0,0.0,82500
nut_thread,6,phase,dynamic,1,0.0,0.0,82500
nut_thread,7,nut_mass,static,1,-0.026626,0.007891,82500
nut_thread,7,nut_static_friction,static,1,-0.020317,0.009017,82500
nut_thread,7,nut_dynamic_friction,static,1,-0.020317,0.009017,82500
nut_thread,7,bolt_static_friction,static,1,-0.011662,0.005621,82500
nut_thread,7,bolt_dynamic_friction,static,1,-0.011662,0.005621,82500
nut_thread,7,ee_velocity,dynamic,3,0.726718,0.006465,82500
nut_thread,7,nut_velocity,dynamic,3,0.427616,0.013367,82500
nut_thread,7,axial_progress,dynamic,1,0.833785,0.010819,82500
nut_thread,7,nut_bolt_relative_angle,dynamic,1,0.273808,0.037923,82500
nut_thread,7,contact_flag,dynamic,1,0.0,0.0,82500
nut_thread,7,contact_force,dynamic,3,0.0,0.0,82500
nut_thread,7,phase,dynamic,1,0.0,0.0,82500
nut_thread,8,nut_mass,static,1,-0.02561,0.005403,82500
nut_thread,8,nut_static_friction,static,1,-0.016273,0.006413,82500
nut_thread,8,nut_dynamic_friction,static,1,-0.016273,0.006413,82500
nut_thread,8,bolt_static_friction,static,1,-0.011351,0.010935,82500
nut_thread,8,bolt_dynamic_friction,static,1,-0.011351,0.010935,82500
nut_thread,8,ee_velocity,dynamic,3,0.739335,0.005736,82500
nut_thread,8,nut_velocity,dynamic,3,0.440057,0.012077,82500
nut_thread,8,axial_progress,dynamic,1,0.842776,0.009529,82500
nut_thread,8,nut_bolt_relative_angle,dynamic,1,0.280308,0.035099,82500
nut_thread,8,contact_flag,dynamic,1,0.0,0.0,82500
nut_thread,8,contact_force,dynamic,3,0.0,0.0,82500
nut_thread,8,phase,dynamic,1,0.0,0.0,82500
nut_thread,9,nut_mass,static,1,-0.028506,0.007226,82500
nut_thread,9,nut_static_friction,static,1,-0.019245,0.00662,82500
nut_thread,9,nut_dynamic_friction,static,1,-0.019245,0.00662,82500
nut_thread,9,bolt_static_friction,static,1,-0.014317,0.012903,82500
nut_thread,9,bolt_dynamic_friction,static,1,-0.014317,0.012903,82500
nut_thread,9,ee_velocity,dynamic,3,0.738646,0.005243,82500
nut_thread,9,nut_velocity,dynamic,3,0.440649,0.011468,82500
nut_thread,9,axial_progress,dynamic,1,0.848078,0.008867,82500
nut_thread,9,nut_bolt_relative_angle,dynamic,1,0.289013,0.036435,82500
nut_thread,9,contact_flag,dynamic,1,0.0,0.0,82500
nut_thread,9,contact_force,dynamic,3,0.0,0.0,82500
nut_thread,9,phase,dynamic,1,0.0,0.0,82500
nut_thread,10,nut_mass,static,1,-0.033107,0.00913,82500
nut_thread,10,nut_static_friction,static,1,-0.018656,0.003985,82500
nut_thread,10,nut_dynamic_friction,static,1,-0.018656,0.003985,82500
nut_thread,10,bolt_static_friction,static,1,-0.013777,0.008127,82500
nut_thread,10,bolt_dynamic_friction,static,1,-0.013777,0.008127,82500
nut_thread,10,ee_velocity,dynamic,3,0.74142,0.005019,82500
nut_thread,10,nut_velocity,dynamic,3,0.443404,0.009744,82500
nut_thread,10,axial_progress,dynamic,1,0.85119,0.008746,82500
nut_thread,10,nut_bolt_relative_angle,dynamic,1,0.296797,0.035637,82500
nut_thread,10,contact_flag,dynamic,1,0.0,0.0,82500
nut_thread,10,contact_force,dynamic,3,0.0,0.0,82500
nut_thread,10,phase,dynamic,1,0.0,0.0,82500
nut_thread,11,nut_mass,static,1,-0.029793,0.010572,82500
nut_thread,11,nut_static_friction,static,1,-0.01609,0.002574,82500
nut_thread,11,nut_dynamic_friction,static,1,-0.01609,0.002574,82500
nut_thread,11,bolt_static_friction,static,1,-0.00975,0.007267,82500
nut_thread,11,bolt_dynamic_friction,static,1,-0.00975,0.007267,82500
nut_thread,11,ee_velocity,dynamic,3,0.742868,0.005733,82500
nut_thread,11,nut_velocity,dynamic,3,0.450067,0.009885,82500
nut_thread,11,axial_progress,dynamic,1,0.855913,0.008149,82500
nut_thread,11,nut_bolt_relative_angle,dynamic,1,0.31205,0.036867,82500
nut_thread,11,contact_flag,dynamic,1,0.0,0.0,82500
nut_thread,11,contact_force,dynamic,3,0.0,0.0,82500
nut_thread,11,phase,dynamic,1,0.0,0.0,82500
nut_thread,12,nut_mass,static,1,-0.030363,0.01084,82500
nut_thread,12,nut_static_friction,static,1,-0.018428,0.002278,82500
nut_thread,12,nut_dynamic_friction,static,1,-0.018428,0.002278,82500
nut_thread,12,bolt_static_friction,static,1,-0.015234,0.006945,82500
nut_thread,12,bolt_dynamic_friction,static,1,-0.015234,0.006945,82500
nut_thread,12,ee_velocity,dynamic,3,0.746274,0.004933,82500
nut_thread,12,nut_velocity,dynamic,3,0.454717,0.010388,82500
nut_thread,12,axial_progress,dynamic,1,0.861947,0.009473,82500
nut_thread,12,nut_bolt_relative_angle,dynamic,1,0.31289,0.039244,82500
nut_thread,12,contact_flag,dynamic,1,0.0,0.0,82500
nut_thread,12,contact_force,dynamic,3,0.0,0.0,82500
nut_thread,12,phase,dynamic,1,0.0,0.0,82500
nut_thread,13,nut_mass,static,1,-0.024986,0.012303,82500
nut_thread,13,nut_static_friction,static,1,-0.016966,0.003343,82500
nut_thread,13,nut_dynamic_friction,static,1,-0.016966,0.003343,82500
nut_thread,13,bolt_static_friction,static,1,-0.009612,0.006746,82500
nut_thread,13,bolt_dynamic_friction,static,1,-0.009612,0.006746,82500
nut_thread,13,ee_velocity,dynamic,3,0.74366,0.004598,82500
nut_thread,13,nut_velocity,dynamic,3,0.454599,0.010641,82500
nut_thread,13,axial_progress,dynamic,1,0.868231,0.008808,82500
nut_thread,13,nut_bolt_relative_angle,dynamic,1,0.322011,0.04036,82500
nut_thread,13,contact_flag,dynamic,1,0.0,0.0,82500
nut_thread,13,contact_force,dynamic,3,0.0,0.0,82500
nut_thread,13,phase,dynamic,1,0.0,0.0,82500
nut_thread,14,nut_mass,static,1,-0.022176,0.010844,82500
nut_thread,14,nut_static_friction,static,1,-0.017622,0.006333,82500
nut_thread,14,nut_dynamic_friction,static,1,-0.017622,0.006333,82500
nut_thread,14,bolt_static_friction,static,1,-0.008361,0.006881,82500
nut_thread,14,bolt_dynamic_friction,static,1,-0.008361,0.006881,82500
nut_thread,14,ee_velocity,dynamic,3,0.765825,0.004815,82500
nut_thread,14,nut_velocity,dynamic,3,0.468426,0.010706,82500
nut_thread,14,axial_progress,dynamic,1,0.869885,0.009122,82500
nut_thread,14,nut_bolt_relative_angle,dynamic,1,0.3323,0.037687,82500
nut_thread,14,contact_flag,dynamic,1,0.0,0.0,82500
nut_thread,14,contact_force,dynamic,3,0.0,0.0,82500
nut_thread,14,phase,dynamic,1,0.0,0.0,82500
nut_thread,15,nut_mass,static,1,-0.020921,0.011681,82500
nut_thread,15,nut_static_friction,static,1,-0.016684,0.006897,82500
nut_thread,15,nut_dynamic_friction,static,1,-0.016684,0.006897,82500
nut_thread,15,bolt_static_friction,static,1,-0.01013,0.007612,82500
nut_thread,15,bolt_dynamic_friction,static,1,-0.01013,0.007612,82500
nut_thread,15,ee_velocity,dynamic,3,0.765568,0.004875,82500
nut_thread,15,nut_velocity,dynamic,3,0.469899,0.010821,82500
nut_thread,15,axial_progress,dynamic,1,0.869601,0.009627,82500
nut_thread,15,nut_bolt_relative_angle,dynamic,1,0.333826,0.039953,82500
nut_thread,15,contact_flag,dynamic,1,0.0,0.0,82500
nut_thread,15,contact_force,dynamic,3,0.0,0.0,82500
nut_thread,15,phase,dynamic,1,0.0,0.0,82500
nut_thread,16,nut_mass,static,1,-0.022114,0.012573,82500
nut_thread,16,nut_static_friction,static,1,-0.017259,0.005247,82500
nut_thread,16,nut_dynamic_friction,static,1,-0.017259,0.005247,82500
