target,layer,r2_mean,r2_std,mse_mean,mse_std
contact_flag,0,0.37688720226287836,0.0310873046103683,0.12028648704290387,0.009120427635916471
contact_flag,1,0.5717158794403077,0.015537007239699677,0.08268382698297498,0.005673524306702349
contact_flag,2,0.5981079578399658,0.016463400241374437,0.07760460674762723,0.005803562723924469
contact_flag,3,0.611125648021698,0.016541994781636208,0.0750814467668533,0.005481547420995369
contact_flag,4,0.6366276144981384,0.015959939923609816,0.07017245441675182,0.005478046398760156
contact_flag,5,0.6467360019683838,0.013737817043900733,0.06819417402148242,0.004651841620935634
contact_flag,6,0.6666751027107238,0.012812282180255692,0.06436295732855793,0.004717412000978331
contact_flag,7,0.6822388410568238,0.010170297929295267,0.06134009733796114,0.004014180499568629
contact_flag,8,0.6896649718284606,0.010678639530487305,0.05990904495120044,0.004018851867059844
contact_flag,9,0.7091079115867615,0.004233647476330858,0.056122798472642864,0.0025354940874652895
contact_flag,10,0.7210973381996155,0.006986103907639527,0.05381162166595456,0.002723568924324019
contact_flag,11,0.7294143915176392,0.007356948681041217,0.052199589461088124,0.002535120280750719
contact_flag,12,0.736558985710144,0.004146567891406653,0.05082298740744586,0.0022147563878782963
contact_flag,13,0.74503173828125,0.0073764244861986425,0.04918720871210094,0.002435165648184615
contact_flag,14,0.7537083864212036,0.00899312205531647,0.04752296134829516,0.0028259668514089152
contact_flag,15,0.7546743750572205,0.00934158956425523,0.04735098257660862,0.0031467129518030776
contact_flag,16,0.7614067435264588,0.010337181705783858,0.046049202233552876,0.003172002928522049
contact_flag,17,0.7660849094390869,0.006685857806913309,0.04512648880481712,0.002231810093865141
contact_flag,18,0.7666372060775757,0.0070572739718765,0.04501840025186536,0.0022397115786290875
contact_flag,19,0.7654283046722412,0.006061027256531515,0.04525157064199442,0.002143220570588327
contact_flag,20,0.7659977912902832,0.0077671077853660175,0.0451490700244903,0.002521084061018322
contact_flag,21,0.7676246166229248,0.007842556561033586,0.04483154788613314,0.002446963231366728
contact_flag,22,0.7664914608001709,0.009651032526534655,0.04506062045693396,0.0029094621554996308
contact_flag,23,0.7610918521881104,0.01030453143564267,0.04609250798821446,0.002833336894971015
contact_force,0,0.0662213578820228,0.027610579596466435,81.61812896728516,13.155746171530357
contact_force,1,0.16273503005504605,0.01912625003757099,73.05849075317383,10.741294829068607
contact_force,2,0.17718956470489497,0.02100080329085628,71.82162933349609,10.768056782725857
contact_force,3,0.19671291410923,0.01738906616537912,70.08274917602539,10.195937334890878
contact_force,4,0.1996549159288406,0.017485661938062176,69.74054565429688,9.396878528635192
contact_force,5,0.2159438550472259,0.025409278361939056,68.45687408447266,10.542588331348245
contact_force,6,0.22830767035484315,0.024749146730451733,67.33596649169922,10.023746042154729
contact_force,7,0.24954152703285212,0.02187470170197678,65.44072265625,9.335423232197936
contact_force,8,0.2621559888124466,0.022724815073114857,64.31510925292969,8.958948146567122
contact_force,9,0.26936668157577515,0.024496875242192434,63.675201416015625,8.814047316292523
contact_force,10,0.27385047078132624,0.02538691879998186,63.30775833129883,8.988458922805288
contact_force,11,0.27859644293785096,0.025997954988695945,62.886436462402344,8.88790437734282
contact_force,12,0.28823859691619874,0.02827526621463744,62.0760856628418,9.075432394402394
contact_force,13,0.29760484099388124,0.026005908699024985,61.239888763427736,8.720949419095781
contact_force,14,0.30408670306205743,0.028331274050822988,60.710629272460935,9.044287035338881
contact_force,15,0.30247842669487,0.030424976420279543,60.873460388183595,9.30518198554606
contact_force,16,0.30414607524871823,0.02594375796488891,60.67458572387695,8.60937669068396
contact_force,17,0.31086320281028745,0.022637418270888974,60.07148361206055,8.435105252854552
contact_force,18,0.3194728970527649,0.023138774245942566,59.316636657714845,8.290853411763164
contact_force,19,0.3268302738666534,0.024176140692875787,58.642330169677734,7.936203513161485
contact_force,20,0.3187727630138397,0.017292347073786275,59.354155731201175,7.929248585019463
contact_force,21,0.3314505577087402,0.031403464805736775,58.31779174804687,8.638980793964175
contact_force,22,0.3453911066055298,0.02831797345138566,57.025936126708984,7.837518573065074
contact_force,23,0.3212691962718964,0.0446422754677635,59.05824203491211,7.8049783583510735
contact_force_log1p_mag,0,0.3485690355300903,0.043887409183960883,1.0031781196594238,0.1269720031189045
contact_force_log1p_mag,1,0.5552428245544434,0.02492131565850139,0.6845862150192261,0.07970112789194984
contact_force_log1p_mag,2,0.5795517921447754,0.02527174199948953,0.6469767570495606,0.07431067551472771
contact_force_log1p_mag,3,0.5931633114814758,0.021870099837014385,0.6262065649032593,0.07131616939115175
contact_force_log1p_mag,4,0.6157619595527649,0.021231919923501992,0.5913315773010254,0.06741130960395009
contact_force_log1p_mag,5,0.6250454306602478,0.018234068467965877,0.5766929149627685,0.059525802522926906
contact_force_log1p_mag,6,0.6418429732322692,0.027199783489490727,0.5517404019832611,0.07601986612199534
contact_force_log1p_mag,7,0.6637579679489136,0.012495884154546708,0.5172236561775208,0.05266231996929632
contact_force_log1p_mag,8,0.678368067741394,0.01022033488424351,0.4945295095443726,0.04641859655492099
contact_force_log1p_mag,9,0.6930455446243287,0.008121725069815972,0.4716010332107544,0.0386646243014232
contact_force_log1p_mag,10,0.7014629721641541,0.011737753471848756,0.4588662385940552,0.04229573959868882
contact_force_log1p_mag,11,0.7104933738708497,0.013815246489550027,0.4451008915901184,0.0446489429636547
contact_force_log1p_mag,12,0.720742690563202,0.01087835877703812,0.429069459438324,0.03767902685501551
contact_force_log1p_mag,13,0.7279084682464599,0.013280229600907642,0.4182263731956482,0.04099023104560052
contact_force_log1p_mag,14,0.7377026677131653,0.014420160813254911,0.40330082178115845,0.04256836924135039
contact_force_log1p_mag,15,0.7376240253448486,0.01827782182266145,0.403780335187912,0.050295562239839275
contact_force_log1p_mag,16,0.7435458540916443,0.01653417679097265,0.39454729557037355,0.046723347746456256
contact_force_log1p_mag,17,0.7466445326805115,0.010430179560255652,0.38946006298065183,0.03729087447558392
contact_force_log1p_mag,18,0.7485114336013794,0.010412105444105613,0.3863603711128235,0.0338190437293347
contact_force_log1p_mag,19,0.7527647733688354,0.01017291106436483,0.3799179375171661,0.03456090269794493
contact_force_log1p_mag,20,0.7499473690986633,0.01089308717415175,0.38439280986785884,0.03740094340978919
contact_force_log1p_mag,21,0.7541394829750061,0.011875142604216139,0.37806945443153384,0.03928343648026681
contact_force_log1p_mag,22,0.7521691679954529,0.01616509086444624,0.38139724135398867,0.046601226014189354
contact_force_log1p_mag,23,0.7456612944602966,0.018306986669106236,0.39137877225875856,0.049118120920268384
contact_force_mag,0,0.13741757869720456,0.029018202080367157,214.78720703125,33.11602065690807
contact_force_mag,1,0.2675775408744812,0.030772250131082236,182.3740203857422,28.643489611936957
contact_force_mag,2,0.2793375253677368,0.037889651448886806,179.3474334716797,27.807322700253177
contact_force_mag,3,0.3046361446380615,0.02754041104933264,173.07957458496094,26.456329920492216
contact_force_mag,4,0.3197708129882812,0.025483130837232058,169.1409698486328,24.384346595377483
contact_force_mag,5,0.3392290711402893,0.030013090126202367,164.3367706298828,24.238875315551734
contact_force_mag,6,0.3454342603683471,0.04132352145530599,163.02601013183593,27.063110544728204
contact_force_mag,7,0.36736074686050413,0.03914057184685073,157.41233825683594,24.826445650005777
contact_force_mag,8,0.38160821199417116,0.03342674710200022,153.63315124511718,21.72654823749543
contact_force_mag,9,0.3920398116111755,0.03777118925501457,151.10648498535156,22.144277522954116
contact_force_mag,10,0.40011781454086304,0.04212358151359989,149.16368865966797,23.04061487372396
contact_force_mag,11,0.4067180633544922,0.042428984000232484,147.60288696289064,23.38111183333572
contact_force_mag,12,0.414818263053894,0.04288717996602111,145.5505569458008,22.932593789116332
contact_force_mag,13,0.42088645696640015,0.041995880316898174,144.06305694580078,22.681597621148573
contact_force_mag,14,0.4297015190124512,0.04197870044613629,141.81034393310546,22.08582346076291
contact_force_mag,15,0.4349466323852539,0.04363219306680809,140.5994857788086,22.842806686748993
contact_force_mag,16,0.44118829965591433,0.041923658358548326,139.0592071533203,22.67586826277375
contact_force_mag,17,0.4416376233100891,0.0379488287024526,138.83782196044922,21.379227323614437
contact_force_mag,18,0.44632892608642577,0.03632448232231984,137.59680938720703,20.347360055383447
contact_force_mag,19,0.45839340686798097,0.03999108127198105,134.6492477416992,20.755714535501163
contact_force_mag,20,0.45592589378356935,0.03931628258396636,135.16646881103514,20.0170456190885
contact_force_mag,21,0.46108163595199586,0.037934292729154995,134.04292755126954,21.069316058288052
contact_force_mag,22,0.45647125244140624,0.03828904479078249,135.24865112304687,21.769934285226945
contact_force_mag,23,0.44750542640686036,0.04344214517404007,137.4543487548828,22.316350246322568
contact_point,0,-0.0141181584913283,0.007319513093040219,6.489951324462891,0.6046845453958359
contact_point,1,-0.0018757303711026715,0.0036349779074696833,6.411074924468994,0.5873356274754966
contact_point,2,0.00490474638354494,0.00427774328686196,6.369350624084473,0.6068497741769212
contact_point,3,0.004184929729672141,0.01162128589834161,6.371648502349854,0.57577814455085
contact_point,4,0.00698778522200878,0.009207025827853476,6.355243587493897,0.5981038097527263
contact_point,5,0.023967824131250322,0.006712413960943157,6.245162391662598,0.5679226882459932
contact_point,6,0.01887021916918452,0.009720853050016673,6.2762104034423825,0.55006741861314
contact_point,7,0.015572302485816139,0.009306426406678432,6.2966584205627445,0.5425341042180225
contact_point,8,0.0217967122793197,0.0082621626769131,6.257566928863525,0.5500456918950398
contact_point,9,0.011951311421580579,0.00894311362595546,6.320225429534912,0.5492854175323111
contact_point,10,0.00837038801982996,0.011477338195785024,6.343151950836182,0.5549282515920742
contact_point,11,0.01350988773629066,0.01064160494956888,6.31021556854248,0.5516252699746819
contact_point,12,0.0037733887322247,0.013078857750973834,6.370516777038574,0.5247733576447147
contact_point,13,0.0006973351584747204,0.016232609467259705,6.389043807983398,0.5159839697431786
contact_point,14,-0.0015453071973752198,0.00895640145179883,6.406811046600342,0.5611036738001433
contact_point,15,-0.0024496350903064,0.009477004287195834,6.412358665466309,0.5558564645357346
contact_point,16,-0.00400281539186832,0.007952214223671523,6.421737289428711,0.5477919425429101
contact_point,17,-0.00628731979522852,0.009051642605072914,6.43744306564331,0.5659162426982318
contact_point,18,-0.01386303165927522,0.010238824408566768,6.485040760040283,0.5591330995233634
contact_point,19,-0.0181164482608437,0.011243328337043064,6.5116008758544925,0.5532020413141777
contact_point,20,-0.017702167667448483,0.008194492944153106,6.512298679351806,0.5942881440890974
contact_point,21,-0.02434158027172082,0.006351942207428063,6.552177143096924,0.5626481385257385
