bin,layer,target,fold,r2,n_train_episodes,n_test_episodes,n_test_windows
low,4,contact_flag,2,0.6045751571655273,447,112,25182
low,4,contact_flag,3,0.6154214143753052,447,112,25181
low,4,contact_flag,4,0.5303902626037598,448,111,25120
low,4,contact_force_log1p_mag,0,0.5689981579780579,447,112,25183
low,4,contact_force_log1p_mag,1,0.5762754678726196,447,112,25170
low,4,contact_force_log1p_mag,2,0.5672733187675476,447,112,25182
low,4,contact_force_log1p_mag,3,0.6008285284042358,447,112,25181
low,4,contact_force_log1p_mag,4,0.5106984376907349,448,111,25120
low,5,ee_velocity,0,0.8873414397239685,447,112,25183
low,5,ee_velocity,1,0.8819580674171448,447,112,25170
low,5,ee_velocity,2,0.8922958970069885,447,112,25182
low,5,ee_velocity,3,0.8871938586235046,447,112,25181
low,5,ee_velocity,4,0.8896172046661377,448,111,25120
low,5,ee_acceleration,0,0.13428229093551636,447,112,25183
low,5,ee_acceleration,1,0.12640933692455292,447,112,25170
low,5,ee_acceleration,2,0.1460980772972107,447,112,25182
low,5,ee_acceleration,3,0.13474372029304504,447,112,25181
low,5,ee_acceleration,4,0.14131823182106018,448,111,25120
low,5,contact_flag,0,0.5892921686172485,447,112,25183
low,5,contact_flag,1,0.5783177018165588,447,112,25170
low,5,contact_flag,2,0.5993396043777466,447,112,25182
low,5,contact_flag,3,0.6092656850814819,447,112,25181
low,5,contact_flag,4,0.5181333422660828,448,111,25120
low,5,contact_force_log1p_mag,0,0.5608924627304077,447,112,25183
low,5,contact_force_log1p_mag,1,0.5808347463607788,447,112,25170
low,5,contact_force_log1p_mag,2,0.5783668756484985,447,112,25182
low,5,contact_force_log1p_mag,3,0.586989164352417,447,112,25181
low,5,contact_force_log1p_mag,4,0.5046068429946899,448,111,25120
low,6,ee_velocity,0,0.9028205871582031,447,112,25183
low,6,ee_velocity,1,0.8994669318199158,447,112,25170
low,6,ee_velocity,2,0.9056702852249146,447,112,25182
low,6,ee_velocity,3,0.9052067995071411,447,112,25181
low,6,ee_velocity,4,0.9034822583198547,448,111,25120
low,6,ee_acceleration,0,0.15110135078430176,447,112,25183
low,6,ee_acceleration,1,0.14094074070453644,447,112,25170
low,6,ee_acceleration,2,0.16198024153709412,447,112,25182
low,6,ee_acceleration,3,0.14401836693286896,447,112,25181
low,6,ee_acceleration,4,0.15418122708797455,448,111,25120
low,6,contact_flag,0,0.5979098081588745,447,112,25183
low,6,contact_flag,1,0.5772929191589355,447,112,25170
low,6,contact_flag,2,0.6324971914291382,447,112,25182
low,6,contact_flag,3,0.6418371200561523,447,112,25181
low,6,contact_flag,4,0.553092360496521,448,111,25120
low,6,contact_force_log1p_mag,0,0.5662863254547119,447,112,25183
low,6,contact_force_log1p_mag,1,0.5827762484550476,447,112,25170
low,6,contact_force_log1p_mag,2,0.611285388469696,447,112,25182
low,6,contact_force_log1p_mag,3,0.6192152500152588,447,112,25181
low,6,contact_force_log1p_mag,4,0.5433496236801147,448,111,25120
low,7,ee_velocity,0,0.9134855270385742,447,112,25183
low,7,ee_velocity,1,0.9116914868354797,447,112,25170
low,7,ee_velocity,2,0.9157158732414246,447,112,25182
low,7,ee_velocity,3,0.9157221913337708,447,112,25181
low,7,ee_velocity,4,0.9146112203598022,448,111,25120
low,7,ee_acceleration,0,0.1709410399198532,447,112,25183
low,7,ee_acceleration,1,0.15960758924484253,447,112,25170
low,7,ee_acceleration,2,0.1815827339887619,447,112,25182
low,7,ee_acceleration,3,0.16188742220401764,447,112,25181
low,7,ee_acceleration,4,0.17065013945102692,448,111,25120
low,7,contact_flag,0,0.6003293991088867,447,112,25183
low,7,contact_flag,1,0.6011541485786438,447,112,25170
low,7,contact_flag,2,0.6366631388664246,447,112,25182
low,7,contact_flag,3,0.6414607763290405,447,112,25181
low,7,contact_flag,4,0.5358072519302368,448,111,25120
low,7,contact_force_log1p_mag,0,0.5627635717391968,447,112,25183
low,7,contact_force_log1p_mag,1,0.5861836671829224,447,112,25170
low,7,contact_force_log1p_mag,2,0.6121206283569336,447,112,25182
low,7,contact_force_log1p_mag,3,0.6126519441604614,447,112,25181
low,7,contact_force_log1p_mag,4,0.5266785621643066,448,111,25120
low,8,ee_velocity,0,0.9134728312492371,447,112,25183
low,8,ee_velocity,1,0.9083083868026733,447,112,25170
low,8,ee_velocity,2,0.912551760673523,447,112,25182
low,8,ee_velocity,3,0.9126734137535095,447,112,25181
low,8,ee_velocity,4,0.9125081896781921,448,111,25120
low,8,ee_acceleration,0,0.16945752501487732,447,112,25183
low,8,ee_acceleration,1,0.15649300813674927,447,112,25170
low,8,ee_acceleration,2,0.18256984651088715,447,112,25182
low,8,ee_acceleration,3,0.16292186081409454,447,112,25181
low,8,ee_acceleration,4,0.17035682499408722,448,111,25120
low,8,contact_flag,0,0.608313798904419,447,112,25183
low,8,contact_flag,1,0.6082834005355835,447,112,25170
low,8,contact_flag,2,0.6361490488052368,447,112,25182
low,8,contact_flag,3,0.643850564956665,447,112,25181
low,8,contact_flag,4,0.5585428476333618,448,111,25120
low,8,contact_force_log1p_mag,0,0.5549114942550659,447,112,25183
low,8,contact_force_log1p_mag,1,0.5940279960632324,447,112,25170
low,8,contact_force_log1p_mag,2,0.6135963201522827,447,112,25182
low,8,contact_force_log1p_mag,3,0.6191920042037964,447,112,25181
low,8,contact_force_log1p_mag,4,0.5472246408462524,448,111,25120
low,9,ee_velocity,0,0.9133502840995789,447,112,25183
low,9,ee_velocity,1,0.9112316370010376,447,112,25170
low,9,ee_velocity,2,0.9148139357566833,447,112,25182
low,9,ee_velocity,3,0.9136833548545837,447,112,25181
low,9,ee_velocity,4,0.9153169393539429,448,111,25120
low,9,ee_acceleration,0,0.16950871050357819,447,112,25183
low,9,ee_acceleration,1,0.15788531303405762,447,112,25170
low,9,ee_acceleration,2,0.18718938529491425,447,112,25182
low,9,ee_acceleration,3,0.17088516056537628,447,112,25181
low,9,ee_acceleration,4,0.17270596325397491,448,111,25120
low,9,contact_flag,0,0.6360920667648315,447,112,25183
low,9,contact_flag,1,0.6381295323371887,447,112,25170
low,9,contact_flag,2,0.6507565975189209,447,112,25182
low,9,contact_flag,3,0.6485308408737183,447,112,25181
low,9,contact_flag,4,0.5875816345214844,448,111,25120
low,9,contact_force_log1p_mag,0,0.597369372844696,447,112,25183
low,9,contact_force_log1p_mag,1,0.6232588291168213,447,112,25170
low,9,contact_force_log1p_mag,2,0.6307082772254944,447,112,25182
low,9,contact_force_log1p_mag,3,0.623140811920166,447,112,25181
low,9,contact_force_log1p_mag,4,0.5778882503509521,448,111,25120
low,10,ee_velocity,0,0.9196903705596924,447,112,25183
low,10,ee_velocity,1,0.9156454205513,447,112,25170
low,10,ee_velocity,2,0.9219127297401428,447,112,25182
low,10,ee_velocity,3,0.9205101728439331,447,112,25181
low,10,ee_velocity,4,0.920138418674469,448,111,25120
low,10,ee_acceleration,0,0.1843024492263794,447,112,25183
low,10,ee_acceleration,1,0.16937841475009918,447,112,25170
low,10,ee_acceleration,2,0.1938202977180481,447,112,25182
low,10,ee_acceleration,3,0.17857371270656586,447,112,25181
low,10,ee_acceleration,4,0.1831769049167633,448,111,25120
low,10,contact_flag,0,0.6397660970687866,447,112,25183
low,10,contact_flag,1,0.6412473917007446,447,112,25170
low,10,contact_flag,2,0.6550710797309875,447,112,25182
low,10,contact_flag,3,0.6627469062805176,447,112,25181
low,10,contact_flag,4,0.6068320274353027,448,111,25120
low,10,contact_force_log1p_mag,0,0.5982017517089844,447,112,25183
low,10,contact_force_log1p_mag,1,0.6264387369155884,447,112,25170
low,10,contact_force_log1p_mag,2,0.6350635290145874,447,112,25182
low,10,contact_force_log1p_mag,3,0.6321641206741333,447,112,25181
low,10,contact_force_log1p_mag,4,0.6039297580718994,448,111,25120
low,11,ee_velocity,0,0.9237030744552612,447,112,25183
low,11,ee_velocity,1,0.9168685078620911,447,112,25170
low,11,ee_velocity,2,0.9221131205558777,447,112,25182
low,11,ee_velocity,3,0.921405553817749,447,112,25181
low,11,ee_velocity,4,0.9232794046401978,448,111,25120
low,11,ee_acceleration,0,0.18053051829338074,447,112,25183
low,11,ee_acceleration,1,0.1682443618774414,447,112,25170
low,11,ee_acceleration,2,0.19462917745113373,447,112,25182
low,11,ee_acceleration,3,0.18438231945037842,447,112,25181
low,11,ee_acceleration,4,0.18627773225307465,448,111,25120
low,11,contact_flag,0,0.6475251913070679,447,112,25183
low,11,contact_flag,1,0.6413249969482422,447,112,25170
low,11,contact_flag,2,0.6585679650306702,447,112,25182
low,11,contact_flag,3,0.6705011129379272,447,112,25181
low,11,contact_flag,4,0.6092961430549622,448,111,25120
low,11,contact_force_log1p_mag,0,0.6122982501983643,447,112,25183
low,11,contact_force_log1p_mag,1,0.6301085948944092,447,112,25170
low,11,contact_force_log1p_mag,2,0.6326189637184143,447,112,25182
low,11,contact_force_log1p_mag,3,0.643982470035553,447,112,25181
low,11,contact_force_log1p_mag,4,0.6059233546257019,448,111,25120
low,12,ee_velocity,0,0.92256098985672,447,112,25183
low,12,ee_velocity,1,0.9155046343803406,447,112,25170
low,12,ee_velocity,2,0.9212719202041626,447,112,25182
low,12,ee_velocity,3,0.9218180775642395,447,112,25181
low,12,ee_velocity,4,0.9218549728393555,448,111,25120
low,12,ee_acceleration,0,0.19361479580402374,447,112,25183
low,12,ee_acceleration,1,0.17420126497745514,447,112,25170
low,12,ee_acceleration,2,0.20345444977283478,447,112,25182
low,12,ee_acceleration,3,0.19020791351795197,447,112,25181
low,12,ee_acceleration,4,0.19501592218875885,448,111,25120
low,12,contact_flag,0,0.6525102853775024,447,112,25183
low,12,contact_flag,1,0.6532922983169556,447,112,25170
low,12,contact_flag,2,0.6743803024291992,447,112,25182
low,12,contact_flag,3,0.6857216954231262,447,112,25181
low,12,contact_flag,4,0.6100314855575562,448,111,25120
low,12,contact_force_log1p_mag,0,0.6229968070983887,447,112,25183
low,12,contact_force_log1p_mag,1,0.6402870416641235,447,112,25170
low,12,contact_force_log1p_mag,2,0.6430187225341797,447,112,25182
low,12,contact_force_log1p_mag,3,0.6647026538848877,447,112,25181
low,12,contact_force_log1p_mag,4,0.6054072380065918,448,111,25120
low,13,ee_velocity,0,0.9298774003982544,447,112,25183
low,13,ee_velocity,1,0.9253787994384766,447,112,25170
low,13,ee_velocity,2,0.9290162920951843,447,112,25182
low,13,ee_velocity,3,0.9273185133934021,447,112,25181
low,13,ee_velocity,4,0.928482174873352,448,111,25120
low,13,ee_acceleration,0,0.21818038821220398,447,112,25183
low,13,ee_acceleration,1,0.19268730282783508,447,112,25170
low,13,ee_acceleration,2,0.2323204129934311,447,112,25182
low,13,ee_acceleration,3,0.21204757690429688,447,112,25181
low,13,ee_acceleration,4,0.21858347952365875,448,111,25120
low,13,contact_flag,0,0.6719970703125,447,112,25183
low,13,contact_flag,1,0.6611028909683228,447,112,25170
low,13,contact_flag,2,0.6777596473693848,447,112,25182
low,13,contact_flag,3,0.7024680376052856,447,112,25181
low,13,contact_flag,4,0.6347604990005493,448,111,25120
low,13,contact_force_log1p_mag,0,0.648695707321167,447,112,25183
low,13,contact_force_log1p_mag,1,0.6533292531967163,447,112,25170
