bin,layer,target,r2_mean,r2_std,n_episodes_in_bin,n_windows_in_bin,q33,q67
low,0,ee_velocity,-0.004704390186816454,0.0020221020674659426,808,104232,0.030254800000000002,0.046239920000000004
low,0,ee_acceleration,-0.0016414224868640304,0.0003206670956155863,808,104232,0.030254800000000002,0.046239920000000004
low,0,contact_flag,1.0,0.0,808,104232,0.030254800000000002,0.046239920000000004
low,0,contact_force_log1p_mag,0.027542734146118165,0.0059957640908866626,808,104232,0.030254800000000002,0.046239920000000004
low,1,ee_velocity,-0.0029060366563498975,0.010689411965433228,808,104232,0.030254800000000002,0.046239920000000004
low,1,ee_acceleration,0.002129351417534053,0.0010577614104877399,808,104232,0.030254800000000002,0.046239920000000004
low,1,contact_flag,1.0,0.0,808,104232,0.030254800000000002,0.046239920000000004
low,1,contact_force_log1p_mag,0.025658583641052245,0.004728441296044477,808,104232,0.030254800000000002,0.046239920000000004
low,2,ee_velocity,0.0024376199580729008,0.008979369699541105,808,104232,0.030254800000000002,0.046239920000000004
low,2,ee_acceleration,0.0037935341009870172,0.0017521106189754521,808,104232,0.030254800000000002,0.046239920000000004
low,2,contact_flag,1.0,0.0,808,104232,0.030254800000000002,0.046239920000000004
low,2,contact_force_log1p_mag,0.023103487491607667,0.0070463090965760455,808,104232,0.030254800000000002,0.046239920000000004
low,3,ee_velocity,0.00961407539434731,0.008675378783409508,808,104232,0.030254800000000002,0.046239920000000004
low,3,ee_acceleration,0.004300782899372279,0.001977947145691013,808,104232,0.030254800000000002,0.046239920000000004
low,3,contact_flag,1.0,0.0,808,104232,0.030254800000000002,0.046239920000000004
low,3,contact_force_log1p_mag,0.027563655376434328,0.009498154975025937,808,104232,0.030254800000000002,0.046239920000000004
low,4,ee_velocity,0.019540949910879134,0.00827005911385845,808,104232,0.030254800000000002,0.046239920000000004
low,4,ee_acceleration,0.006981293298304081,0.0018271359721278339,808,104232,0.030254800000000002,0.046239920000000004
low,4,contact_flag,1.0,0.0,808,104232,0.030254800000000002,0.046239920000000004
low,4,contact_force_log1p_mag,0.03922576904296875,0.008878995841243098,808,104232,0.030254800000000002,0.046239920000000004
low,5,ee_velocity,0.046128639578819276,0.011770650745481507,808,104232,0.030254800000000002,0.046239920000000004
low,5,ee_acceleration,0.012701902538537979,0.002666244892821137,808,104232,0.030254800000000002,0.046239920000000004
low,5,contact_flag,1.0,0.0,808,104232,0.030254800000000002,0.046239920000000004
low,5,contact_force_log1p_mag,0.04214038848876953,0.007317503361827179,808,104232,0.030254800000000002,0.046239920000000004
low,6,ee_velocity,0.05111536718904972,0.012773522834751878,808,104232,0.030254800000000002,0.046239920000000004
low,6,ee_acceleration,0.015368033014237881,0.00308381197507636,808,104232,0.030254800000000002,0.046239920000000004
low,6,contact_flag,1.0,0.0,808,104232,0.030254800000000002,0.046239920000000004
low,6,contact_force_log1p_mag,0.04580645561218262,0.005217661405178066,808,104232,0.030254800000000002,0.046239920000000004
low,7,ee_velocity,0.07296760827302932,0.01377353627803733,808,104232,0.030254800000000002,0.046239920000000004
low,7,ee_acceleration,0.01776525378227234,0.0021181291146036094,808,104232,0.030254800000000002,0.046239920000000004
