bin,layer,target,fold,r2,n_train_episodes,n_test_episodes,n_test_windows
low,4,contact_flag,2,0.7183035612106323,898,225,40087
low,4,contact_flag,3,0.596092700958252,898,225,40064
low,4,contact_flag,4,0.7473512887954712,899,224,40058
low,4,contact_force_log1p_mag,0,0.7750014662742615,899,224,40070
low,4,contact_force_log1p_mag,1,0.6814388036727905,898,225,40081
low,4,contact_force_log1p_mag,2,0.7323598265647888,898,225,40087
low,4,contact_force_log1p_mag,3,0.6055853366851807,898,225,40064
low,4,contact_force_log1p_mag,4,0.7706916332244873,899,224,40058
low,5,ee_velocity,0,0.8840638399124146,899,224,40070
low,5,ee_velocity,1,0.8819152116775513,898,225,40081
low,5,ee_velocity,2,0.877831220626831,898,225,40087
low,5,ee_velocity,3,0.8789215683937073,898,225,40064
low,5,ee_velocity,4,0.8871839642524719,899,224,40058
low,5,ee_acceleration,0,0.29632166028022766,899,224,40070
low,5,ee_acceleration,1,0.2814739942550659,898,225,40081
low,5,ee_acceleration,2,0.2831036448478699,898,225,40087
low,5,ee_acceleration,3,0.28505295515060425,898,225,40064
low,5,ee_acceleration,4,0.3086647093296051,899,224,40058
low,5,contact_flag,0,0.7733058333396912,899,224,40070
low,5,contact_flag,1,0.700971245765686,898,225,40081
low,5,contact_flag,2,0.7413359880447388,898,225,40087
low,5,contact_flag,3,0.6280428767204285,898,225,40064
low,5,contact_flag,4,0.7648314833641052,899,224,40058
low,5,contact_force_log1p_mag,0,0.789280891418457,899,224,40070
low,5,contact_force_log1p_mag,1,0.7154130935668945,898,225,40081
low,5,contact_force_log1p_mag,2,0.7571405172348022,898,225,40087
low,5,contact_force_log1p_mag,3,0.6348632574081421,898,225,40064
low,5,contact_force_log1p_mag,4,0.7844421863555908,899,224,40058
low,6,ee_velocity,0,0.900947093963623,899,224,40070
low,6,ee_velocity,1,0.8960347771644592,898,225,40081
low,6,ee_velocity,2,0.8943008780479431,898,225,40087
low,6,ee_velocity,3,0.8962469100952148,898,225,40064
low,6,ee_velocity,4,0.9052961468696594,899,224,40058
low,6,ee_acceleration,0,0.3230143189430237,899,224,40070
low,6,ee_acceleration,1,0.3051098585128784,898,225,40081
low,6,ee_acceleration,2,0.3074353039264679,898,225,40087
low,6,ee_acceleration,3,0.3113672137260437,898,225,40064
low,6,ee_acceleration,4,0.341529905796051,899,224,40058
low,6,contact_flag,0,0.7802184820175171,899,224,40070
low,6,contact_flag,1,0.7248026728630066,898,225,40081
low,6,contact_flag,2,0.762817919254303,898,225,40087
low,6,contact_flag,3,0.6570870280265808,898,225,40064
low,6,contact_flag,4,0.7849831581115723,899,224,40058
low,6,contact_force_log1p_mag,0,0.7967509031295776,899,224,40070
low,6,contact_force_log1p_mag,1,0.7383448481559753,898,225,40081
low,6,contact_force_log1p_mag,2,0.7749332189559937,898,225,40087
low,6,contact_force_log1p_mag,3,0.662727952003479,898,225,40064
low,6,contact_force_log1p_mag,4,0.8094771504402161,899,224,40058
low,7,ee_velocity,0,0.9113979339599609,899,224,40070
low,7,ee_velocity,1,0.9069708585739136,898,225,40081
low,7,ee_velocity,2,0.9054623246192932,898,225,40087
low,7,ee_velocity,3,0.9070414304733276,898,225,40064
low,7,ee_velocity,4,0.9152646660804749,899,224,40058
low,7,ee_acceleration,0,0.344081312417984,899,224,40070
low,7,ee_acceleration,1,0.3325711488723755,898,225,40081
low,7,ee_acceleration,2,0.3406507968902588,898,225,40087
low,7,ee_acceleration,3,0.3431840240955353,898,225,40064
low,7,ee_acceleration,4,0.37563493847846985,899,224,40058
low,7,contact_flag,0,0.7948817014694214,899,224,40070
low,7,contact_flag,1,0.7377065420150757,898,225,40081
low,7,contact_flag,2,0.7727329730987549,898,225,40087
low,7,contact_flag,3,0.6661301851272583,898,225,40064
low,7,contact_flag,4,0.7901312112808228,899,224,40058
low,7,contact_force_log1p_mag,0,0.8045779466629028,899,224,40070
low,7,contact_force_log1p_mag,1,0.7473211288452148,898,225,40081
low,7,contact_force_log1p_mag,2,0.786834180355072,898,225,40087
low,7,contact_force_log1p_mag,3,0.6669906377792358,898,225,40064
low,7,contact_force_log1p_mag,4,0.8086892366409302,899,224,40058
low,8,ee_velocity,0,0.904967725276947,899,224,40070
low,8,ee_velocity,1,0.9009863138198853,898,225,40081
low,8,ee_velocity,2,0.9016278982162476,898,225,40087
low,8,ee_velocity,3,0.9017367959022522,898,225,40064
low,8,ee_velocity,4,0.9103498458862305,899,224,40058
low,8,ee_acceleration,0,0.34327319264411926,899,224,40070
low,8,ee_acceleration,1,0.3297193646430969,898,225,40081
low,8,ee_acceleration,2,0.3329755663871765,898,225,40087
low,8,ee_acceleration,3,0.33842024207115173,898,225,40064
low,8,ee_acceleration,4,0.36779657006263733,899,224,40058
low,8,contact_flag,0,0.7922041416168213,899,224,40070
low,8,contact_flag,1,0.7498895525932312,898,225,40081
low,8,contact_flag,2,0.7825162410736084,898,225,40087
low,8,contact_flag,3,0.6862622499465942,898,225,40064
low,8,contact_flag,4,0.7955640554428101,899,224,40058
low,8,contact_force_log1p_mag,0,0.8093034029006958,899,224,40070
low,8,contact_force_log1p_mag,1,0.7643721103668213,898,225,40081
low,8,contact_force_log1p_mag,2,0.8020169734954834,898,225,40087
low,8,contact_force_log1p_mag,3,0.7009698748588562,898,225,40064
low,8,contact_force_log1p_mag,4,0.8130170106887817,899,224,40058
low,9,ee_velocity,0,0.9088439345359802,899,224,40070
low,9,ee_velocity,1,0.9056823253631592,898,225,40081
low,9,ee_velocity,2,0.9004091024398804,898,225,40087
low,9,ee_velocity,3,0.902421236038208,898,225,40064
low,9,ee_velocity,4,0.9124550819396973,899,224,40058
low,9,ee_acceleration,0,0.3482246398925781,899,224,40070
low,9,ee_acceleration,1,0.33950376510620117,898,225,40081
low,9,ee_acceleration,2,0.3372666537761688,898,225,40087
low,9,ee_acceleration,3,0.3456989824771881,898,225,40064
low,9,ee_acceleration,4,0.37188950181007385,899,224,40058
low,9,contact_flag,0,0.7999369502067566,899,224,40070
low,9,contact_flag,1,0.7651919722557068,898,225,40081
low,9,contact_flag,2,0.790499210357666,898,225,40087
low,9,contact_flag,3,0.6970150470733643,898,225,40064
low,9,contact_flag,4,0.8062090873718262,899,224,40058
low,9,contact_force_log1p_mag,0,0.8177224397659302,899,224,40070
low,9,contact_force_log1p_mag,1,0.783893346786499,898,225,40081
low,9,contact_force_log1p_mag,2,0.8141805529594421,898,225,40087
low,9,contact_force_log1p_mag,3,0.7130733728408813,898,225,40064
low,9,contact_force_log1p_mag,4,0.8251373767852783,899,224,40058
low,10,ee_velocity,0,0.9162435531616211,899,224,40070
low,10,ee_velocity,1,0.9110650420188904,898,225,40081
low,10,ee_velocity,2,0.9067961573600769,898,225,40087
low,10,ee_velocity,3,0.9070631861686707,898,225,40064
low,10,ee_velocity,4,0.9180757999420166,899,224,40058
low,10,ee_acceleration,0,0.36951518058776855,899,224,40070
low,10,ee_acceleration,1,0.35489559173583984,898,225,40081
low,10,ee_acceleration,2,0.3537803590297699,898,225,40087
low,10,ee_acceleration,3,0.3628973662853241,898,225,40064
low,10,ee_acceleration,4,0.3851465582847595,899,224,40058
low,10,contact_flag,0,0.8092645406723022,899,224,40070
low,10,contact_flag,1,0.7688839435577393,898,225,40081
low,10,contact_flag,2,0.7973507642745972,898,225,40087
low,10,contact_flag,3,0.6991599202156067,898,225,40064
low,10,contact_flag,4,0.8111221790313721,899,224,40058
low,10,contact_force_log1p_mag,0,0.8275170922279358,899,224,40070
low,10,contact_force_log1p_mag,1,0.7858968377113342,898,225,40081
low,10,contact_force_log1p_mag,2,0.8208934664726257,898,225,40087
low,10,contact_force_log1p_mag,3,0.715172290802002,898,225,40064
low,10,contact_force_log1p_mag,4,0.8308277726173401,899,224,40058
low,11,ee_velocity,0,0.9175518751144409,899,224,40070
low,11,ee_velocity,1,0.9140102863311768,898,225,40081
low,11,ee_velocity,2,0.9110168814659119,898,225,40087
low,11,ee_velocity,3,0.9091628193855286,898,225,40064
low,11,ee_velocity,4,0.9214586019515991,899,224,40058
low,11,ee_acceleration,0,0.3711741268634796,899,224,40070
low,11,ee_acceleration,1,0.3576016128063202,898,225,40081
low,11,ee_acceleration,2,0.3551179766654968,898,225,40087
low,11,ee_acceleration,3,0.3647904098033905,898,225,40064
low,11,ee_acceleration,4,0.38764119148254395,899,224,40058
low,11,contact_flag,0,0.8055762648582458,899,224,40070
low,11,contact_flag,1,0.770093560218811,898,225,40081
low,11,contact_flag,2,0.7957577109336853,898,225,40087
low,11,contact_flag,3,0.6891713738441467,898,225,40064
low,11,contact_flag,4,0.8094692230224609,899,224,40058
low,11,contact_force_log1p_mag,0,0.8247487545013428,899,224,40070
low,11,contact_force_log1p_mag,1,0.7875708937644958,898,225,40081
low,11,contact_force_log1p_mag,2,0.8153322339057922,898,225,40087
low,11,contact_force_log1p_mag,3,0.7043412923812866,898,225,40064
low,11,contact_force_log1p_mag,4,0.8283057808876038,899,224,40058
low,12,ee_velocity,0,0.9193359017372131,899,224,40070
low,12,ee_velocity,1,0.9139484763145447,898,225,40081
low,12,ee_velocity,2,0.9112963676452637,898,225,40087
