task,layer,variable,var_type,r2_mean,r2_std,n_samples
push,5,ee_to_object_distance,dynamic,0.367735,0.032308,1500
push,5,object_to_target_distance,dynamic,0.0,0.0,1500
push,5,object_on_surface,dynamic,0.506068,0.076428,1500
push,5,contact_flag,dynamic,0.0,0.0,1500
push,5,contact_force,dynamic,0.0,0.0,1500
push,5,phase,dynamic,0.0,0.0,1500
push,6,object_0_mass,static,0.115296,0.039,1500
push,6,object_0_static_friction,static,0.007523,0.012858,1500
push,6,object_0_dynamic_friction,static,0.047648,0.024166,1500
push,6,surface_static_friction,static,0.048479,0.031771,1500
push,6,surface_dynamic_friction,static,0.148237,0.041488,1500
push,6,ee_velocity,dynamic,0.969163,0.003465,1500
push,6,ee_acceleration,dynamic,0.656129,0.037503,1500
push,6,ee_angular_velocity,dynamic,0.933885,0.016635,1500
push,6,object_velocity,dynamic,0.339325,0.338479,1500
push,6,object_acceleration,dynamic,0.475429,0.039165,1500
push,6,object_angular_velocity,dynamic,0.421108,0.091056,1500
push,6,ee_to_object_distance,dynamic,0.356025,0.015947,1500
push,6,object_to_target_distance,dynamic,0.0,0.0,1500
push,6,object_on_surface,dynamic,0.563325,0.049597,1500
push,6,contact_flag,dynamic,0.0,0.0,1500
push,6,contact_force,dynamic,0.0,0.0,1500
push,6,phase,dynamic,0.0,0.0,1500
push,7,object_0_mass,static,0.124842,0.044766,1500
push,7,object_0_static_friction,static,0.014612,0.00997,1500
push,7,object_0_dynamic_friction,static,0.04329,0.029665,1500
push,7,surface_static_friction,static,0.049891,0.030056,1500
push,7,surface_dynamic_friction,static,0.155633,0.038294,1500
push,7,ee_velocity,dynamic,0.970389,0.004438,1500
push,7,ee_acceleration,dynamic,0.661467,0.034394,1500
push,7,ee_angular_velocity,dynamic,0.935879,0.018088,1500
push,7,object_velocity,dynamic,0.356729,0.32783,1500
push,7,object_acceleration,dynamic,0.486882,0.042017,1500
push,7,object_angular_velocity,dynamic,0.435338,0.093769,1500
push,7,ee_to_object_distance,dynamic,0.445979,0.02443,1500
push,7,object_to_target_distance,dynamic,0.0,0.0,1500
push,7,object_on_surface,dynamic,0.56882,0.046616,1500
push,7,contact_flag,dynamic,0.0,0.0,1500
push,7,contact_force,dynamic,0.0,0.0,1500
push,7,phase,dynamic,0.0,0.0,1500
push,8,object_0_mass,static,0.129923,0.04083,1500
push,8,object_0_static_friction,static,0.021119,0.008146,1500
push,8,object_0_dynamic_friction,static,0.047196,0.023779,1500
push,8,surface_static_friction,static,0.051258,0.030836,1500
push,8,surface_dynamic_friction,static,0.154873,0.036752,1500
push,8,ee_velocity,dynamic,0.970868,0.004413,1500
push,8,ee_acceleration,dynamic,0.659858,0.034215,1500
push,8,ee_angular_velocity,dynamic,0.938978,0.014322,1500
push,8,object_velocity,dynamic,0.359142,0.32018,1500
push,8,object_acceleration,dynamic,0.486193,0.04262,1500
push,8,object_angular_velocity,dynamic,0.454538,0.086007,1500
push,8,ee_to_object_distance,dynamic,0.466977,0.018778,1500
push,8,object_to_target_distance,dynamic,0.0,0.0,1500
push,8,object_on_surface,dynamic,0.567281,0.0527,1500
push,8,contact_flag,dynamic,0.0,0.0,1500
push,8,contact_force,dynamic,0.0,0.0,1500
push,8,phase,dynamic,0.0,0.0,1500
push,9,object_0_mass,static,0.124655,0.044596,1500
push,9,object_0_static_friction,static,0.013356,0.009733,1500
push,9,object_0_dynamic_friction,static,0.046149,0.024815,1500
push,9,surface_static_friction,static,0.045304,0.031374,1500
push,9,surface_dynamic_friction,static,0.148115,0.037275,1500
push,9,ee_velocity,dynamic,0.972357,0.004954,1500
push,9,ee_acceleration,dynamic,0.676312,0.035281,1500
push,9,ee_angular_velocity,dynamic,0.940782,0.014629,1500
push,9,object_velocity,dynamic,0.372325,0.365045,1500
push,9,object_acceleration,dynamic,0.500511,0.044442,1500
push,9,object_angular_velocity,dynamic,0.483476,0.081634,1500
push,9,ee_to_object_distance,dynamic,0.45808,0.024055,1500
push,9,object_to_target_distance,dynamic,0.0,0.0,1500
push,9,object_on_surface,dynamic,0.574277,0.055143,1500
push,9,contact_flag,dynamic,0.0,0.0,1500
push,9,contact_force,dynamic,0.0,0.0,1500
push,9,phase,dynamic,0.0,0.0,1500
push,10,object_0_mass,static,0.130725,0.043039,1500
push,10,object_0_static_friction,static,0.002311,0.012281,1500
push,10,object_0_dynamic_friction,static,0.039849,0.01937,1500
push,10,surface_static_friction,static,0.037996,0.036525,1500
push,10,surface_dynamic_friction,static,0.142362,0.036698,1500
push,10,ee_velocity,dynamic,0.974814,0.003757,1500
push,10,ee_acceleration,dynamic,0.686544,0.047931,1500
push,10,ee_angular_velocity,dynamic,0.944118,0.013541,1500
push,10,object_velocity,dynamic,0.414005,0.34261,1500
push,10,object_acceleration,dynamic,0.52086,0.038014,1500
push,10,object_angular_velocity,dynamic,0.512312,0.070566,1500
push,10,ee_to_object_distance,dynamic,0.53843,0.022701,1500
push,10,object_to_target_distance,dynamic,0.0,0.0,1500
push,10,object_on_surface,dynamic,0.587613,0.054108,1500
push,10,contact_flag,dynamic,0.0,0.0,1500
push,10,contact_force,dynamic,0.0,0.0,1500
push,10,phase,dynamic,0.0,0.0,1500
push,11,object_0_mass,static,0.135227,0.043617,1500
push,11,object_0_static_friction,static,0.003504,0.015897,1500
push,11,object_0_dynamic_friction,static,0.037504,0.021291,1500
push,11,surface_static_friction,static,0.033724,0.040866,1500
push,11,surface_dynamic_friction,static,0.134746,0.033039,1500
push,11,ee_velocity,dynamic,0.974858,0.00357,1500
push,11,ee_acceleration,dynamic,0.687184,0.051392,1500
push,11,ee_angular_velocity,dynamic,0.947076,0.014013,1500
push,11,object_velocity,dynamic,0.420026,0.328989,1500
push,11,object_acceleration,dynamic,0.524982,0.037606,1500
push,11,object_angular_velocity,dynamic,0.522265,0.058651,1500
push,11,ee_to_object_distance,dynamic,0.533083,0.023201,1500
push,11,object_to_target_distance,dynamic,0.0,0.0,1500
push,11,object_on_surface,dynamic,0.587425,0.063883,1500
push,11,contact_flag,dynamic,0.0,0.0,1500
push,11,contact_force,dynamic,0.0,0.0,1500
push,11,phase,dynamic,0.0,0.0,1500
push,12,object_0_mass,static,0.13561,0.039335,1500
push,12,object_0_static_friction,static,0.006138,0.01348,1500
push,12,object_0_dynamic_friction,static,0.040952,0.017927,1500
