layer,fold,best_lr,best_wd,r2,mse,n_test_windows,cos_sim_mean
0,0,9.999999747378752e-05,0.800000011920929,-0.06041298434138298,0.29419657588005066,64499,0.37005943059921265
0,1,0.003000000026077032,0.10000000149011612,-0.018946755677461624,0.28425055742263794,64499,0.388530433177948
0,2,0.003000000026077032,0.4000000059604645,-0.014143139123916626,0.283764123916626,64499,0.3926593065261841
0,3,0.0010000000474974513,0.800000011920929,-0.011933961883187294,0.28584906458854675,64499,0.38356149196624756
0,4,0.004999999888241291,0.10000000149011612,-0.02121194824576378,0.28475138545036316,64499,0.3938301205635071
1,0,9.999999747378752e-05,0.800000011920929,-0.6712388396263123,0.46365922689437866,64499,0.19432136416435242
1,1,0.004999999888241291,0.009999999776482582,-3.4511733055114746,1.2417259216308594,64499,0.10225452482700348
1,2,0.0010000000474974513,0.10000000149011612,-0.1052749902009964,0.3092655539512634,64499,0.3413795232772827
1,3,9.999999747378752e-05,0.4000000059604645,-0.8863364458084106,0.5328486561775208,64499,0.20469596982002258
1,4,0.003000000026077032,0.800000011920929,-0.43269747495651245,0.3994889557361603,64499,0.26680684089660645
2,0,0.0010000000474974513,0.800000011920929,0.003864048048853874,0.27636417746543884,64499,0.41442233324050903
2,1,0.003000000026077032,0.800000011920929,0.00306790042668581,0.27810969948768616,64499,0.4086543619632721
2,2,0.0003000000142492354,0.800000011920929,0.005374136846512556,0.27830439805984497,64499,0.4071754217147827
2,3,9.999999747378752e-05,0.800000011920929,0.00016241881530731916,0.28243252635002136,64499,0.3934665024280548
2,4,0.003000000026077032,0.800000011920929,0.002772335195913911,0.2780638635158539,64499,0.4096143841743469
3,0,0.0003000000142492354,0.800000011920929,0.005047349724918604,0.2760353982448578,64499,0.4152693748474121
3,1,0.003000000026077032,0.800000011920929,0.0034660447854548693,0.27799728512763977,64499,0.40867581963539124
3,2,0.003000000026077032,0.800000011920929,0.004229361191391945,0.2786239981651306,64499,0.40637731552124023
3,3,0.0010000000474974513,0.800000011920929,-0.000569335010368377,0.28263989090919495,64499,0.39411863684654236
3,4,0.0010000000474974513,0.800000011920929,0.0015864319866523147,0.27839455008506775,64499,0.40837183594703674
4,0,9.999999747378752e-05,0.800000011920929,0.011065758764743805,0.27436545491218567,64499,0.4209345281124115
4,1,0.003000000026077032,0.800000011920929,0.010421848855912685,0.27605774998664856,64499,0.4149094223976135
4,2,0.0010000000474974513,0.800000011920929,0.012277081608772278,0.27637287974357605,64499,0.4146541953086853
4,3,0.003000000026077032,0.800000011920929,0.006191117223352194,0.28072839975357056,64499,0.4002012014389038
4,4,9.999999747378752e-05,0.800000011920929,0.010130221955478191,0.2760128080844879,64499,0.4161539673805237
5,0,0.0010000000474974513,0.800000011920929,0.014423884451389313,0.27343422174453735,64499,0.42402365803718567
5,1,0.003000000026077032,0.800000011920929,0.013478751294314861,0.27520525455474854,64499,0.4173150062561035
5,2,0.004999999888241291,0.800000011920929,0.016629882156848907,0.27515366673469543,64499,0.41822513937950134
5,3,9.999999747378752e-05,0.800000011920929,0.01106937974691391,0.27935126423835754,64499,0.40430137515068054
5,4,9.999999747378752e-05,0.800000011920929,0.013791737146675587,0.2749912142753601,64499,0.41976386308670044
6,0,0.0010000000474974513,0.800000011920929,0.012824011035263538,0.27387741208076477,64499,0.4220716059207916
6,1,0.0003000000142492354,0.800000011920929,0.012811318971216679,0.2753910720348358,64499,0.41688230633735657
6,2,0.003000000026077032,0.800000011920929,0.015997901558876038,0.2753308415412903,64499,0.4178638458251953
6,3,0.0003000000142492354,0.4000000059604645,0.008604583330452442,0.28004640340805054,64499,0.4026468098163605
6,4,9.999999747378752e-05,0.800000011920929,0.01326785609126091,0.27513831853866577,64499,0.41954055428504944
7,0,0.003000000026077032,0.800000011920929,0.013322822749614716,0.2737399637699127,64499,0.4220837652683258
7,1,9.999999747378752e-05,0.4000000059604645,0.011763380840420723,0.27568402886390686,64499,0.41684645414352417
7,2,0.003000000026077032,0.800000011920929,0.01896337978541851,0.2745016813278198,64499,0.4202338755130768
7,3,0.004999999888241291,0.4000000059604645,0.007495480123907328,0.28035834431648254,64499,0.40208005905151367
7,4,0.003000000026077032,0.800000011920929,0.01284031942486763,0.27525776624679565,64499,0.41956695914268494
8,0,0.003000000026077032,0.800000011920929,-2.605956554412842,1.0004184246063232,64499,0.11283037066459656
8,1,0.0003000000142492354,0.800000011920929,-2.5448920726776123,0.9889052510261536,64499,0.06990201026201248
8,2,9.999999747378752e-05,0.800000011920929,-1.9391322135925293,0.8223923444747925,64499,0.16280777752399445
8,3,0.0010000000474974513,0.800000011920929,-0.5351219177246094,0.4336410164833069,64499,0.23360887169837952
8,4,9.999999747378752e-05,0.10000000149011612,-11.441747665405273,3.469228506088257,64499,0.0677163302898407
9,0,0.003000000026077032,0.4000000059604645,0.011021757498383522,0.2743780314922333,64499,0.4218366742134094
9,1,0.0003000000142492354,0.800000011920929,0.0060676103457808495,0.2772728502750397,64499,0.41471534967422485
9,2,0.0010000000474974513,0.800000011920929,-0.003203493310138583,0.2807040810585022,64499,0.4075072407722473
9,3,0.003000000026077032,0.10000000149011612,-0.28397831320762634,0.36269497871398926,64499,0.3012988269329071
9,4,0.004999999888241291,0.4000000059604645,0.005304440855979919,0.27735790610313416,64499,0.41316813230514526
10,0,0.003000000026077032,0.4000000059604645,-1.1370677947998047,0.5928990840911865,64499,0.1994570940732956
10,1,0.004999999888241291,0.009999999776482582,-5.785834312438965,1.8930169343948364,64499,0.0700327530503273
10,2,0.003000000026077032,0.10000000149011612,-1.257273554801941,0.6316004991531372,64499,0.1770096868276596
10,3,0.003000000026077032,0.4000000059604645,-2.837735652923584,1.0840765237808228,64499,0.14647109806537628
10,4,0.003000000026077032,0.4000000059604645,-1.1351921558380127,0.5953705906867981,64499,0.17546050250530243
11,0,9.999999747378752e-05,0.800000011920929,-0.04604772478342056,0.29021117091178894,64499,0.389565646648407
11,1,9.999999747378752e-05,0.4000000059604645,-2.2198379039764404,0.8982255458831787,64499,0.12244006991386414
11,2,0.0003000000142492354,0.800000011920929,-4.9190545082092285,1.6561970710754395,64499,0.07247154414653778
11,3,9.999999747378752e-05,0.4000000059604645,-6.370060920715332,2.081876277923584,64499,0.09200010448694229
11,4,0.0003000000142492354,0.800000011920929,-7.886957168579102,2.4780187606811523,64499,0.06543658673763275
12,0,0.003000000026077032,0.4000000059604645,0.014517405070364475,0.2734072208404541,64499,0.4247874319553375
12,1,0.0010000000474974513,0.800000011920929,0.01094202883541584,0.275912880897522,64499,0.4158243238925934
