target,layer,r2_mean,r2_std,mse_mean,mse_std
ee_accel_mag,0,0.011812162399291958,0.005487087804192332,0.00065877685556184,2.558791179572379e-05
ee_accel_mag,1,0.04797948598861694,0.12871915250257254,0.0006349733448586801,9.12355303336998e-05
ee_accel_mag,2,0.20056210756301876,0.013036829786073782,0.00053271087817842,1.3477742040847047e-05
ee_accel_mag,3,0.23200279474258417,0.017780677872514507,0.0005116680869832,1.0952943137615807e-05
ee_accel_mag,4,0.2736115217208862,0.015314420220012786,0.00048398546059608,1.1545389612591291e-05
ee_accel_mag,5,0.28091981410980227,0.03702441586246153,0.0004797492700163,3.8331080400622726e-05
ee_accel_mag,6,0.3120372772216797,0.013505421239513806,0.00045844486448906,1.3450335006621961e-05
ee_accel_mag,7,0.3187022805213928,0.01709731456498469,0.00045388971338974004,9.763105293774037e-06
ee_accel_mag,8,0.1795710802078247,0.22287724969500508,0.0005452817480545,0.00013995840168935734
ee_accel_mag,9,0.3550721645355225,0.016593271802608254,0.00042962208390230004,7.1549665613818275e-06
ee_accel_mag,10,-0.32110474109649656,0.8261224381664356,0.0008726271160412,0.0005378785150615255
ee_accel_mag,11,-0.023575747013092063,0.3953166385394668,0.0006876590952742199,0.00028665447691225617
ee_accel_mag,12,0.35822501182556155,0.017797463403368907,0.00042749458225435996,6.422940156164806e-06
ee_accel_mag,13,0.35951265096664425,0.017475491562451508,0.00042667487286958,8.751844410838701e-06
ee_accel_mag,14,0.364007818698883,0.015082243955922836,0.0004237221786752,9.357827777376304e-06
ee_accel_mag,15,0.37313697338104246,0.015307509394291175,0.00041763124754648,9.056698799619406e-06
ee_accel_mag,16,0.36917551755905154,0.018023205090044115,0.00042024424183174,9.6325074937497e-06
ee_accel_mag,17,0.37986664772033685,0.01634468201700011,0.00041311257518824,7.802935084756257e-06
ee_accel_mag,18,0.38042608499526975,0.016173066259382897,0.0004127540683839,8.545463835330664e-06
ee_accel_mag,19,0.3802905917167664,0.012968953079518867,0.00041290366207244,9.602527376606727e-06
ee_accel_mag,20,0.38135497570037835,0.01712449048196283,0.00041215177625412004,1.0193301107912854e-05
ee_accel_mag,21,0.3757437109947205,0.019187479546175345,0.00041582489502609997,8.260360878125848e-06
ee_accel_mag,22,0.37806159257888794,0.016928544874244715,0.00041432826546948,9.076553377161866e-06
ee_accel_mag,23,0.3707016944885254,0.016748550016185783,0.00041925375699060005,1.0073076718218377e-05
ee_acceleration,0,-0.022973054181784358,0.022510646228026402,0.0004683038743678,1.98354390337699e-05
ee_acceleration,1,-0.3967083185911178,0.35030374092141414,0.00064056575065476,0.0001699019434241402
ee_acceleration,2,0.01346833165735,0.0023069475730495602,0.00045150747173462,1.1464888870477437e-05
ee_acceleration,3,0.0207865677773952,0.0029073389245486336,0.00044815043220292,1.102033256816191e-05
ee_acceleration,4,0.03790484517812724,0.003764390471743493,0.00044030795106659996,1.0485331075207797e-05
ee_acceleration,5,0.04541367590427394,0.0038134011188898365,0.00043687209836201996,1.042902239861367e-05
ee_acceleration,6,0.04943005517125126,0.0055361789415657395,0.00043501598411234003,9.63980699148966e-06
ee_acceleration,7,0.05400366559624666,0.005610465176326914,0.0004329193849116,9.359556733590349e-06
ee_acceleration,8,-9.22200540304184,10.616052351705086,0.00477426241850476,0.005019616618618118
ee_acceleration,9,0.034130042605102,0.021752604499057575,0.00044189402833578003,7.260859247772176e-06
ee_acceleration,10,-28.34992289543152,51.715842027426206,0.013073066342622,0.022798497956814677
ee_acceleration,11,-5.8943463325500485,4.71841519021047,0.0031151644187047403,0.002044345419274142
ee_acceleration,12,0.05939778164029116,0.012440140619777358,0.00043046777136617994,1.1413523025855613e-05
ee_acceleration,13,0.042298115545418055,0.028473670345811476,0.00043809954659077997,7.571156354640751e-06
ee_acceleration,14,0.06043870598077772,0.015327388103434529,0.00042989064240824004,6.266090860803624e-06
ee_acceleration,15,0.06928551271557806,0.008330871747817884,0.00042590291704980006,8.28190492327392e-06
ee_acceleration,16,0.07072738558053963,0.005590124649448282,0.00042526751640248,9.30705757470391e-06
ee_acceleration,17,0.05677843317389488,0.04336003656843045,0.00043196855112906005,2.9049305552543783e-05
ee_acceleration,18,0.056841929256916,0.047882356842380555,0.00043130352860312,1.424063193301661e-05
ee_acceleration,19,0.018186859786510436,0.12313010854872515,0.00044976925710209995,6.213327913950026e-05
ee_acceleration,20,0.0797123193740844,0.008587624601571517,0.00042112327064383994,7.737769977297093e-06
ee_acceleration,21,0.0763158321380615,0.007136333431498891,0.00042270548874507994,9.199712854126273e-06
ee_acceleration,22,0.05961585482582445,0.034878837088627976,0.00043019592412744,1.2717551640397265e-05
ee_acceleration,23,0.04070550277829168,0.03923269474118139,0.00043893820838995996,1.8051937372708615e-05
ee_direction,0,-0.0791369508951902,0.14288332715607777,0.35912181735038756,0.04747890089727645
ee_direction,1,-1.847486075013876,1.6073247905547496,0.9475491464138031,0.5347394070498578
ee_direction,2,0.0016036431072279402,0.0003545558485975867,0.3322591304779053,0.00015760961871770567
ee_direction,3,0.00307866432704028,0.0010553030090647432,0.33176811337471007,0.00033818960358216724
