claim,task,target,layer,src_task,tgt_task,param,n_episodes_or_folds,mean,ci_lo,ci_hi,p_value,method
F5_delta_r2,push,ee_velocity,0,,,,5,0.034595710039138784,0.02568635344505312,0.04517627358436581,0.000999000999000999,bootstrap_diff_paired_over_folds
F5_delta_r2,push,ee_velocity,1,,,,5,0.26354451179504396,0.24900409370660784,0.2750692984461785,0.000999000999000999,bootstrap_diff_paired_over_folds
F5_delta_r2,push,ee_velocity,2,,,,5,0.30797110199928285,0.28169946491718295,0.328790670633316,0.000999000999000999,bootstrap_diff_paired_over_folds
F5_delta_r2,push,ee_velocity,3,,,,5,0.28855289816856383,0.2715903878211975,0.29907532334327697,0.000999000999000999,bootstrap_diff_paired_over_folds
F5_delta_r2,push,ee_velocity,4,,,,5,0.29862008094787595,0.2780208349227905,0.3192193269729614,0.000999000999000999,bootstrap_diff_paired_over_folds
F5_delta_r2,push,ee_velocity,5,,,,5,0.2718841195106506,0.24610425233840943,0.2872105598449707,0.000999000999000999,bootstrap_diff_paired_over_folds
F5_delta_r2,push,ee_velocity,6,,,,5,0.2536656975746155,0.23173538446426392,0.2737733840942383,0.000999000999000999,bootstrap_diff_paired_over_folds
F5_delta_r2,push,ee_velocity,7,,,,5,0.2442443013191223,0.23922388017177582,0.24852319955825805,0.000999000999000999,bootstrap_diff_paired_over_folds
F5_delta_r2,push,ee_velocity,8,,,,5,0.21015831232070922,0.1967913269996643,0.2231122612953186,0.000999000999000999,bootstrap_diff_paired_over_folds
F5_delta_r2,push,ee_velocity,9,,,,5,0.21587451696395873,0.20459225177764892,0.22287813425064087,0.000999000999000999,bootstrap_diff_paired_over_folds
F5_delta_r2,push,ee_velocity,10,,,,5,0.1962903618812561,0.17772382497787476,0.2079845428466797,0.000999000999000999,bootstrap_diff_paired_over_folds
F5_delta_r2,push,ee_velocity,11,,,,5,0.18535131216049194,0.17682883739471436,0.1932602643966675,0.000999000999000999,bootstrap_diff_paired_over_folds
F5_delta_r2,push,ee_velocity,12,,,,5,0.1881213903427124,0.15534833669662476,0.2353305459022522,0.000999000999000999,bootstrap_diff_paired_over_folds
F5_delta_r2,push,ee_velocity,13,,,,5,0.17885271310806275,0.16287285089492798,0.19483257532119752,0.000999000999000999,bootstrap_diff_paired_over_folds
F5_delta_r2,push,ee_velocity,14,,,,5,0.19331934452056884,0.18420757055282594,0.2016387701034546,0.000999000999000999,bootstrap_diff_paired_over_folds
F5_delta_r2,push,ee_velocity,15,,,,5,0.19135437011718748,0.18507575988769526,0.1996354341506958,0.000999000999000999,bootstrap_diff_paired_over_folds
F5_delta_r2,push,ee_velocity,16,,,,5,0.20695592164993287,0.19178274869918824,0.22352579832077027,0.000999000999000999,bootstrap_diff_paired_over_folds
F5_delta_r2,push,ee_velocity,17,,,,5,0.2055524945259095,0.1937437653541566,0.21717091798782348,0.000999000999000999,bootstrap_diff_paired_over_folds
F5_delta_r2,push,ee_velocity,18,,,,5,0.20290509462356562,0.19204971790313724,0.21224229335784903,0.000999000999000999,bootstrap_diff_paired_over_folds
F5_delta_r2,push,ee_velocity,19,,,,5,0.20755802392959594,0.19064348936080933,0.22534108161926264,0.000999000999000999,bootstrap_diff_paired_over_folds
F5_delta_r2,push,ee_velocity,20,,,,5,0.21089565753936768,0.19920223951339727,0.22040853500366211,0.000999000999000999,bootstrap_diff_paired_over_folds
F5_delta_r2,push,ee_velocity,21,,,,5,0.21018701791763306,0.19619805812835697,0.22421523332595816,0.000999000999000999,bootstrap_diff_paired_over_folds
F5_delta_r2,push,ee_velocity,22,,,,5,0.20876755714416503,0.20381029844284057,0.2122962594032288,0.000999000999000999,bootstrap_diff_paired_over_folds
F5_delta_r2,push,ee_velocity,23,,,,5,0.21265368461608886,0.18239353895187374,0.24873591661453248,0.000999000999000999,bootstrap_diff_paired_over_folds
F5_delta_r2,push,ee_acceleration,0,,,,5,0.00394505485892292,0.0033103885501622843,0.004650997472926933,0.000999000999000999,bootstrap_diff_paired_over_folds
F5_delta_r2,push,ee_acceleration,1,,,,5,0.013953439146280316,0.013414305448532138,0.014600794017314936,0.000999000999000999,bootstrap_diff_paired_over_folds
F5_delta_r2,push,ee_acceleration,2,,,,5,0.019482123851776122,0.018237201869487747,0.02081837207078936,0.000999000999000999,bootstrap_diff_paired_over_folds
F5_delta_r2,push,ee_acceleration,3,,,,5,0.02008293718099598,0.0191854372620583,0.021015505492687263,0.000999000999000999,bootstrap_diff_paired_over_folds
F5_delta_r2,push,ee_acceleration,4,,,,5,0.022736804187297822,0.0208106353878975,0.025486525893211383,0.000999000999000999,bootstrap_diff_paired_over_folds
F5_delta_r2,push,ee_acceleration,5,,,,5,0.02285567820072176,0.020792470872402182,0.02442966699600222,0.000999000999000999,bootstrap_diff_paired_over_folds
F5_delta_r2,push,ee_acceleration,6,,,,5,0.025561401247978222,0.02475804686546324,0.026537946388125424,0.000999000999000999,bootstrap_diff_paired_over_folds
F5_delta_r2,push,ee_acceleration,7,,,,5,0.03313286006450654,0.032067686840891826,0.03383847922086718,0.000999000999000999,bootstrap_diff_paired_over_folds
F5_delta_r2,push,ee_acceleration,8,,,,5,0.025953279435634625,0.02252855002880096,0.029138728976249716,0.000999000999000999,bootstrap_diff_paired_over_folds
F5_delta_r2,push,ee_acceleration,9,,,,5,0.025700813531875637,0.0243001237511635,0.02665761113166814,0.000999000999000999,bootstrap_diff_paired_over_folds
F5_delta_r2,push,ee_acceleration,10,,,,5,0.0376137748360634,0.03172943592071536,0.0449303913488984,0.000999000999000999,bootstrap_diff_paired_over_folds
F5_delta_r2,push,ee_acceleration,11,,,,5,0.03613217771053316,0.033846071362495456,0.039212913811206826,0.000999000999000999,bootstrap_diff_paired_over_folds
F5_delta_r2,push,ee_acceleration,12,,,,5,0.048161123692989395,0.04039104431867603,0.057461708784103435,0.000999000999000999,bootstrap_diff_paired_over_folds
