task,target,fold,n_train_windows,n_test_windows,r2,mse,note
push,phase,0,272198,68085,0.43789780139923096,5.413619518280029,ok
push,phase,1,272199,68084,0.44950664043426514,5.258285045623779,ok
push,phase,2,272220,68063,0.4094860553741455,5.645679950714111,ok
push,phase,3,272256,68027,0.3525838255882263,6.07722282409668,ok
push,phase,4,272259,68024,0.39510577917099,5.8036909103393555,ok
strike,phase,0,428628,107151,0.4141247868537903,5.086756706237793,ok
strike,phase,1,428611,107168,0.39716702699661255,5.320584297180176,ok
strike,phase,2,428623,107156,0.4268893003463745,4.939091682434082,ok
strike,phase,3,428625,107154,0.4056597352027893,5.2738356590271,ok
strike,phase,4,428629,107150,0.40861713886260986,5.1943039894104,ok
reach,phase,0,112800,28200,0.03469175100326538,3.0994198322296143,ok
reach,phase,1,112800,28200,0.028695881366729736,4.123296737670898,ok
reach,phase,2,112800,28200,0.036412596702575684,3.511608600616455,ok
reach,phase,3,112800,28200,0.03739643096923828,3.4518520832061768,ok
reach,phase,4,112800,28200,0.028538405895233154,3.0057127475738525,ok
drawer,phase,-1,560000,0,,0.0,constant_target
drawer,drawer_joint_pos,0,448000,112000,0.25661540031433105,0.003994516097009182,ok
drawer,drawer_joint_pos,1,448000,112000,0.22698330879211426,0.004404050298035145,ok
drawer,drawer_joint_pos,2,448000,112000,0.24043399095535278,0.004634549375623465,ok
drawer,drawer_joint_pos,3,448000,112000,0.21554887294769287,0.004929127171635628,ok
drawer,drawer_joint_pos,4,448000,112000,0.20405656099319458,0.00516713410615921,ok
drawer,drawer_joint_vel,0,448000,112000,0.24687564373016357,0.03653373196721077,ok
drawer,drawer_joint_vel,1,448000,112000,0.24304282665252686,0.036266498267650604,ok
drawer,drawer_joint_vel,2,448000,112000,0.2416599988937378,0.03695538267493248,ok
drawer,drawer_joint_vel,3,448000,112000,0.24011552333831787,0.03637712448835373,ok
drawer,drawer_joint_vel,4,448000,112000,0.2449747920036316,0.036490362137556076,ok
drawer,drawer_opening_extent,0,448000,112000,0.2492992877960205,0.024741528555750847,ok
drawer,drawer_opening_extent,1,448000,112000,0.219221293926239,0.027275556698441505,ok
drawer,drawer_opening_extent,2,448000,112000,0.23315292596817017,0.028853802010416985,ok
drawer,drawer_opening_extent,3,448000,112000,0.20850008726119995,0.030714955180883408,ok
drawer,drawer_opening_extent,4,448000,112000,0.19499140977859497,0.03221139684319496,ok
peg_insert,phase,-1,322500,0,,0.0,constant_target
peg_insert,insertion_depth,0,258000,64500,0.07907545566558838,1.5118036571948323e-05,ok
peg_insert,insertion_depth,1,258000,64500,0.07893723249435425,1.8607026504469104e-05,ok
peg_insert,insertion_depth,2,258000,64500,0.06580793857574463,1.6477706594741903e-05,ok
peg_insert,insertion_depth,3,258000,64500,0.07440763711929321,1.655044252402149e-05,ok
peg_insert,insertion_depth,4,258000,64500,0.05511653423309326,1.2772642548952717e-05,ok
peg_insert,peg_hole_lateral_error,0,258000,64500,0.040995657444000244,1.8128517353943607e-07,ok
peg_insert,peg_hole_lateral_error,1,258000,64500,0.03618288040161133,2.8889283498756413e-07,ok
peg_insert,peg_hole_lateral_error,2,258000,64500,0.03342008590698242,2.6999464353139047e-07,ok
peg_insert,peg_hole_lateral_error,3,258000,64500,0.030569732189178467,2.8398412155183905e-07,ok
peg_insert,peg_hole_lateral_error,4,258000,64500,0.024039745330810547,1.9954819663325907e-07,ok
nut_thread,phase,-1,322500,0,,0.0,constant_target
nut_thread,axial_progress,0,258000,64500,0.10877734422683716,1.7589030676390394e-07,ok
nut_thread,axial_progress,1,258000,64500,0.09439301490783691,1.4341628684633179e-07,ok
nut_thread,axial_progress,2,258000,64500,0.09802329540252686,1.777689391246895e-07,ok
nut_thread,axial_progress,3,258000,64500,0.09948694705963135,1.890728356102045e-07,ok
nut_thread,axial_progress,4,258000,64500,0.09950131177902222,1.634638664427257e-07,ok
