task,target,ref_model,cmp_model,ref_peak_layer,cmp_peak_layer,ref_mean,cmp_mean,gap_mean,gap_ci_lo,gap_ci_hi,p_value,n_folds_ref,n_folds_cmp
push,contact_flag__positive_fraction,V-JEPA A,DINOv2 A,21,21,0.8670917272567749,0.819367241859436,-0.04798298742771148,-0.058523714244365664,-0.03623329371213906,0.001,5,5
push,contact_flag__positive_fraction,V-JEPA A,VideoMAE A,21,18,0.8670917272567749,0.8386543750762939,-0.028402838623523715,-0.038448790609836574,-0.01911375522613523,0.001,5,5
push,contact_flag__positive_fraction,V-JEPA A,VideoMAE B,21,21,0.8670917272567749,0.833228874206543,-0.0336588997721672,-0.04945008575916291,-0.020532805025577548,0.001,5,5
push,contact_flag__positive_fraction,V-JEPA A,V-JEPA B,21,21,0.8670917272567749,0.856093966960907,-0.011160725426673889,-0.022801294028759002,0.0026060014963149997,0.052,5,5
push,contact_flag__positive_fraction,V-JEPA A,V-JEPA A shuffled,21,21,0.8670917272567749,0.8623876810073853,-0.004774656701087951,-0.011487688720226352,0.002884518504142782,0.114,5,5
push,contact_force_log1p_mag__integral,V-JEPA A,DINOv2 A,21,21,0.8504440903663635,0.7655067682266236,-0.08536543086767195,-0.10665418237447741,-0.06359313189983366,0.001,5,5
push,contact_force_log1p_mag__integral,V-JEPA A,VideoMAE A,21,21,0.8504440903663635,0.8157920241355896,-0.034574540364742286,-0.04933816909790033,-0.019486680030822757,0.001,5,5
push,contact_force_log1p_mag__integral,V-JEPA A,VideoMAE B,21,22,0.8504440903663635,0.8235828757286072,-0.026870618355274187,-0.04470475286245343,-0.00998901128768921,0.001,5,5
push,contact_force_log1p_mag__integral,V-JEPA A,V-JEPA B,21,19,0.8504440903663635,0.8314271092414856,-0.01978720755577088,-0.04125995963811881,0.0039474880695342975,0.042,5,5
push,contact_force_log1p_mag__integral,V-JEPA A,V-JEPA A shuffled,21,21,0.8504440903663635,0.8389553308486939,-0.01170168286561965,-0.02405807197093955,0.0015997585654258957,0.041,5,5
push,contact_force_mag__integral,V-JEPA A,DINOv2 A,21,21,0.667563283443451,0.4979029655456543,-0.17063134568929675,-0.21138895034790034,-0.12515842676162728,0.001,5,5
push,contact_force_mag__integral,V-JEPA A,VideoMAE A,21,22,0.667563283443451,0.6328327059745789,-0.035460214090347296,-0.07548189312219619,0.005055939555168115,0.035,5,5
push,contact_force_mag__integral,V-JEPA A,VideoMAE B,21,23,0.667563283443451,0.6585818767547608,-0.00971734735965729,-0.05078201740980145,0.031789172589778904,0.333,5,5
push,contact_force_mag__integral,V-JEPA A,V-JEPA B,21,21,0.667563283443451,0.6757434487342835,0.0075000519394874555,-0.03330077946186063,0.048868583440780676,0.385,5,5
push,contact_force_mag__integral,V-JEPA A,V-JEPA A shuffled,21,21,0.667563283443451,0.6407886862754821,-0.027467912280559538,-0.06507839828729632,0.011414470076560995,0.076,5,5
push,ee_velocity__peak_time_frac,V-JEPA A,DINOv2 A,20,17,0.6448979020118714,0.5640344381332397,-0.08085541145801545,-0.09522189021110536,-0.06627018094062812,0.001,5,5
push,ee_velocity__peak_time_frac,V-JEPA A,VideoMAE A,20,20,0.6448979020118714,0.6216317296028138,-0.02311262913942338,-0.03775101274251942,-0.009947718381881692,0.001,5,5
push,ee_velocity__peak_time_frac,V-JEPA A,VideoMAE B,20,22,0.6448979020118714,0.6797631978988647,0.034891271305084216,0.019116583168506607,0.04862142682075496,0.001,5,5
push,ee_velocity__peak_time_frac,V-JEPA A,V-JEPA B,20,19,0.6448979020118714,0.6867489814758301,0.04172637482881544,0.028425565063953443,0.05446600824594495,0.001,5,5
push,ee_velocity__peak_time_frac,V-JEPA A,V-JEPA A shuffled,20,18,0.6448979020118714,0.5824721932411194,-0.06235350075960161,-0.07511922180652614,-0.05024446010589604,0.001,5,5
push,contact_flag__first_event_time_frac,V-JEPA A,DINOv2 A,21,21,0.8608716249465942,0.8475810050964355,-0.013423331201076508,-0.022464468479156514,-0.004185326695442244,0.002,5,5
push,contact_flag__first_event_time_frac,V-JEPA A,VideoMAE A,21,19,0.8608716249465942,0.8405845165252686,-0.020154804062843326,-0.031722844839096084,-0.010093263387680055,0.001,5,5
push,contact_flag__first_event_time_frac,V-JEPA A,VideoMAE B,21,22,0.8608716249465942,0.8418863892555237,-0.01907313975095749,-0.029118012487888336,-0.008483183681964874,0.001,5,5
push,contact_flag__first_event_time_frac,V-JEPA A,V-JEPA B,21,21,0.8608716249465942,0.8581495881080627,-0.002705796599388122,-0.009871065616607666,0.005147365331649695,0.243,5,5
push,contact_flag__first_event_time_frac,V-JEPA A,V-JEPA A shuffled,21,21,0.8608716249465942,0.8568005800247193,-0.00408680243492126,-0.010523297488689423,0.0030661204457283235,0.132,5,5
strike,ee_velocity__mean,V-JEPA A,DINOv2 A,19,16,0.9925796866416932,0.9571530222892761,-0.0353657055854798,-0.03713591992855087,-0.033539623618126096,0.001,5,5
strike,ee_velocity__mean,V-JEPA A,VideoMAE A,19,21,0.9925796866416932,0.9919465184211731,-0.0006402366399765725,-0.0010492166876794689,-0.00028037935495369993,0.001,5,5
strike,ee_velocity__mean,V-JEPA A,V-JEPA B,19,9,0.9925796866416932,0.9851902246475219,-0.007404893016815234,-0.010840219557285329,-0.004525410532951501,0.001,5,5
strike,ee_velocity__mean,V-JEPA A,V-JEPA A shuffled,19,20,0.9925796866416932,0.9881137371063232,-0.004474225938320242,-0.004898085892200477,-0.00408233523368855,0.001,5,5
strike,ee_acceleration__peak_to_peak,V-JEPA A,DINOv2 A,20,20,0.8861441612243652,0.7920145511627197,-0.09397818365097045,-0.09957084953784942,-0.08875749647617338,0.001,5,5
strike,ee_acceleration__peak_to_peak,V-JEPA A,VideoMAE A,20,22,0.8861441612243652,0.8773729085922242,-0.008861464607715608,-0.012068188786506654,-0.005522896945476511,0.001,5,5
strike,ee_acceleration__peak_to_peak,V-JEPA A,V-JEPA B,20,8,0.8861441612243652,0.8586116671562195,-0.027520198059082034,-0.034600272476673126,-0.020568735003471398,0.001,5,5
strike,ee_acceleration__peak_to_peak,V-JEPA A,V-JEPA A shuffled,20,20,0.8861441612243652,0.8480504393577576,-0.03819740736484529,-0.04140563011169433,-0.034980628788471246,0.001,5,5
strike,obj_velocity__mean,V-JEPA A,DINOv2 A,21,21,0.9269931077957153,0.7913166403770446,-0.13530614470243454,-0.16155985504388815,-0.11166151702404024,0.001,5,5
strike,obj_velocity__mean,V-JEPA A,VideoMAE A,21,18,0.9269931077957153,0.8939783215522766,-0.032858380270004275,-0.05061174124479294,-0.013062547445297208,0.002,5,5
strike,obj_velocity__mean,V-JEPA A,V-JEPA B,21,8,0.9269931077957153,0.8668707609176636,-0.05952686713933946,-0.09110834807157517,-0.030413640737533575,0.001,5,5
strike,obj_velocity__mean,V-JEPA A,V-JEPA A shuffled,21,21,0.9269931077957153,0.9236821055412292,-0.0030859343409538383,-0.02189965665340423,0.01688519716262815,0.37,5,5
strike,obj_acceleration__peak_to_peak,V-JEPA A,DINOv2 A,21,20,0.7401680827140809,0.594598937034607,-0.1449772547125816,-0.1968922963738441,-0.09137339353561397,0.001,5,5
strike,obj_acceleration__peak_to_peak,V-JEPA A,VideoMAE A,21,23,0.7401680827140809,0.6871564149856567,-0.05241803503036499,-0.1081714218854904,0.002250749766826571,0.031,5,5
strike,obj_acceleration__peak_to_peak,V-JEPA A,V-JEPA B,21,8,0.7401680827140809,0.6815991640090943,-0.057451462662219996,-0.13670383691787713,0.013742288649082224,0.055,5,5
strike,obj_acceleration__peak_to_peak,V-JEPA A,V-JEPA A shuffled,21,20,0.7401680827140809,0.6814181208610535,-0.058261850643157954,-0.1109066241979598,-0.004979499578475931,0.021,5,5
strike,contact_flag__positive_fraction,V-JEPA A,DINOv2 A,23,20,0.9513179659843445,0.911759102344513,-0.039658849763870234,-0.04622792273759842,-0.032379464209079764,0.001,5,5
strike,contact_flag__positive_fraction,V-JEPA A,VideoMAE A,23,21,0.9513179659843445,0.9389489769935608,-0.01250043007135392,-0.01862626314163199,-0.006111783087253571,0.001,5,5
strike,contact_flag__positive_fraction,V-JEPA A,V-JEPA B,23,3,0.9513179659843445,0.8174425601959229,-0.13467629319429397,-0.18302910029888156,-0.10381464242935179,0.001,5,5
strike,contact_flag__positive_fraction,V-JEPA A,V-JEPA A shuffled,23,23,0.9513179659843445,0.9465522289276123,-0.004890652096271518,-0.010942597687244373,0.0013010236620902803,0.067,5,5
strike,contact_force_log1p_mag__integral,V-JEPA A,DINOv2 A,21,20,0.939908790588379,0.8758320093154908,-0.06425456980466843,-0.07464007854461671,-0.05395921200513838,0.001,5,5
strike,contact_force_log1p_mag__integral,V-JEPA A,VideoMAE A,21,20,0.939908790588379,0.92031170129776,-0.019613422775268556,-0.024687640666961688,-0.013956719934940295,0.001,5,5
strike,contact_force_log1p_mag__integral,V-JEPA A,V-JEPA B,21,3,0.939908790588379,0.7898928999900818,-0.15082987740039824,-0.19883115440607066,-0.11935081034898758,0.001,5,5
strike,contact_force_log1p_mag__integral,V-JEPA A,V-JEPA A shuffled,21,23,0.939908790588379,0.9297568440437317,-0.01035354664325714,-0.018264996409416156,-0.0021145191788674075,0.006,5,5
strike,contact_force_mag__integral,V-JEPA A,DINOv2 A,22,20,0.8342892050743103,0.7418063402175903,-0.09331595818996431,-0.1304613319039345,-0.05895925402641304,0.001,5,5
strike,contact_force_mag__integral,V-JEPA A,VideoMAE A,22,21,0.8342892050743103,0.7638288140296936,-0.07100584145784379,-0.09859318524599074,-0.044802916646003714,0.001,5,5
strike,contact_force_mag__integral,V-JEPA A,V-JEPA B,22,8,0.8342892050743103,0.6248396396636963,-0.20940091595649718,-0.30461702555418013,-0.1352858638763427,0.001,5,5
strike,contact_force_mag__integral,V-JEPA A,V-JEPA A shuffled,22,22,0.8342892050743103,0.8239790558815002,-0.01085825875997543,-0.03646330356597902,0.013025377690792077,0.201,5,5
strike,ee_velocity__peak_time_frac,V-JEPA A,DINOv2 A,17,20,0.6977169990539551,0.612202787399292,-0.08532846654653548,-0.09501262336969375,-0.0755552989244461,0.001,5,5
strike,ee_velocity__peak_time_frac,V-JEPA A,VideoMAE A,17,21,0.6977169990539551,0.677386486530304,-0.020261252641677857,-0.026954634785652177,-0.01346833616495139,0.001,5,5
strike,ee_velocity__peak_time_frac,V-JEPA A,V-JEPA B,17,8,0.6977169990539551,0.674609649181366,-0.022763287258148194,-0.04128965377807624,-0.007166359424591113,0.001,5,5
strike,ee_velocity__peak_time_frac,V-JEPA A,V-JEPA A shuffled,17,18,0.6977169990539551,0.652910578250885,-0.04474018179178238,-0.051510461866855664,-0.03824518233537672,0.001,5,5
strike,contact_flag__first_event_time_frac,V-JEPA A,DINOv2 A,20,21,0.9080853819847107,0.8835270285606385,-0.024637920165061947,-0.031412928402423775,-0.016899873912334468,0.001,5,5
strike,contact_flag__first_event_time_frac,V-JEPA A,VideoMAE A,20,20,0.9080853819847107,0.8999818801879883,-0.008101222991943356,-0.013654893636703554,-0.000960667133331256,0.015,5,5
strike,contact_flag__first_event_time_frac,V-JEPA A,V-JEPA B,20,8,0.9080853819847107,0.8191506862640381,-0.0885599400281906,-0.1579748034477234,-0.03264264672994605,0.001,5,5
strike,contact_flag__first_event_time_frac,V-JEPA A,V-JEPA A shuffled,20,20,0.9080853819847107,0.893952214717865,-0.01426278667449951,-0.02222294777631753,-0.006537646055221605,0.001,5,5
drawer,ee_velocity__mean,V-JEPA A,DINOv2 A,18,22,0.9869479656219482,0.9779314517974853,-0.008913739311695128,-0.01384114980697634,-0.005510723590850919,0.001,5,5
drawer,ee_velocity__mean,V-JEPA A,VideoMAE A,18,20,0.9869479656219482,0.989650022983551,0.002736176478862765,0.0005540356040000723,0.0047136873006820455,0.004,5,5
drawer,ee_velocity__mean,V-JEPA A,VideoMAE B,18,7,0.9869479656219482,0.9853609919548034,-0.0015469597458839148,-0.0037200129032135447,0.0007404023408889598,0.094,5,5
drawer,ee_velocity__mean,V-JEPA A,V-JEPA B,18,1,0.9869479656219482,0.9703041553497315,-0.0167593979358673,-0.02458618432283403,-0.010410488545894646,0.001,5,5
drawer,ee_acceleration__peak_to_peak,V-JEPA A,DINOv2 A,17,23,0.8779629707336426,0.8569559454917908,-0.020963061833381643,-0.02294731318950651,-0.018806662857532522,0.001,5,5
drawer,ee_acceleration__peak_to_peak,V-JEPA A,VideoMAE A,17,20,0.8779629707336426,0.8810729861259461,0.003104222750663765,0.002150562405586265,0.004056732654571468,0.001,5,5
drawer,ee_acceleration__peak_to_peak,V-JEPA A,VideoMAE B,17,7,0.8779629707336426,0.8888241171836853,0.010896368682384498,0.007979891002178168,0.013170286715030734,0.001,5,5
drawer,ee_acceleration__peak_to_peak,V-JEPA A,V-JEPA B,17,1,0.8779629707336426,0.8619995832443237,-0.016038083410263054,-0.021621803939342498,-0.011904740333557151,0.001,5,5
drawer,contact_flag__positive_fraction,V-JEPA A,DINOv2 A,17,19,0.9040351748466492,0.8976152777671814,-0.00634998617172241,-0.012466312348842618,0.0001157510280608702,0.028,5,5
drawer,contact_flag__positive_fraction,V-JEPA A,VideoMAE A,17,4,0.9040351748466492,0.9218839526176452,0.018089925932884218,0.0065386220812798,0.027041139304637973,0.003,5,5
drawer,contact_flag__positive_fraction,V-JEPA A,VideoMAE B,17,9,0.9040351748466492,0.9201301217079163,0.016465545165538793,0.0037610644102096403,0.02777772158384323,0.006,5,5
drawer,contact_flag__positive_fraction,V-JEPA A,V-JEPA B,17,0,0.9040351748466492,0.799979853630066,-0.10387696758508681,-0.11297820448875426,-0.0961887833476066,0.001,5,5
drawer,contact_force_log1p_mag__integral,V-JEPA A,DINOv2 A,18,20,0.9091320753097534,0.8646925091743469,-0.044448408329486835,-0.050267872810363746,-0.03836665153503423,0.001,5,5
drawer,contact_force_log1p_mag__integral,V-JEPA A,VideoMAE A,18,19,0.9091320753097534,0.9203875899314881,0.0113941187620163,0.004051610529422759,0.018029459416866515,0.001,5,5
drawer,contact_force_log1p_mag__integral,V-JEPA A,VideoMAE B,18,5,0.9091320753097534,0.9094044804573059,0.0008452714443206832,-0.021246891021728512,0.015605570971965835,0.435,5,5
drawer,contact_force_log1p_mag__integral,V-JEPA A,V-JEPA B,18,1,0.9091320753097534,0.8195731043815613,-0.08926738253831863,-0.10771928220987313,-0.07569686859846117,0.001,5,5
drawer,contact_force_mag__integral,V-JEPA A,DINOv2 A,18,20,0.9523341536521912,0.9186696767807007,-0.03374207559823989,-0.037705363631248455,-0.02957530438899996,0.001,5,5
drawer,contact_force_mag__integral,V-JEPA A,VideoMAE A,18,21,0.9523341536521912,0.9596280455589294,0.00735537946224212,0.0032038500905037185,0.011842404603958129,0.001,5,5
drawer,contact_force_mag__integral,V-JEPA A,VideoMAE B,18,3,0.9523341536521912,0.9517733812332153,-0.0004497254371643135,-0.006497743129730222,0.005105151236057346,0.446,5,5
drawer,contact_force_mag__integral,V-JEPA A,V-JEPA B,18,1,0.9523341536521912,0.9068589806556702,-0.04536912050247184,-0.05093327790498731,-0.040080833435058416,0.001,5,5
drawer,ee_velocity__peak_time_frac,V-JEPA A,DINOv2 A,16,3,0.21808528900146484,0.17118184566497802,-0.04693314354419708,-0.051277210712432894,-0.04295944452285768,0.001,5,5
drawer,ee_velocity__peak_time_frac,V-JEPA A,VideoMAE A,16,20,0.21808528900146484,0.21821734905242915,0.0001445672273635719,-0.002775556743145005,0.003028686940670013,0.458,5,5
drawer,ee_velocity__peak_time_frac,V-JEPA A,VideoMAE B,16,9,0.21808528900146484,0.2865514159202575,0.06857713186740876,0.061096694469451845,0.07632678747177127,0.001,5,5
drawer,ee_velocity__peak_time_frac,V-JEPA A,V-JEPA B,16,1,0.21808528900146484,0.21289768218994137,-0.005382137322425849,-0.032676656544208545,0.01590237379074096,0.379,5,5
drawer,contact_flag__first_event_time_frac,V-JEPA A,DINOv2 A,14,14,0.829759132862091,0.8172314524650574,-0.012353947174549117,-0.021443409323692274,-0.005383131504058861,0.001,5,5
drawer,contact_flag__first_event_time_frac,V-JEPA A,VideoMAE A,14,6,0.829759132862091,0.8518566966056824,0.02221957337856293,0.017016075551509857,0.027076485455036207,0.001,5,5
drawer,contact_flag__first_event_time_frac,V-JEPA A,VideoMAE B,14,5,0.829759132862091,0.8759400367736816,0.04634200659990311,0.039971120953559876,0.05352201372385023,0.001,5,5
drawer,contact_flag__first_event_time_frac,V-JEPA A,V-JEPA B,14,1,0.829759132862091,0.7733361840248107,-0.05591893765926361,-0.09581404685974124,-0.020405858159065256,0.001,5,5
reach,ee_velocity__mean,V-JEPA A,DINOv2 A,18,21,0.9602576971054078,0.6615237832069397,-0.2994387588500977,-0.31973444193601613,-0.2788248682022094,0.001,5,5
reach,ee_velocity__mean,V-JEPA A,VideoMAE A,18,19,0.9602576971054078,0.9608243703842163,0.0005596758127212248,-0.000936813354492341,0.002340456843376201,0.272,5,5
reach,ee_velocity__mean,V-JEPA A,V-JEPA B,18,4,0.9602576971054078,0.9089768886566162,-0.050951109898090395,-0.06338783740997321,-0.03971589714288705,0.001,5,5
reach,ee_acceleration__peak_to_peak,V-JEPA A,DINOv2 A,17,21,0.8845596551895142,0.48153008222579957,-0.4041275838375092,-0.43532974094152455,-0.3728216865658761,0.001,5,5
reach,ee_acceleration__peak_to_peak,V-JEPA A,VideoMAE A,17,20,0.8845596551895142,0.8801815390586853,-0.004473836135864258,-0.010879491567611714,0.0021993780136108166,0.087,5,5
reach,ee_acceleration__peak_to_peak,V-JEPA A,V-JEPA B,17,4,0.8845596551895142,0.8027884840965271,-0.08116249090433121,-0.09702667206525797,-0.0656943094730377,0.001,5,5
reach,ee_velocity__peak_time_frac,V-JEPA A,DINOv2 A,14,17,0.30283395051956175,0.19740831851959229,-0.10544703660011291,-0.12501184523105618,-0.08782246530056001,0.001,5,5
reach,ee_velocity__peak_time_frac,V-JEPA A,VideoMAE A,14,17,0.30283395051956175,0.28906344175338744,-0.013724043393135068,-0.031151524782180785,0.0028754696249961857,0.069,5,5
reach,ee_velocity__peak_time_frac,V-JEPA A,V-JEPA B,14,3,0.30283395051956175,0.20108561515808104,-0.1016364502668381,-0.11946563601493837,-0.08506572455167767,0.001,5,5
peg_insert,ee_velocity__mean,V-JEPA A,DINOv2 A,18,13,0.981604790687561,0.8278597474098206,-0.1535887696027756,-0.1590093705058098,-0.14855217784643165,0.001,5,5
peg_insert,ee_velocity__mean,V-JEPA A,VideoMAE A,18,1,0.981604790687561,0.9376608014106751,-0.04393535833358766,-0.04576550513505934,-0.04246430337429044,0.001,5,5
peg_insert,ee_acceleration__peak_to_peak,V-JEPA A,DINOv2 A,16,13,0.8828428268432618,0.6521058201789856,-0.23064257966279986,-0.23749031603336326,-0.22460652410984044,0.001,5,5
peg_insert,ee_acceleration__peak_to_peak,V-JEPA A,VideoMAE A,16,1,0.8828428268432618,0.709364402294159,-0.17353995569944383,-0.17891274690628056,-0.16816387236118316,0.001,5,5
peg_insert,contact_flag__positive_fraction,V-JEPA A,DINOv2 A,0,0,1.0,1.0,0.0,0.0,0.0,1.0,5,5
peg_insert,contact_flag__positive_fraction,V-JEPA A,VideoMAE A,0,0,1.0,1.0,0.0,0.0,0.0,1.0,5,5
peg_insert,contact_force_log1p_mag__integral,V-JEPA A,DINOv2 A,22,17,0.8905735850334168,0.7908620357513427,-0.09956098566055298,-0.10639436095952985,-0.09147246897220618,0.001,5,5
peg_insert,contact_force_log1p_mag__integral,V-JEPA A,VideoMAE A,22,1,0.8905735850334168,0.8096386432647705,-0.08088984586000443,-0.08477946847677231,-0.07696430623531342,0.001,5,5
peg_insert,contact_force_mag__integral,V-JEPA A,DINOv2 A,20,17,0.7342697143554687,0.6333605170249939,-0.10075273180007938,-0.1113251724839211,-0.08915064781904225,0.001,5,5
peg_insert,contact_force_mag__integral,V-JEPA A,VideoMAE A,20,1,0.7342697143554687,0.6096995949745179,-0.12430108456611633,-0.1354996606707573,-0.11360179901123046,0.001,5,5
peg_insert,ee_velocity__peak_time_frac,V-JEPA A,DINOv2 A,18,17,0.13530054092407226,0.034410250186920115,-0.10088397074937823,-0.10615079641342165,-0.09429383337497715,0.001,5,5
peg_insert,ee_velocity__peak_time_frac,V-JEPA A,VideoMAE A,18,1,0.13530054092407226,0.0418239593505859,-0.09338088409900669,-0.10033919662237167,-0.08561550468206411,0.001,5,5
peg_insert,contact_flag__first_event_time_frac,V-JEPA A,DINOv2 A,0,0,0.6,0.0,-0.5948,-1.0,-0.2,0.009,5,5
peg_insert,contact_flag__first_event_time_frac,V-JEPA A,VideoMAE A,0,1,0.6,0.8,0.1938,-0.4,0.8,0.364,5,5
nut_thread,ee_velocity__mean,V-JEPA A,DINOv2 A,20,15,0.9365172743797302,0.512420380115509,-0.42398148344755177,-0.433900760114193,-0.4126862025260926,0.001,5,5
nut_thread,ee_acceleration__peak_to_peak,V-JEPA A,DINOv2 A,17,12,0.7836325168609619,0.455357038974762,-0.3281649477481842,-0.33451662451028824,-0.32136822968721385,0.001,5,5
nut_thread,contact_flag__positive_fraction,V-JEPA A,DINOv2 A,0,0,1.0,1.0,0.0,0.0,0.0,1.0,5,5
nut_thread,contact_force_log1p_mag__integral,V-JEPA A,DINOv2 A,20,15,0.6077120304107666,0.4563863635063171,-0.1514113664627076,-0.16156248360872266,-0.14106289237737663,0.001,5,5
nut_thread,contact_force_mag__integral,V-JEPA A,DINOv2 A,19,15,0.3493617296218872,0.28982914686203,-0.059750391304492965,-0.07575188130140306,-0.04244880974292756,0.001,5,5
nut_thread,ee_velocity__peak_time_frac,V-JEPA A,DINOv2 A,18,10,0.1023080229759216,0.03092978000640866,-0.07133685722351074,-0.07320898890495305,-0.06916334122419357,0.001,5,5
nut_thread,contact_flag__first_event_time_frac,V-JEPA A,DINOv2 A,0,0,1.0,0.8,-0.19599999999999998,-0.6,0.0,0.337,5,5
