task,target,ref_model,cmp_model,ref_peak_layer,cmp_peak_layer,ref_mean,cmp_mean,gap_mean,gap_ci_lo,gap_ci_hi,p_value,n_folds_ref,n_folds_cmp
push,ee_velocity__mean,V-JEPA A,DINOv2 A,19,16,0.9799610376358032,0.8936067938804626,-0.08641751796007156,-0.09835096895694741,-0.07382582128047943,0.001,5,5
push,ee_velocity__mean,V-JEPA A,VideoMAE A,19,21,0.9799610376358032,0.9774354100227356,-0.0025542500019073485,-0.005830424726009459,0.000719900429248853,0.065,5,5
push,ee_velocity__mean,V-JEPA A,VideoMAE B,19,22,0.9799610376358032,0.9809707045555115,0.0009728831291198758,-0.0018868577480315727,0.0037936091423035334,0.26,5,5
push,ee_velocity__mean,V-JEPA A,V-JEPA B,19,19,0.9799610376358032,0.9795396804809571,-0.0004146051287650786,-0.002558039128780192,0.002080667018890447,0.358,5,5
push,ee_velocity__mean,V-JEPA A,V-JEPA A shuffled,19,17,0.9799610376358032,0.9727807879447937,-0.007210036814212794,-0.010287787616252922,-0.004143449068069458,0.001,5,5
push,ee_acceleration__peak_to_peak,V-JEPA A,DINOv2 A,17,20,0.8015325427055359,0.4507439017295837,-0.35058331450223934,-0.3656082624197007,-0.33438138753175745,0.001,5,5
push,ee_acceleration__peak_to_peak,V-JEPA A,VideoMAE A,17,21,0.8015325427055359,0.7740541100502014,-0.027536106026172645,-0.04121342688798904,-0.013747493624687239,0.002,5,5
push,ee_acceleration__peak_to_peak,V-JEPA A,VideoMAE B,17,22,0.8015325427055359,0.800399386882782,-0.0011839534044265814,-0.019189537465572348,0.01674704849720001,0.455,5,5
push,ee_acceleration__peak_to_peak,V-JEPA A,V-JEPA B,17,17,0.8015325427055359,0.8203524708747864,0.0187924896121025,0.004544170498847984,0.032524150311946845,0.003,5,5
push,ee_acceleration__peak_to_peak,V-JEPA A,V-JEPA A shuffled,17,17,0.8015325427055359,0.6440454483032226,-0.1574507441878319,-0.17002691864967348,-0.14447827249765405,0.001,5,5
push,obj_velocity__mean,V-JEPA A,DINOv2 A,21,17,0.9330575823783874,0.7626172304153442,-0.1710586998939514,-0.19725069701671608,-0.1448397800326348,0.001,5,5
push,obj_velocity__mean,V-JEPA A,VideoMAE A,21,19,0.9330575823783874,0.9038393497467041,-0.029593963623046875,-0.04913297265768044,-0.010093589723110162,0.002,5,5
push,obj_velocity__mean,V-JEPA A,VideoMAE B,21,22,0.9330575823783874,0.9015862941741943,-0.03179850132465363,-0.054116334617137926,-0.00915756464004513,0.003,5,5
push,obj_velocity__mean,V-JEPA A,V-JEPA B,21,19,0.9330575823783874,0.9239015698432922,-0.009810403692722324,-0.03558175593614571,0.014604103863239307,0.234,5,5
push,obj_velocity__mean,V-JEPA A,V-JEPA A shuffled,21,21,0.9330575823783874,0.9336852908134461,0.00027849903106690033,-0.0189763084053993,0.018695142269134563,0.483,5,5
push,obj_acceleration__peak_to_peak,V-JEPA A,DINOv2 A,21,20,0.5197565436363221,0.3337435245513916,-0.18713722897768023,-0.25172464638948444,-0.11894309669733052,0.001,5,5
push,obj_acceleration__peak_to_peak,V-JEPA A,VideoMAE A,21,19,0.5197565436363221,0.44418748617172243,-0.07687518646717074,-0.14598755210638062,-0.005139383971691159,0.015,5,5
push,obj_acceleration__peak_to_peak,V-JEPA A,VideoMAE B,21,22,0.5197565436363221,0.4703399419784546,-0.050977788841724395,-0.12317266732454298,0.022462519407272383,0.085,5,5
push,obj_acceleration__peak_to_peak,V-JEPA A,V-JEPA B,21,19,0.5197565436363221,0.5370567321777344,0.015381843268871312,-0.0660155320167542,0.09455849051475519,0.357,5,5
push,obj_acceleration__peak_to_peak,V-JEPA A,V-JEPA A shuffled,21,20,0.5197565436363221,0.44152748584747314,-0.07950849571228027,-0.14992024123668665,-0.010265045762062086,0.011,5,5
