task,target,r3m_best_stage,r3m_peak_r2,r3m_peak_r2_std,vjepa_best_layer,vjepa_peak_r2,vjepa_peak_r2_std,delta_r3m_minus_vjepa
push,contact_flag,stage_3,0.6769983649253846,0.009216471950021,21,0.7676246166229248,0.007842556561033586,-0.09062625169754024
push,contact_force_log1p_mag,stage_3,0.6384182572364807,0.0194746110395682,21,0.7541394829750061,0.011875142604216139,-0.11572122573852539
push,ee_acceleration,stage_4,0.0843968972563743,0.0067398018814807,19,0.21912626028060908,0.01569569583538371,-0.13472936302423477
strike,contact_flag,stage_3,0.6776492834091187,0.0119677498494,19,0.8249015927314758,0.009955245005101079,-0.1472523093223571
strike,contact_force_log1p_mag,stage_3,0.6938281893730164,0.0169472804417051,21,0.8340621709823608,0.006955904568679696,-0.14023398160934442
strike,ee_acceleration,stage_4,0.188981407880783,0.0062379401584142,17,0.4128666281700134,0.009138655178118552,-0.2238852202892304
drawer,contact_flag,stage_4,0.5092412233352661,0.0127914161361559,17,0.7104033827781677,0.010057291753553707,-0.2011621594429016
drawer,contact_force_log1p_mag,stage_4,0.424826955795288,0.004431318028655,18,0.7197143197059631,0.008075364559264034,-0.2948873639106751
drawer,ee_acceleration,stage_1,0.0044246365781873,0.0011549454233386,22,0.29782084226608274,0.02161532374056326,-0.29339620568789543
