target,layer,r2_mean,r2_std,mse_mean,mse_std
axial_progress,0,0.01718809604644772,0.00935387035001601,1.8547408160429767e-07,1.7947824216155995e-08
axial_progress,1,0.1158414244651794,0.013129987526845324,1.66807018331383e-07,1.553043767497452e-08
axial_progress,2,0.1504675984382629,0.009987884460951156,1.6029872540457293e-07,1.5193193415799505e-08
axial_progress,3,0.15441558361053465,0.01248550483156784,1.5951748935094657e-07,1.4776562522898356e-08
axial_progress,4,0.17621752023696896,0.018531357132314033,1.5534169506281614e-07,1.3836527456851387e-08
axial_progress,5,0.19183052778244017,0.02410030335306283,1.5230448298098053e-07,1.258581086747472e-08
axial_progress,6,0.1957257986068725,0.024264763296288787,1.5161589885792637e-07,1.308950991151606e-08
axial_progress,7,0.15223236083984373,0.13258257646526964,1.6033293377404333e-07,3.210300417626045e-08
axial_progress,8,0.25537090301513665,0.020115711570265853,1.403741833883032e-07,1.2066556297645747e-08
axial_progress,9,0.27429786920547483,0.02762735821241769,1.3663386653206543e-07,9.75664653668836e-09
axial_progress,10,0.29023573398590086,0.02794706949802775,1.3364340816224286e-07,9.914994007585009e-09
axial_progress,11,0.29879322052001955,0.022516572730341473,1.321010785204635e-07,1.0398629450079857e-08
axial_progress,12,0.308148455619812,0.02095729283457971,1.3034286325819266e-07,1.020737906852836e-08
axial_progress,13,0.3226367950439453,0.019679968288684922,1.276202169719909e-07,1.0024424936200943e-08
axial_progress,14,0.3622147321701049,0.018740634590426235,1.2018371364774794e-07,9.762618245899776e-09
axial_progress,15,0.3721435070037841,0.018096140094128042,1.1833616753165188e-07,9.9015543692281e-09
axial_progress,16,0.3680917501449585,0.014239434615342184,1.1914585513750353e-07,1.0388274648625799e-08
axial_progress,17,0.3826929450035095,0.0248848509567589,1.1624736231397038e-07,8.852784685122928e-09
axial_progress,18,0.3830800294876099,0.030316007607055658,1.1608348700065108e-07,7.930813552792981e-09
axial_progress,19,0.38128651380538936,0.019422168298322648,1.1658862462127217e-07,9.581307180746149e-09
