target,stage,r2_mean,r2_std,mse_mean,mse_std
contact_flag,stage_0,0.5329665422439576,0.015741916562141207,0.0497220061719417,0.002937539517319512
contact_flag,stage_1,0.6408801794052124,0.01036025150890051,0.0382004983723163,0.001247423020446155
contact_flag,stage_2,0.6488638043403625,0.01784781502311089,0.03733426108956332,0.001546906605995005
contact_flag,stage_3,0.6776492834091187,0.011967749849400088,0.03427949026226992,0.0010102464651837045
contact_flag,stage_4,0.6686526536941528,0.012944580314696443,0.035234730690717656,0.0010885252732743141
contact_force_log1p_mag,stage_0,0.5180941224098206,0.01853069394349151,0.6373243689537048,0.053773832834125235
contact_force_log1p_mag,stage_1,0.6486416220664978,0.01366487242809845,0.4638179838657379,0.02486157391486091
contact_force_log1p_mag,stage_2,0.6634053349494934,0.026015705162708267,0.4436309993267059,0.026243488495126335
contact_force_log1p_mag,stage_3,0.6938281893730164,0.016947280441705126,0.4040142834186554,0.023289438856682325
contact_force_log1p_mag,stage_4,0.6823297023773194,0.01577695297477122,0.4190284252166748,0.018472623378141595
ee_acceleration,stage_0,0.10576373934745784,0.00783574302502732,1.7654822587966919,0.019910861879300173
ee_acceleration,stage_1,0.16351675093173976,0.0015635195884510175,1.6516347169876098,0.02904444419107217
ee_acceleration,stage_2,0.1760588854551315,0.0020450858901280575,1.6267812967300415,0.024082378547340726
ee_acceleration,stage_3,0.18687734901905056,0.001914513419165771,1.605500078201294,0.027312051930224644
ee_acceleration,stage_4,0.18898140788078305,0.0062379401584142895,1.6013468980789185,0.03009050008829349
