target,best_stage,best_r2_mean,best_r2_std
contact_flag,stage_3,0.6776492834091187,0.011967749849400088
contact_force_log1p_mag,stage_3,0.6938281893730164,0.016947280441705126
ee_acceleration,stage_4,0.18898140788078305,0.0062379401584142895
