stage,fold,best_lr,best_wd,r2,mse,n_test_windows
stage_0,0,9.999999747378752e-05,0.009999999776482582,0.10329438745975494,1.7480292320251465,107151
stage_0,1,0.0003000000142492354,0.009999999776482582,0.11288385838270187,1.754225254058838,107168
stage_0,2,0.0010000000474974513,0.009999999776482582,0.11001678556203842,1.7991036176681519,107156
stage_0,3,0.003000000026077032,0.10000000149011612,0.09321632981300354,1.7605786323547363,107154
stage_0,4,0.004999999888241291,0.009999999776482582,0.10940733551979065,1.765474557876587,107150
stage_1,0,0.0003000000142492354,0.009999999776482582,0.16516219079494476,1.6274374723434448,107151
stage_1,1,0.004999999888241291,0.009999999776482582,0.16408246755599976,1.6529889106750488,107168
stage_1,2,0.004999999888241291,0.009999999776482582,0.16093720495700836,1.6961698532104492,107156
stage_1,3,0.003000000026077032,0.009999999776482582,0.16358062624931335,1.6239315271377563,107154
stage_1,4,0.003000000026077032,0.009999999776482582,0.1638212651014328,1.65764582157135,107150
stage_2,0,9.999999747378752e-05,0.009999999776482582,0.17631672322750092,1.6056796312332153,107151
stage_2,1,0.004999999888241291,0.009999999776482582,0.17570219933986664,1.629977822303772,107168
stage_2,2,9.999999747378752e-05,0.009999999776482582,0.17663361132144928,1.6644026041030884,107156
stage_2,3,9.999999747378752e-05,0.009999999776482582,0.17298437654972076,1.6056400537490845,107154
stage_2,4,0.004999999888241291,0.009999999776482582,0.17865751683712006,1.6282063722610474,107150
stage_3,0,0.0010000000474974513,0.10000000149011612,0.18894946575164795,1.5810935497283936,107151
stage_3,1,9.999999747378752e-05,0.009999999776482582,0.1889386624097824,1.6037883758544922,107168
stage_3,2,0.0010000000474974513,0.10000000149011612,0.18511837720870972,1.6473205089569092,107156
stage_3,3,9.999999747378752e-05,0.10000000149011612,0.1853693723678589,1.5816340446472168,107154
stage_3,4,0.003000000026077032,0.10000000149011612,0.18601086735725403,1.613663911819458,107150
stage_4,0,0.0003000000142492354,0.10000000149011612,0.18596336245536804,1.586915135383606,107151
stage_4,1,0.0010000000474974513,0.10000000149011612,0.18971699476242065,1.6023118495941162,107168
stage_4,2,0.0010000000474974513,0.009999999776482582,0.18242096900939941,1.6526981592178345,107156
stage_4,3,0.0003000000142492354,0.10000000149011612,0.18775218725204468,1.577020525932312,107154
stage_4,4,0.003000000026077032,0.009999999776482582,0.19905352592468262,1.5877888202667236,107150
