task,layer,param,fold,r2,n_train_eps,n_test_eps
peg_insert,3,peg_mass,0,-3.1349925994873047,157,40
peg_insert,3,peg_mass,1,-1.9277551174163818,157,40
peg_insert,3,peg_mass,2,-2.027570962905884,158,39
peg_insert,3,peg_mass,3,-0.9243853092193604,158,39
peg_insert,3,peg_mass,4,-0.5553420782089233,158,39
peg_insert,3,hole_static_friction,0,-2.400635004043579,157,40
peg_insert,3,hole_static_friction,1,-0.4827615022659302,157,40
peg_insert,3,hole_static_friction,2,-0.8203079700469971,158,39
peg_insert,3,hole_static_friction,3,-0.7354358434677124,158,39
peg_insert,3,hole_static_friction,4,-1.1837794780731201,158,39
peg_insert,3,hole_dynamic_friction,0,-2.400635004043579,157,40
peg_insert,3,hole_dynamic_friction,1,-0.4827615022659302,157,40
peg_insert,3,hole_dynamic_friction,2,-0.8203079700469971,158,39
peg_insert,3,hole_dynamic_friction,3,-0.7354358434677124,158,39
peg_insert,3,hole_dynamic_friction,4,-1.1837794780731201,158,39
peg_insert,4,peg_static_friction,0,-1.0752804279327393,157,40
peg_insert,4,peg_static_friction,1,-1.0359082221984863,157,40
peg_insert,4,peg_static_friction,2,-1.0186054706573486,158,39
peg_insert,4,peg_static_friction,3,-1.3484420776367188,158,39
peg_insert,4,peg_static_friction,4,-1.2806494235992432,158,39
peg_insert,4,peg_dynamic_friction,0,-1.0752804279327393,157,40
peg_insert,4,peg_dynamic_friction,1,-1.0359082221984863,157,40
peg_insert,4,peg_dynamic_friction,2,-1.0186054706573486,158,39
peg_insert,4,peg_dynamic_friction,3,-1.3484420776367188,158,39
peg_insert,4,peg_dynamic_friction,4,-1.2806494235992432,158,39
peg_insert,4,peg_mass,0,-3.00065279006958,157,40
peg_insert,4,peg_mass,1,-2.027773380279541,157,40
peg_insert,4,peg_mass,2,-1.7734134197235107,158,39
peg_insert,4,peg_mass,3,-2.0658862590789795,158,39
peg_insert,4,peg_mass,4,-0.9714082479476929,158,39
peg_insert,4,hole_static_friction,0,-1.288238525390625,157,40
peg_insert,4,hole_static_friction,1,-1.1489875316619873,157,40
peg_insert,4,hole_static_friction,2,-1.0123684406280518,158,39
peg_insert,4,hole_static_friction,3,-0.9338618516921997,158,39
peg_insert,4,hole_static_friction,4,-1.2434940338134766,158,39
peg_insert,4,hole_dynamic_friction,0,-1.288238525390625,157,40
peg_insert,4,hole_dynamic_friction,1,-1.1489875316619873,157,40
peg_insert,4,hole_dynamic_friction,2,-1.0123684406280518,158,39
peg_insert,4,hole_dynamic_friction,3,-0.9338618516921997,158,39
peg_insert,4,hole_dynamic_friction,4,-1.2434940338134766,158,39
peg_insert,5,peg_static_friction,0,-1.3298802375793457,157,40
peg_insert,5,peg_static_friction,1,-0.9290740489959717,157,40
peg_insert,5,peg_static_friction,2,-1.292905330657959,158,39
peg_insert,5,peg_static_friction,3,-1.428931713104248,158,39
peg_insert,5,peg_static_friction,4,-2.0230050086975098,158,39
peg_insert,5,peg_dynamic_friction,0,-1.3298802375793457,157,40
peg_insert,5,peg_dynamic_friction,1,-0.9290740489959717,157,40
peg_insert,5,peg_dynamic_friction,2,-1.292905330657959,158,39
peg_insert,5,peg_dynamic_friction,3,-1.428931713104248,158,39
