task,layer,param,r2_mean,r2_std
peg_insert,0,peg_static_friction,-3.096716213226318,0.7070097831867076
peg_insert,0,peg_dynamic_friction,-3.096716213226318,0.7070097831867076
peg_insert,0,peg_mass,-3.2394268035888674,1.0848929018859357
peg_insert,0,hole_static_friction,-3.984598159790039,0.5622811162794229
peg_insert,0,hole_dynamic_friction,-3.984598159790039,0.5622811162794229
peg_insert,1,peg_static_friction,-2.072256326675415,0.5637588558674524
peg_insert,1,peg_dynamic_friction,-2.072256326675415,0.5637588558674524
peg_insert,1,peg_mass,-3.5156635284423827,1.558171329057432
peg_insert,1,hole_static_friction,-2.489763021469116,0.6888767637981388
peg_insert,1,hole_dynamic_friction,-2.489763021469116,0.6888767637981388
peg_insert,2,peg_static_friction,-1.3313392162323,0.314879471916735
peg_insert,2,peg_dynamic_friction,-1.3313392162323,0.314879471916735
peg_insert,2,peg_mass,-2.4642238140106203,0.6587859739800525
peg_insert,2,hole_static_friction,-1.1880370855331421,0.4159627913956841
peg_insert,2,hole_dynamic_friction,-1.1880370855331421,0.4159627913956841
peg_insert,3,peg_static_friction,-1.4584396362304688,0.2944154495546161
peg_insert,3,peg_dynamic_friction,-1.4584396362304688,0.2944154495546161
peg_insert,3,peg_mass,-1.7140092134475708,0.9087593197319613
peg_insert,3,hole_static_friction,-1.1245839595794678,0.6764268738420971
peg_insert,3,hole_dynamic_friction,-1.1245839595794678,0.6764268738420971
peg_insert,4,peg_static_friction,-1.1517771244049073,0.13586552893272144
peg_insert,4,peg_dynamic_friction,-1.1517771244049073,0.13586552893272144
peg_insert,4,peg_mass,-1.967826819419861,0.6497053592313715
peg_insert,4,hole_static_friction,-1.125390076637268,0.13452282557432887
peg_insert,4,hole_dynamic_friction,-1.125390076637268,0.13452282557432887
peg_insert,5,peg_static_friction,-1.4007592678070069,0.35415440222021116
peg_insert,5,peg_dynamic_friction,-1.4007592678070069,0.35415440222021116
peg_insert,5,peg_mass,-1.967895269393921,0.5848688278099294
peg_insert,5,hole_static_friction,-1.0474904298782348,0.28966658676503
peg_insert,5,hole_dynamic_friction,-1.0474904298782348,0.28966658676503
peg_insert,6,peg_static_friction,-1.3625431537628174,0.27986118736211235
peg_insert,6,peg_dynamic_friction,-1.3625431537628174,0.27986118736211235
peg_insert,6,peg_mass,-1.5897095203399658,0.4598243861999976
peg_insert,6,hole_static_friction,-1.136839747428894,0.18326900407399613
peg_insert,6,hole_dynamic_friction,-1.136839747428894,0.18326900407399613
peg_insert,7,peg_static_friction,-1.0837731122970582,0.19535397667218787
peg_insert,7,peg_dynamic_friction,-1.0837731122970582,0.19535397667218787
peg_insert,7,peg_mass,-1.147018051147461,0.39187429378403454
peg_insert,7,hole_static_friction,-0.9545325517654419,0.10846483956380933
peg_insert,7,hole_dynamic_friction,-0.9545325517654419,0.10846483956380933
peg_insert,8,peg_static_friction,-1.035393738746643,0.2583802694528316
peg_insert,8,peg_dynamic_friction,-1.035393738746643,0.2583802694528316
peg_insert,8,peg_mass,-1.905146312713623,0.5002259262594594
peg_insert,8,hole_static_friction,-0.8569608449935913,0.2437353623833659
peg_insert,8,hole_dynamic_friction,-0.8569608449935913,0.2437353623833659
peg_insert,9,peg_static_friction,-1.3486912250518799,0.22681344870998738
peg_insert,9,peg_dynamic_friction,-1.3486912250518799,0.22681344870998738
peg_insert,9,peg_mass,-1.535782480239868,0.5179904620810181
peg_insert,9,hole_static_friction,-1.0724735498428344,0.14303316855079343
peg_insert,9,hole_dynamic_friction,-1.0724735498428344,0.14303316855079343
peg_insert,10,peg_static_friction,-0.7878961086273193,0.30551234537770383
peg_insert,10,peg_dynamic_friction,-0.7878961086273193,0.30551234537770383
peg_insert,10,peg_mass,-1.4450711011886597,0.704310369672789
peg_insert,10,hole_static_friction,-0.8195144414901734,0.2660090207921176
peg_insert,10,hole_dynamic_friction,-0.8195144414901734,0.2660090207921176
peg_insert,11,peg_static_friction,-0.8073455095291138,0.24289983932126763
