task,layer,variable,var_type,output_dim,r2_mean,r2_std,n_samples
push,0,object_0_mass,static,1,0.011746,0.006139,85815
push,0,object_0_static_friction,static,1,-0.003285,0.009122,85815
push,0,object_0_dynamic_friction,static,1,0.004292,0.013485,85815
push,0,surface_static_friction,static,1,0.018636,0.01505,85815
push,0,surface_dynamic_friction,static,1,0.056836,0.007666,85815
push,0,ee_velocity,dynamic,3,0.798091,0.008055,85815
push,0,ee_acceleration,dynamic,3,0.303,0.013475,85815
push,0,ee_angular_velocity,dynamic,3,0.509023,0.019718,85815
push,0,object_velocity,dynamic,3,0.464181,0.019064,85815
push,0,object_acceleration,dynamic,3,0.098445,0.011165,85815
push,0,object_angular_velocity,dynamic,3,0.097997,0.013932,85815
push,0,ee_to_object_distance,dynamic,1,0.117283,0.016789,85815
push,0,object_to_target_distance,dynamic,1,0.0,0.0,85815
push,0,object_on_surface,dynamic,1,0.290197,0.071843,85815
push,0,contact_flag,dynamic,1,0.0,0.0,85815
push,0,contact_force,dynamic,3,0.0,0.0,85815
push,0,phase,dynamic,1,0.0,0.0,85815
push,1,object_0_mass,static,1,0.013732,0.002829,85815
push,1,object_0_static_friction,static,1,0.001889,0.007564,85815
push,1,object_0_dynamic_friction,static,1,0.010687,0.00993,85815
push,1,surface_static_friction,static,1,0.018151,0.009842,85815
push,1,surface_dynamic_friction,static,1,0.057569,0.005217,85815
push,1,ee_velocity,dynamic,3,0.845021,0.006427,85815
push,1,ee_acceleration,dynamic,3,0.335012,0.012144,85815
push,1,ee_angular_velocity,dynamic,3,0.563284,0.020423,85815
push,1,object_velocity,dynamic,3,0.49929,0.015899,85815
push,1,object_acceleration,dynamic,3,0.128428,0.0105,85815
push,1,object_angular_velocity,dynamic,3,0.126244,0.017457,85815
push,1,ee_to_object_distance,dynamic,1,0.056772,0.016909,85815
push,1,object_to_target_distance,dynamic,1,0.0,0.0,85815
push,1,object_on_surface,dynamic,1,0.289032,0.065282,85815
push,1,contact_flag,dynamic,1,0.0,0.0,85815
