representation,model,layer,probe_seed,split,episode_id,n_windows,r2
vjepa_fusion,large,11+23,42,iid,11,68,0.9394479933671227
vjepa_fusion,large,11+23,42,iid,35,68,0.8790164953414703
vjepa_fusion,large,11+23,42,iid,40,68,0.7221701855201106
vjepa_fusion,large,11+23,42,iid,44,68,0.9266114584281278
vjepa_fusion,large,11+23,42,iid,48,68,0.8373472931662321
vjepa_fusion,large,11+23,42,iid,62,68,0.9263375116997561
vjepa_fusion,large,11+23,42,iid,64,68,0.7847147439672026
vjepa_fusion,large,11+23,42,iid,77,68,0.7355630775109963
vjepa_fusion,large,11+23,42,iid,91,68,0.8811841400190532
vjepa_fusion,large,11+23,42,iid,96,68,0.9130548054518639
vjepa_fusion,large,11+23,42,iid,100,68,0.9336175395765722
vjepa_fusion,large,11+23,42,iid,110,68,0.9418821005239308
vjepa_fusion,large,11+23,42,iid,111,68,0.7612619554476738
vjepa_fusion,large,11+23,42,iid,121,68,0.8407634276800954
vjepa_fusion,large,11+23,42,iid,126,68,0.9187120678439038
vjepa_fusion,large,11+23,42,iid,128,68,0.8605781984716938
vjepa_fusion,large,11+23,42,iid,132,68,0.9473207351227726
vjepa_fusion,large,11+23,42,iid,137,68,0.9293496015940439
vjepa_fusion,large,11+23,42,iid,138,68,0.9159033160185214
vjepa_fusion,large,11+23,42,iid,154,68,0.92014014150966
vjepa_fusion,large,11+23,42,iid,174,68,0.8817028040571403
vjepa_fusion,large,11+23,42,iid,197,68,0.7661843722393296
vjepa_fusion,large,11+23,42,iid,202,68,0.8043670541349167
vjepa_fusion,large,11+23,42,iid,217,68,0.7717862098177286
vjepa_fusion,large,11+23,42,iid,221,68,0.8839138353430763
vjepa_fusion,large,11+23,42,iid,224,68,0.8975085913851383
vjepa_fusion,large,11+23,42,iid,225,68,0.9004260779862612
vjepa_fusion,large,11+23,42,iid,234,68,0.8769428896716205
vjepa_fusion,large,11+23,42,iid,260,68,0.8947708114235854
vjepa_fusion,large,11+23,42,iid,271,68,0.656333081473521
vjepa_fusion,large,11+23,42,iid,287,68,0.9169581307210041
vjepa_fusion,large,11+23,42,iid,290,68,0.8141384199703553
vjepa_fusion,large,11+23,42,iid,291,68,0.9204940090404743
vjepa_fusion,large,11+23,42,iid,298,68,0.9527957783609253
vjepa_fusion,large,11+23,42,iid,301,68,0.8995588228227445
vjepa_fusion,large,11+23,42,iid,303,68,0.8415642853252311
vjepa_fusion,large,11+23,42,iid,304,68,0.9398299529955042
