task,model,target,layer,probe_seed,r2_mean,r2_std,train_r2_mean,train_r2_std,best_lr,best_wd,fold_val_r2s,fold_train_r2s,output_dim,n_samples
push,giant,ee_direction_3d,18,123,0.8103759371941042,0.02366531884690156,0.9997228706930648,0.0001171370339493516,0.0001,0.8,"[0.7913639870870213, 0.8569652595159931, 0.7982267022540283, 0.8017675084985453, 0.8035562286149331]","[0.9997767413701585, 0.9995030831021504, 0.9998510387160469, 0.9997530865922463, 0.9997304036847217]",3,1500
push,giant,ee_direction_3d,19,123,0.8066901329353795,0.026469224824542715,0.9995321652876672,0.0005123852209524151,0.0001,0.8,"[0.7758677650620226, 0.8555088806661452, 0.8070806473286918, 0.7969401873125922, 0.7980531843074458]","[0.9998395255357895, 0.9996165272790328, 0.9998183229614589, 0.9998638440762384, 0.998522606585817]",3,1500
push,giant,ee_direction_3d,20,123,0.8062692411827396,0.031332219391080954,0.9972352963947163,0.004033101949059261,0.0001,0.8,"[0.7679956439069662, 0.8633561351159501, 0.805759281171259, 0.7942027806644655, 0.8000323650550574]","[0.9892484625414214, 0.9988386198442908, 0.9984017710683594, 0.9998429468684529, 0.9998446816510566]",3,1500
push,giant,ee_direction_3d,21,123,0.8127443002899459,0.02682696650491191,0.9996543487561335,0.0003671626112105199,0.0001,0.8,"[0.7908681522709594, 0.8640331508408232, 0.8141587622167824, 0.7948648632925231, 0.7997965728286416]","[0.9998442514337941, 0.9989201988446516, 0.999828920978765, 0.9998491242690619, 0.9998292482543947]",3,1500
push,giant,ee_direction_3d,22,123,0.8137670543933009,0.027692401454363105,0.9998385027515676,8.86854521947005e-06,0.0001,0.8,"[0.7918425227918724, 0.8662836316938753, 0.8129550235074434, 0.7901711444217475, 0.8075829495515657]","[0.9998431838290769, 0.9998308558227181, 0.9998255732700021, 0.9998495621029679, 0.9998433387330733]",3,1500
push,giant,ee_direction_3d,23,123,0.8095076824329634,0.03037577272580367,0.9997238305316788,0.0002515331529470452,0.0001,0.8,"[0.7714402315396358, 0.8619576513334615, 0.8186688228528913, 0.7926256003680527, 0.8028461060707761]","[0.9998422031558093, 0.9992208590768201, 0.9998534397186174, 0.9998560089447267, 0.9998466417624212]",3,1500
push,giant,ee_direction_3d,24,123,0.8145170608942776,0.02569720747984558,0.9998445956056183,3.6992215063529633e-06,0.0001,0.8,"[0.7896710440595724, 0.8621293185924219, 0.8188229482467049, 0.7969504883391232, 0.805011505233565]","[0.9998397395467998, 0.9998447709716873, 0.9998412170785803, 0.9998493031467472, 0.9998479472842771]",3,1500
push,giant,ee_direction_3d,25,123,0.8191920537818941,0.026094415712438004,0.9998598937704273,3.1248845199165597e-06,0.0001,0.8,"[0.7942424896810053, 0.8656792631288026, 0.8295262954803879, 0.8014747996973111, 0.8050374209219632]","[0.999860214639858, 0.99985614106058, 0.9998575734009995, 0.9998652908527984, 0.9998602488979003]",3,1500
push,giant,ee_direction_3d,26,123,0.8163325672209435,0.025543506303327686,0.9998637130107928,4.71434778731053e-06,0.0001,0.8,"[0.7846939835416552, 0.8594730950648203, 0.8277357123906948, 0.8068668759695575, 0.8028931691379904]","[0.9998574935934231, 0.9998669010356627, 0.9998611922575016, 0.9998709898259445, 0.9998619883414324]",3,1500
push,giant,ee_direction_3d,27,123,0.8192382139650579,0.02311722963508768,0.999892165149979,8.640176271545156e-06,0.0001,0.8,"[0.7905362943934933, 0.8564779983332642, 0.8326730871030565, 0.8126978196219063, 0.8038058703735691]","[0.9998973647916072, 0.9998753325002683, 0.9998969469031846, 0.999898467741986, 0.9998927138128493]",3,1500
