model,seeds,target,L0,L8,peak_r2,peak_layer,peak_depth,last
large,3,ee_direction_3d,0.6477692299368983,0.80430528036442,0.8164866510621707,11.666666666666666,0.4861111111111111,0.810687370353862
giant,2,ee_direction_3d,0.5369015283000882,0.7715668811888158,0.8182603155898308,27.0,0.675,0.8032188177473634
huge,1,ee_direction_3d,0.5585919470754848,0.8025178915076839,0.816790185377417,15.0,0.46875,0.7949550342843306
large,3,ee_speed,0.707110565981357,0.9301817721178974,0.9339630810071125,11.0,0.4583333333333333,0.9170367849167088
giant,2,ee_speed,0.5156002949923281,0.9132470297813571,0.934670592946428,25.0,0.625,0.9135572812289919
huge,1,ee_speed,0.5278191440001809,0.9179754200970265,0.9241323901388446,16.0,0.5,0.9040639858388584
